FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,824.5,831.95,822.9,828.85,828.85,2798.0,30127.73,15542800.0,84500.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Feb-2021,0.0,XX,827.8,834.35,827.0,831.9,831.9,36.0,388.71,122200.0,5200.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Mar-2021,0.0,XX,836.0,836.0,836.0,836.0,834.65,1.0,10.86,1300.0,1300.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,831.35,841.0,829.1,835.75,835.75,4243.0,46089.4,15353000.0,-189800.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Feb-2021,0.0,XX,834.6,843.0,833.55,838.95,838.95,72.0,784.68,135200.0,13000.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Mar-2021,0.0,XX,0.0,0.0,0.0,836.0,840.05,0.0,0.0,1300.0,0.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,834.15,847.2,827.25,831.1,831.1,5397.0,58630.77,15862600.0,509600.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Feb-2021,0.0,XX,837.15,850.15,832.0,835.05,835.05,87.0,949.13,166400.0,31200.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Mar-2021,0.0,XX,850.45,850.45,834.4,837.25,837.25,9.0,98.56,10400.0,9100.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,830.1,837.6,818.25,829.25,829.25,4040.0,43584.91,15583100.0,-279500.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Feb-2021,0.0,XX,834.1,840.2,821.5,832.1,832.1,97.0,1050.37,185900.0,19500.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Mar-2021,0.0,XX,838.25,841.9,831.45,834.2,834.2,11.0,119.63,13000.0,2600.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,830.6,833.0,820.3,828.55,828.55,3258.0,35010.91,15458300.0,-124800.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Feb-2021,0.0,XX,834.15,834.15,824.0,831.85,831.85,68.0,733.06,200200.0,14300.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Mar-2021,0.0,XX,835.9,836.0,828.0,836.0,836.0,6.0,64.96,18200.0,5200.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,CIPLA,28-Jan-2021,0.0,XX,832.25,849.8,830.8,839.9,839.9,7089.0,77522.0,14843400.0,-614900.0,08-Jan-2021,,,N,,,,,,,
