FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,COLPAL,28-Jan-2021,0.0,XX,1575.35,1589.0,1572.15,1586.95,1586.95,418.0,4631.22,2487100.0,-16100.0,01-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Feb-2021,0.0,XX,1577.9,1577.9,1577.9,1577.9,1588.65,2.0,22.09,11200.0,1400.0,01-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1578.55,1593.85,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,28-Jan-2021,0.0,XX,1584.4,1587.2,1570.2,1584.55,1584.55,1582.0,17480.27,2563400.0,76300.0,04-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Feb-2021,0.0,XX,1580.65,1591.5,1578.8,1587.7,1587.7,25.0,277.19,18900.0,7700.0,04-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Mar-2021,0.0,XX,1586.2,1586.2,1586.2,1586.2,1590.85,2.0,22.2,1400.0,1400.0,04-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,28-Jan-2021,0.0,XX,1580.1,1607.75,1572.9,1604.45,1604.45,1308.0,14606.67,2454200.0,-109200.0,05-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Feb-2021,0.0,XX,1583.0,1611.0,1581.8,1608.75,1608.75,15.0,168.0,20300.0,1400.0,05-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,25-Mar-2021,0.0,XX,1581.05,1600.0,1581.05,1600.0,1613.65,6.0,66.61,3500.0,2100.0,05-Jan-2021,,,N,,,,,
FUTSTK,COLPAL,28-Jan-2021,0.0,XX,1609.8,1616.95,1589.65,1600.55,1600.55,1129.0,12670.0,2375800.0,-78400.0,06-Jan-2021,,,N,,,,,
