FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CROMPTON,28-Oct-2021,0.0,XX,478.25,505.8,478.25,491.45,491.45,1278.0,6927.89,550000.0,550000.0,01-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,25-Nov-2021,0.0,XX,487.35,498.0,487.35,492.45,492.45,21.0,113.75,12100.0,12100.0,01-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,30-Dec-2021,0.0,XX,0.0,0.0,0.0,483.55,493.45,0.0,0.0,0.0,0.0,01-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,28-Oct-2021,0.0,XX,493.8,498.85,478.05,489.75,489.75,603.0,3252.72,706200.0,156200.0,04-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,25-Nov-2021,0.0,XX,498.3,498.45,483.05,491.2,491.2,15.0,81.41,18700.0,6600.0,04-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,30-Dec-2021,0.0,XX,491.2,491.2,485.0,485.0,491.95,4.0,21.4,3300.0,3300.0,04-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,28-Oct-2021,0.0,XX,486.15,490.3,482.7,487.1,487.1,358.0,1915.48,753500.0,47300.0,05-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,25-Nov-2021,0.0,XX,483.7,489.5,483.7,489.0,489.0,6.0,32.15,20900.0,2200.0,05-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,30-Dec-2021,0.0,XX,0.0,0.0,0.0,485.0,490.85,0.0,0.0,3300.0,0.0,05-Oct-2021,,,N,,,,,
FUTSTK,CROMPTON,28-Oct-2021,0.0,XX,487.35,497.65,474.0,477.6,477.6,872.0,4677.44,977900.0,224400.0,06-Oct-2021,,,N,,,,,
