FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,577.8,588.0,574.8,584.85,584.85,1374.0,9594.62,1690800.0,87600.0,01-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,573.65,585.3,572.4,582.35,582.35,24.0,166.75,134400.0,14400.0,01-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,579.45,587.0,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,588.1,613.9,586.6,610.55,610.55,3506.0,25195.45,1651200.0,-39600.0,04-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,585.0,610.3,585.0,607.5,607.5,80.0,571.12,154800.0,20400.0,04-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,590.5,600.0,590.5,592.95,614.95,3.0,21.4,3600.0,3600.0,04-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,607.45,625.4,606.0,616.8,616.8,3154.0,23359.94,1795200.0,144000.0,05-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,604.25,620.4,604.25,614.5,614.5,43.0,316.04,162000.0,7200.0,05-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,614.95,614.95,613.3,613.3,621.75,2.0,14.73,4800.0,1200.0,05-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,612.55,626.0,604.85,613.7,613.7,2222.0,16433.59,1831200.0,36000.0,06-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,612.75,622.5,603.8,609.75,609.75,36.0,264.43,169200.0,7200.0,06-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,616.0,622.0,609.0,609.0,615.9,6.0,44.35,9600.0,4800.0,06-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,616.9,646.0,615.6,643.3,643.3,3320.0,25246.63,1796400.0,-34800.0,07-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,624.0,642.65,619.75,640.3,640.3,55.0,416.34,168000.0,-1200.0,07-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,620.0,644.45,620.0,642.25,642.25,5.0,37.98,8400.0,-1200.0,07-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,646.35,647.4,628.6,636.85,636.85,2722.0,20772.55,2266800.0,470400.0,08-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,640.3,640.3,628.3,634.3,634.3,57.0,433.46,190800.0,22800.0,08-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,638.3,638.3,629.25,637.4,640.65,9.0,68.51,16800.0,8400.0,08-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,636.3,637.4,623.1,626.15,626.15,1721.0,12956.68,2373600.0,106800.0,11-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,627.95,631.2,621.5,622.5,622.5,34.0,254.69,211200.0,20400.0,11-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,630.4,630.4,617.9,621.0,629.4,4.0,29.99,15600.0,-1200.0,11-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,620.7,634.9,620.55,626.2,626.2,1985.0,14970.69,2397600.0,24000.0,12-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,621.4,630.75,621.0,622.95,622.95,70.0,523.9,224400.0,13200.0,12-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,621.0,628.45,0.0,0.0,15600.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,626.45,629.0,606.2,614.45,614.45,1875.0,13921.4,2355600.0,-42000.0,13-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,620.3,623.4,604.25,609.05,609.05,79.0,580.51,244800.0,20400.0,13-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,621.0,616.1,0.0,0.0,15600.0,0.0,13-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,615.0,620.5,610.0,619.05,619.05,1027.0,7591.01,2377200.0,21600.0,14-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,614.75,616.0,609.0,614.9,614.9,46.0,337.77,259200.0,14400.0,14-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,621.0,621.95,0.0,0.0,15600.0,0.0,14-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,619.5,622.9,600.05,604.0,604.0,1480.0,10852.7,2305200.0,-72000.0,15-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,617.4,617.7,597.75,598.9,598.9,122.0,889.16,284400.0,25200.0,15-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,606.0,607.0,599.0,600.0,606.5,5.0,36.22,21600.0,6000.0,15-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,601.4,605.1,584.15,594.8,594.8,1452.0,10359.54,2013600.0,-291600.0,18-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,596.15,599.6,580.4,590.65,590.65,168.0,1191.49,313200.0,28800.0,18-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,591.6,597.0,588.1,588.1,598.7,7.0,49.79,16800.0,-4800.0,18-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,597.45,621.9,596.9,619.55,619.55,2064.0,15148.11,1928400.0,-85200.0,19-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,592.0,617.4,591.9,615.4,615.4,234.0,1702.62,331200.0,18000.0,19-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,598.7,617.0,598.7,617.0,617.0,5.0,36.37,21600.0,4800.0,19-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,620.25,623.6,612.95,619.7,619.7,1710.0,12694.34,1870800.0,-57600.0,20-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,615.0,619.0,609.3,616.1,616.1,437.0,3219.35,398400.0,67200.0,20-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,617.0,617.0,616.1,616.15,623.0,6.0,44.39,25200.0,3600.0,20-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,624.7,629.0,596.0,605.6,605.6,1770.0,13104.64,1717200.0,-153600.0,21-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,616.5,624.95,592.5,601.35,601.35,459.0,3368.17,492000.0,93600.0,21-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,621.15,625.05,610.0,610.0,610.0,3.0,22.27,28800.0,3600.0,21-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,609.15,622.3,600.15,616.3,616.3,2206.0,16249.08,1531200.0,-186000.0,22-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,606.05,618.45,596.5,612.0,612.0,1161.0,8494.63,771600.0,279600.0,22-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,610.0,615.0,599.75,613.0,613.0,4.0,29.25,30000.0,1200.0,22-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,623.0,623.0,601.0,610.4,610.4,1906.0,13941.45,1066800.0,-464400.0,25-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,617.0,620.6,596.4,603.65,603.65,1584.0,11472.52,1168800.0,397200.0,25-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,605.0,605.0,605.0,605.0,614.7,1.0,7.26,31200.0,1200.0,25-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,610.15,628.55,608.25,623.45,623.45,2179.0,16267.98,544800.0,-522000.0,27-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,597.25,622.9,597.2,618.5,618.5,1684.0,12462.96,1587600.0,418800.0,27-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,621.1,622.0,616.0,618.15,618.15,11.0,81.73,30000.0,-1200.0,27-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,28-Jan-2021,0.0,XX,617.85,638.3,615.15,634.65,637.1,1197.0,9049.49,196800.0,-348000.0,28-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,613.45,633.85,610.0,631.4,631.4,2507.0,18834.56,1964400.0,376800.0,28-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,612.0,633.5,612.0,631.35,631.35,15.0,112.47,33600.0,3600.0,28-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,641.35,680.95,627.75,655.85,655.85,7082.0,55631.82,1702800.0,-261600.0,29-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,649.0,678.25,630.1,654.35,654.35,57.0,450.32,34800.0,1200.0,29-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,29-Apr-2021,0.0,XX,644.25,644.25,631.15,631.15,673.35,2.0,15.3,2400.0,2400.0,29-Jan-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,652.05,732.0,647.35,726.85,726.85,4060.0,33694.01,1581600.0,-121200.0,01-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,659.2,727.0,659.2,727.0,727.0,26.0,217.94,45600.0,10800.0,01-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,29-Apr-2021,0.0,XX,670.0,685.0,670.0,685.0,737.5,3.0,24.47,2400.0,0.0,01-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,730.05,795.0,728.65,748.4,748.4,5522.0,50198.85,1416000.0,-165600.0,02-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,743.15,789.6,728.15,750.0,764.25,86.0,787.28,60000.0,14400.0,02-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,29-Apr-2021,0.0,XX,743.15,743.15,737.05,737.05,767.4,2.0,17.76,2400.0,0.0,02-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,749.05,772.75,741.75,759.05,759.05,1465.0,13367.37,1275600.0,-140400.0,03-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Mar-2021,0.0,XX,751.7,769.6,751.0,768.25,768.15,21.0,192.17,62400.0,2400.0,03-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,29-Apr-2021,0.0,XX,0.0,0.0,0.0,737.05,771.3,0.0,0.0,2400.0,0.0,03-Feb-2021,,,N,,,,,
FUTSTK,CUMMINSIND,25-Feb-2021,0.0,XX,754.0,783.95,751.9,780.3,780.3,1152.0,10714.71,1254000.0,-21600.0,04-Feb-2021,,,N,,,,,
