FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DABUR,28-Jan-2021,0.0,XX,535.0,540.6,534.2,537.2,537.2,3228.0,21693.9,15392500.0,182500.0,01-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,538.5,541.3,536.3,538.7,538.7,31.0,208.96,73750.0,5000.0,01-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,540.0,544.0,540.0,541.0,541.0,4.0,27.1,3750.0,3750.0,01-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,538.1,545.3,534.4,544.7,544.7,4455.0,30116.21,15066250.0,-326250.0,04-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,541.6,546.8,536.15,546.35,546.35,72.0,488.48,86250.0,12500.0,04-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,541.95,547.9,541.95,547.9,547.9,4.0,27.29,5000.0,1250.0,04-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,543.0,544.7,538.2,541.55,541.55,3046.0,20609.91,14937500.0,-128750.0,05-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,541.2,546.45,541.0,543.3,543.3,67.0,454.79,83750.0,-2500.0,05-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,545.9,545.9,544.75,545.35,545.35,5.0,34.1,8750.0,3750.0,05-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,539.95,543.3,532.1,537.0,537.0,5029.0,33853.12,15817500.0,880000.0,06-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,543.45,545.0,535.1,538.85,538.85,132.0,890.71,133750.0,50000.0,06-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,543.0,547.0,539.5,540.35,538.95,8.0,54.32,13750.0,5000.0,06-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,539.4,540.85,535.0,536.45,536.45,2802.0,18828.65,15711250.0,-106250.0,07-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,541.4,542.0,537.55,538.25,538.25,91.0,613.45,173750.0,40000.0,07-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,543.75,544.6,540.0,540.0,540.0,13.0,88.0,18750.0,5000.0,07-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,538.95,543.5,535.5,540.75,540.75,4340.0,29279.16,14676250.0,-1035000.0,08-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,539.9,545.0,538.0,542.75,542.75,79.0,534.8,168750.0,-5000.0,08-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,542.0,545.0,541.0,544.6,544.6,16.0,108.57,17500.0,-1250.0,08-Jan-2021,,,N,,,,,
FUTSTK,DABUR,28-Jan-2021,0.0,XX,542.9,550.5,540.75,548.3,548.3,5122.0,35015.92,14506250.0,-170000.0,11-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Feb-2021,0.0,XX,543.0,552.1,543.0,550.2,550.2,147.0,1009.1,191250.0,22500.0,11-Jan-2021,,,N,,,,,
FUTSTK,DABUR,25-Mar-2021,0.0,XX,548.0,552.0,548.0,552.0,551.15,4.0,27.47,16250.0,-1250.0,11-Jan-2021,,,N,,,,,
