FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DIVISLAB,28-Jan-2021,0.0,XX,3827.25,3883.9,3805.0,3870.9,3870.9,2070.0,15993.46,2523800.0,51400.0,01-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Feb-2021,0.0,XX,3858.65,3891.0,3845.05,3875.05,3875.05,21.0,162.51,17600.0,400.0,01-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Mar-2021,0.0,XX,3875.0,3875.0,3875.0,3875.0,3886.3,1.0,7.75,200.0,200.0,01-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,28-Jan-2021,0.0,XX,3874.0,3926.85,3861.4,3874.85,3874.85,3811.0,29633.48,2507200.0,-16600.0,04-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Feb-2021,0.0,XX,3875.0,3935.0,3875.0,3880.0,3880.0,60.0,468.13,21000.0,3400.0,04-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Mar-2021,0.0,XX,3906.0,3937.4,3906.0,3937.4,3898.4,2.0,15.68,400.0,200.0,04-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,28-Jan-2021,0.0,XX,3859.05,3894.0,3824.1,3860.55,3860.55,3212.0,24806.55,2563400.0,56200.0,05-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Feb-2021,0.0,XX,3880.0,3901.95,3840.0,3873.1,3873.1,66.0,510.18,21600.0,600.0,05-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,25-Mar-2021,0.0,XX,3899.25,3899.25,3851.6,3851.6,3877.5,3.0,23.22,800.0,400.0,05-Jan-2021,,,N,,,,,
FUTSTK,DIVISLAB,28-Jan-2021,0.0,XX,3855.2,3898.0,3830.0,3892.9,3892.9,3734.0,28938.08,2502000.0,-61400.0,06-Jan-2021,,,N,,,,,
