FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4066.25,4167.95,3963.3,4026.75,4026.75,1623.0,8243.42,95125.0,95125.0,27-Aug-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4451.45,4451.45,3985.0,4037.85,4037.85,89.0,450.73,6875.0,6875.0,27-Aug-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4081.2,4084.9,0.0,0.0,0.0,0.0,27-Aug-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4100.45,4198.0,3975.4,4132.7,4132.7,2347.0,12082.91,156125.0,61000.0,30-Aug-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4037.5,4200.0,3994.65,4137.35,4137.35,93.0,477.73,9625.0,2750.0,30-Aug-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4179.0,4179.0,4164.05,4164.05,4164.05,2.0,10.42,250.0,250.0,30-Aug-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4135.0,4241.95,4118.5,4174.2,4174.2,1389.0,7240.35,173000.0,16875.0,31-Aug-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4144.5,4245.0,4122.0,4182.85,4182.85,58.0,302.34,10250.0,625.0,31-Aug-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4170.0,4182.05,4170.0,4182.05,4197.6,2.0,10.44,500.0,250.0,31-Aug-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4188.95,4209.75,4145.15,4157.45,4157.45,645.0,3363.65,183500.0,10500.0,01-Sep-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4191.1,4203.0,4153.35,4165.2,4165.2,45.0,234.88,10750.0,500.0,01-Sep-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4170.0,4170.0,4170.0,4170.0,4179.7,1.0,5.21,625.0,125.0,01-Sep-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4176.65,4349.8,4155.55,4311.6,4311.6,4246.0,22666.83,285625.0,102125.0,02-Sep-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4166.0,4356.0,4166.0,4323.35,4323.35,145.0,773.2,11750.0,1000.0,02-Sep-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4179.7,4265.0,4179.7,4264.0,4332.1,8.0,42.33,625.0,0.0,02-Sep-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4330.95,4357.1,4240.0,4257.25,4257.25,1898.0,10174.72,345625.0,60000.0,03-Sep-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4372.25,4372.25,4250.45,4270.55,4270.55,101.0,542.87,14625.0,2875.0,03-Sep-2021,,,N,,,,,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4333.1,4333.1,4311.15,4311.15,4311.15,4.0,21.63,1125.0,500.0,03-Sep-2021,,,N,,,,,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4257.45,4327.0,4250.95,4295.45,4295.45,994.0,5334.39,339625.0,-6000.0,06-Sep-2021,,,N,,,,,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4312.55,4333.35,4289.95,4308.1,4308.1,75.0,403.87,16375.0,1750.0,06-Sep-2021,,,N,,,,,
