FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,DMART,26-Dec-2024,,XX,N,3725.0,3764.7,3600.0,3727.4,3722.5,3736.85,3727.4,3194.0,1778004277.5,294000.0,294000.0,150.0,29-Nov-2024,,3709.6,
FUTSTK,DMART,30-Jan-2025,,XX,N,3716.9,3764.45,3716.9,3747.7,3748.8,3763.7,3747.7,89.0,49929262.5,9900.0,9900.0,150.0,29-Nov-2024,,3709.6,
FUTSTK,DMART,27-Feb-2025,,XX,N,3750.0,3774.95,3715.0,3765.15,3764.95,3784.85,3765.15,24.0,13521577.5,3000.0,3000.0,150.0,29-Nov-2024,,3709.6,
FUTSTK,DMART,26-Dec-2024,,XX,N,3738.25,3738.25,3643.5,3703.5,3706.95,3727.4,3703.5,2023.0,1116961687.5,435300.0,141300.0,150.0,02-Dec-2024,,3678.4,
FUTSTK,DMART,30-Jan-2025,,XX,N,3719.1,3730.0,3666.65,3723.75,3729.95,3747.7,3723.75,120.0,66608797.5,18150.0,8250.0,150.0,02-Dec-2024,,3678.4,
FUTSTK,DMART,27-Feb-2025,,XX,N,3735.0,3745.0,3690.0,3745.0,3745.0,3765.15,3745.0,16.0,8905860.0,5100.0,2100.0,150.0,02-Dec-2024,,3678.4,
FUTSTK,DMART,26-Dec-2024,,XX,N,3698.25,3874.7,3675.05,3848.45,3858.95,3703.5,3848.45,5044.0,2879942782.5,658950.0,223650.0,150.0,03-Dec-2024,,3829.85,
FUTSTK,DMART,30-Jan-2025,,XX,N,3700.0,3890.35,3700.0,3871.3,3884.6,3723.75,3871.3,330.0,188357497.5,31950.0,13800.0,150.0,03-Dec-2024,,3829.85,
FUTSTK,DMART,27-Feb-2025,,XX,N,3762.0,3902.0,3741.05,3884.85,3893.25,3745.0,3884.85,30.0,17171062.5,5250.0,150.0,150.0,03-Dec-2024,,3829.85,
FUTSTK,DMART,26-Dec-2024,,XX,N,3859.15,3907.0,3815.3,3858.2,3855.3,3848.45,3858.2,3998.0,2313786180.0,759900.0,100950.0,150.0,04-Dec-2024,,3850.1,
FUTSTK,DMART,30-Jan-2025,,XX,N,3885.0,3933.35,3843.5,3882.4,3882.35,3871.3,3882.4,198.0,115272900.0,34500.0,2550.0,150.0,04-Dec-2024,,3850.1,
FUTSTK,DMART,27-Feb-2025,,XX,N,3893.25,3929.0,3863.75,3897.2,3907.6,3884.85,3897.2,27.0,15799665.0,7200.0,1950.0,150.0,04-Dec-2024,,3850.1,
FUTSTK,DMART,26-Dec-2024,,XX,N,3858.25,3895.0,3830.15,3881.0,3892.05,3858.2,3881.0,1840.0,1067060317.5,817350.0,57450.0,150.0,05-Dec-2024,,3863.95,
FUTSTK,DMART,30-Jan-2025,,XX,N,3891.8,3919.65,3861.15,3908.8,3915.05,3882.4,3908.8,92.0,53734357.5,33300.0,-1200.0,150.0,05-Dec-2024,,3863.95,
FUTSTK,DMART,27-Feb-2025,,XX,N,3913.45,3916.25,3870.05,3916.25,3916.25,3897.2,3916.25,10.0,5844247.5,6900.0,-300.0,150.0,05-Dec-2024,,3863.95,
FUTSTK,DMART,26-Dec-2024,,XX,N,3879.95,3935.0,3788.8,3806.9,3804.0,3881.0,3806.9,5081.0,2926221412.5,1045650.0,228300.0,150.0,06-Dec-2024,,3805.55,
FUTSTK,DMART,30-Jan-2025,,XX,N,3908.8,3959.65,3820.05,3831.5,3833.0,3908.8,3831.5,266.0,154243297.5,45450.0,12150.0,150.0,06-Dec-2024,,3805.55,
FUTSTK,DMART,27-Feb-2025,,XX,N,3930.0,3935.0,3846.45,3858.0,3858.0,3916.25,3858.0,25.0,14529217.5,10200.0,3300.0,150.0,06-Dec-2024,,3805.55,
FUTSTK,DMART,26-Dec-2024,,XX,N,3818.7,3835.45,3756.9,3823.45,3834.95,3806.9,3823.45,6173.0,3518791687.5,1340400.0,294750.0,150.0,09-Dec-2024,,3829.05,
FUTSTK,DMART,30-Jan-2025,,XX,N,3831.5,3861.55,3784.05,3847.65,3855.35,3831.5,3847.65,868.0,496680075.0,97950.0,52500.0,150.0,09-Dec-2024,,3829.05,
