FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,EICHERMOT,28-Jan-2021,0.0,XX,2530.15,2570.0,2521.1,2556.7,2556.7,4066.0,36190.47,2459800.0,57050.0,01-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Feb-2021,0.0,XX,2544.0,2576.1,2532.0,2565.0,2565.0,55.0,490.39,22750.0,3850.0,01-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Mar-2021,0.0,XX,2545.0,2554.25,2545.0,2554.25,2567.4,2.0,17.84,700.0,700.0,01-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,28-Jan-2021,0.0,XX,2597.3,2674.8,2592.15,2661.55,2661.55,10164.0,93476.56,2313500.0,-146300.0,04-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Feb-2021,0.0,XX,2633.6,2678.0,2603.0,2669.3,2669.3,121.0,1118.22,24500.0,1750.0,04-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Mar-2021,0.0,XX,2619.75,2670.0,2619.75,2670.0,2670.0,6.0,55.21,1750.0,1050.0,04-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,28-Jan-2021,0.0,XX,2660.0,2688.5,2619.35,2680.1,2680.1,3902.0,36278.7,2296700.0,-16800.0,05-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Feb-2021,0.0,XX,2655.15,2694.1,2630.0,2686.45,2686.45,86.0,802.6,31500.0,7000.0,05-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,25-Mar-2021,0.0,XX,2680.0,2690.15,2675.4,2690.15,2690.15,5.0,46.9,2800.0,1050.0,05-Jan-2021,,,N,,,,,
FUTSTK,EICHERMOT,28-Jan-2021,0.0,XX,2665.65,2682.95,2618.25,2658.55,2658.55,3080.0,28630.44,2270450.0,-26250.0,06-Jan-2021,,,N,,,,,
