FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,192.1,193.65,190.8,192.05,192.05,673.0,4662.49,12643200.0,-86400.0,01-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,193.4,193.4,192.0,192.45,192.45,7.0,48.56,108000.0,3600.0,01-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,193.1,193.1,193.1,193.1,193.1,1.0,6.95,3600.0,3600.0,01-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,193.0,198.55,191.35,197.3,197.3,2649.0,18647.19,13053600.0,410400.0,04-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,193.35,199.3,193.3,198.05,198.05,31.0,219.54,104400.0,-3600.0,04-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,193.1,198.2,0.0,0.0,3600.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,195.1,197.2,192.8,196.4,196.4,2235.0,15695.86,13021200.0,-32400.0,05-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,196.75,197.85,194.5,197.0,197.0,28.0,197.28,129600.0,25200.0,05-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,198.0,198.1,198.0,198.1,198.1,2.0,14.25,10800.0,7200.0,05-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,197.35,198.75,192.25,194.9,194.9,1887.0,13302.97,13068000.0,46800.0,06-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,197.4,198.25,194.4,195.55,195.55,41.0,289.49,144000.0,14400.0,06-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,198.1,198.1,197.0,197.0,195.55,2.0,14.22,18000.0,7200.0,06-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,196.45,199.9,195.75,197.65,197.65,2602.0,18560.82,12448800.0,-619200.0,07-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,197.1,200.25,197.1,198.25,198.25,37.0,264.62,180000.0,36000.0,07-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,197.0,200.0,197.0,200.0,198.8,7.0,50.11,25200.0,7200.0,07-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,200.0,201.95,196.75,199.2,199.2,2076.0,14905.29,12290400.0,-158400.0,08-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,200.1,202.4,198.0,199.6,199.6,43.0,309.73,226800.0,46800.0,08-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,200.4,202.0,198.8,200.45,200.1,7.0,50.46,32400.0,7200.0,08-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,200.0,201.2,197.35,199.55,199.55,1552.0,11157.39,12409200.0,118800.0,11-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,200.35,201.8,199.0,200.3,200.3,37.0,267.12,259200.0,32400.0,11-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,200.45,202.15,200.45,200.6,200.6,7.0,50.69,46800.0,14400.0,11-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,199.3,208.8,198.55,205.25,205.25,5178.0,38329.49,13284000.0,874800.0,12-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,201.65,209.45,200.75,204.55,204.55,340.0,2522.12,644400.0,385200.0,12-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,202.4,208.95,202.4,204.85,204.85,16.0,118.99,43200.0,-3600.0,12-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,207.15,209.25,197.9,201.6,201.6,3248.0,23859.78,13572000.0,288000.0,13-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,206.85,208.0,197.45,200.75,200.75,176.0,1280.89,763200.0,118800.0,13-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,207.35,208.25,202.5,202.5,202.6,7.0,51.99,46800.0,3600.0,13-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,202.8,204.2,200.85,203.6,203.6,1314.0,9599.9,12920400.0,-651600.0,14-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,202.1,203.5,200.35,203.25,203.25,103.0,749.56,813600.0,50400.0,14-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,202.6,202.6,202.6,202.6,204.6,1.0,7.29,46800.0,0.0,14-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,203.75,205.35,196.75,200.55,200.55,1964.0,14185.08,12200400.0,-720000.0,15-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,203.8,204.2,196.5,200.0,200.0,195.0,1403.88,907200.0,93600.0,15-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,202.0,202.0,201.6,201.6,201.9,2.0,14.52,39600.0,-7200.0,15-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,200.2,200.55,190.65,194.5,194.5,1741.0,12242.07,11422800.0,-777600.0,18-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,200.0,200.0,190.75,193.5,193.5,281.0,1962.82,1368000.0,460800.0,18-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,197.0,197.0,193.0,196.0,196.15,9.0,63.41,50400.0,10800.0,18-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,196.3,200.5,195.25,200.15,200.15,1006.0,7167.81,11181600.0,-241200.0,19-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,195.8,199.75,194.85,199.45,199.45,182.0,1290.76,1537200.0,169200.0,19-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,196.15,199.45,196.15,199.45,200.8,4.0,28.45,57600.0,7200.0,19-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,199.65,201.35,197.5,200.65,200.65,2509.0,18044.85,10839600.0,-342000.0,20-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,199.0,201.0,197.15,200.15,200.15,356.0,2551.27,1778400.0,241200.0,20-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,199.0,201.0,199.0,200.6,200.6,4.0,28.83,57600.0,0.0,20-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,202.05,204.2,194.95,197.9,197.9,2198.0,15914.87,10605600.0,-234000.0,21-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,201.15,203.55,194.6,197.55,197.55,609.0,4399.42,2300400.0,522000.0,21-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,203.5,204.0,195.6,197.75,197.75,15.0,109.36,93600.0,36000.0,21-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,198.7,206.9,198.7,200.95,200.95,3702.0,27104.8,9939600.0,-666000.0,22-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,198.0,206.25,198.0,200.0,200.0,1530.0,11168.37,3351600.0,1051200.0,22-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,200.35,206.15,200.35,200.75,200.75,15.0,109.71,115200.0,21600.0,22-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,203.05,204.85,193.5,199.95,199.95,6901.0,49808.0,7693200.0,-2246400.0,25-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,202.15,203.6,192.65,199.3,199.3,2295.0,16376.55,6415200.0,3063600.0,25-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,203.6,203.6,194.05,200.75,200.75,14.0,100.65,129600.0,14400.0,25-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,200.2,203.4,195.4,196.85,196.85,2435.0,17489.62,3510000.0,-4183200.0,27-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,199.0,202.9,195.0,196.3,196.3,2506.0,17934.1,10490400.0,4075200.0,27-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,199.75,202.0,197.25,198.0,198.15,7.0,50.11,136800.0,7200.0,27-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,28-Jan-2021,0.0,XX,193.65,199.9,193.65,198.2,198.1,1630.0,11592.55,1652400.0,-1857600.0,28-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,192.7,199.35,192.7,197.2,197.2,3069.0,21769.36,13003200.0,2512800.0,28-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,195.0,200.0,195.0,197.7,199.4,8.0,56.81,154800.0,18000.0,28-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,198.35,201.0,189.9,191.9,191.9,5813.0,40971.2,12830400.0,-172800.0,29-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,199.4,200.35,190.7,191.85,191.85,68.0,480.18,183600.0,28800.0,29-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,196.65,198.5,196.65,198.5,195.55,2.0,14.22,7200.0,7200.0,29-Jan-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,192.8,195.0,185.9,194.0,194.0,3511.0,24079.87,11404800.0,-1425600.0,01-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,191.85,195.5,186.95,194.6,194.6,60.0,412.33,244800.0,61200.0,01-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,191.75,195.45,188.2,195.45,196.65,13.0,89.21,39600.0,32400.0,01-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,195.95,201.8,195.8,200.75,200.75,2646.0,18973.71,10551600.0,-853200.0,02-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,197.65,202.0,197.6,201.75,201.75,53.0,381.21,216000.0,-28800.0,02-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,199.0,202.2,199.0,202.2,202.2,19.0,136.59,46800.0,7200.0,02-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,203.75,207.0,199.9,203.55,203.55,2654.0,19474.53,10832400.0,280800.0,03-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,202.0,207.0,201.25,204.45,204.45,74.0,544.35,190800.0,-25200.0,03-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,202.2,206.0,201.1,204.9,204.9,15.0,110.19,50400.0,3600.0,03-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,202.1,209.75,201.75,204.6,204.6,3342.0,24824.03,11556000.0,723600.0,04-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,202.75,210.0,202.75,204.95,204.95,67.0,499.66,223200.0,32400.0,04-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,208.6,210.55,204.9,204.9,204.9,9.0,67.38,68400.0,18000.0,04-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,205.5,207.5,202.65,204.25,204.25,2327.0,17188.24,10915200.0,-640800.0,05-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,207.55,207.75,203.5,204.95,204.95,30.0,222.39,241200.0,18000.0,05-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,207.0,208.0,204.75,206.85,205.75,6.0,44.66,61200.0,-7200.0,05-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,205.0,217.0,205.0,214.85,214.85,8863.0,68229.44,12639600.0,1724400.0,08-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,207.35,217.55,206.0,215.55,215.55,411.0,3181.43,457200.0,216000.0,08-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,215.0,217.55,214.45,217.55,216.55,16.0,124.5,72000.0,10800.0,08-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,218.85,219.0,210.35,211.75,211.75,3791.0,29244.96,11311200.0,-1328400.0,09-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,218.05,218.2,211.25,212.6,212.6,179.0,1387.49,550800.0,93600.0,09-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,215.45,217.25,214.7,216.0,213.4,7.0,54.45,86400.0,14400.0,09-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,213.2,216.05,209.55,215.2,215.2,2991.0,22988.53,11293200.0,-18000.0,10-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,214.15,216.7,210.85,216.2,216.2,148.0,1142.79,453600.0,-97200.0,10-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,213.4,217.1,213.4,216.7,216.7,6.0,46.64,90000.0,3600.0,10-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,213.5,215.8,211.4,212.4,212.4,1502.0,11553.35,11556000.0,262800.0,11-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,214.8,216.55,212.7,213.05,213.05,52.0,401.74,511200.0,57600.0,11-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,216.7,216.7,214.5,214.5,214.15,3.0,23.32,90000.0,0.0,11-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,212.9,214.35,210.0,212.5,212.5,1491.0,11403.37,11232000.0,-324000.0,12-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,213.25,214.95,211.1,213.65,213.65,44.0,337.95,529200.0,18000.0,12-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,29-Apr-2021,0.0,XX,214.15,214.15,214.15,214.15,213.25,2.0,15.41,90000.0,0.0,12-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Feb-2021,0.0,XX,213.9,215.75,212.1,213.0,213.0,2024.0,15586.66,11235600.0,3600.0,15-Feb-2021,,,N,,,,,
FUTSTK,EXIDEIND,25-Mar-2021,0.0,XX,214.6,216.7,213.2,213.8,213.8,78.0,603.04,612000.0,82800.0,15-Feb-2021,,,N,,,,,
