FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,FORTIS,26-Jun-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,716.3,
FUTSTK,FORTIS,31-Jul-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,716.3,
FUTSTK,FORTIS,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,716.3,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,724.8,724.8,708.0,711.1,714.45,719.85,711.1,574.0,318018886.25,199175.0,199175.0,775.0,30-May-2025,,706.3,
FUTSTK,FORTIS,31-Jul-2025,,XX,N,718.4,718.55,710.0,713.2,715.65,724.55,713.2,10.0,5542722.5,5425.0,5425.0,775.0,30-May-2025,,706.3,
FUTSTK,FORTIS,28-Aug-2025,,XX,N,722.5,722.5,716.5,716.5,716.5,728.25,716.5,2.0,1115225.0,1550.0,1550.0,775.0,30-May-2025,,706.3,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,711.1,739.6,704.25,725.15,725.0,711.1,725.15,2172.0,1227132365.0,1126850.0,927675.0,775.0,02-Jun-2025,,722.35,
FUTSTK,FORTIS,31-Jul-2025,,XX,N,718.45,737.65,718.45,727.15,727.45,713.2,727.15,24.0,13625197.5,17825.0,12400.0,775.0,02-Jun-2025,,722.35,
FUTSTK,FORTIS,28-Aug-2025,,XX,N,726.6,735.0,726.6,735.0,735.0,716.5,735.0,3.0,1702365.0,2325.0,775.0,775.0,02-Jun-2025,,722.35,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,728.4,744.0,728.4,733.85,733.8,725.15,733.85,1394.0,796380738.75,1394225.0,267375.0,775.0,03-Jun-2025,,729.65,
FUTSTK,FORTIS,31-Jul-2025,,XX,N,735.05,744.45,733.45,733.45,733.45,727.15,733.45,18.0,10292581.25,17825.0,0.0,775.0,03-Jun-2025,,729.65,
FUTSTK,FORTIS,28-Aug-2025,,XX,N,740.05,740.05,738.65,738.65,738.65,735.0,738.65,2.0,1145992.5,2325.0,0.0,775.0,03-Jun-2025,,729.65,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,735.25,749.0,727.6,743.1,742.3,733.85,743.1,1620.0,931968267.5,2004150.0,609925.0,775.0,04-Jun-2025,,738.85,
FUTSTK,FORTIS,31-Jul-2025,,XX,N,729.3,750.0,729.1,745.25,744.05,733.45,745.25,45.0,25964282.5,28675.0,10850.0,775.0,04-Jun-2025,,738.85,
FUTSTK,FORTIS,28-Aug-2025,,XX,N,745.0,745.0,745.0,745.0,745.0,738.65,745.0,1.0,577375.0,2325.0,0.0,775.0,04-Jun-2025,,738.85,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,748.75,761.0,740.0,759.1,758.35,743.1,759.1,3008.0,1763813355.0,2986850.0,982700.0,775.0,05-Jun-2025,,754.75,
FUTSTK,FORTIS,31-Jul-2025,,XX,N,749.45,762.75,749.45,761.5,762.0,745.25,761.5,61.0,35894357.5,31775.0,3100.0,775.0,05-Jun-2025,,754.75,
FUTSTK,FORTIS,28-Aug-2025,,XX,N,760.0,763.25,759.0,763.25,763.25,745.0,763.25,10.0,5899067.5,9300.0,6975.0,775.0,05-Jun-2025,,754.75,
FUTSTK,FORTIS,26-Jun-2025,,XX,N,762.0,772.1,758.1,767.3,766.0,759.1,767.3,2529.0,1501598150.0,3570425.0,583575.0,775.0,06-Jun-2025,,763.3,
