FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,GAIL,28-Jan-2021,0.0,XX,123.4,124.75,122.4,123.9,123.9,1095.0,8262.51,26608200.0,433100.0,01-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,123.0,124.0,121.95,123.15,123.15,20.0,150.2,512400.0,12200.0,01-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,124.3,124.85,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,124.75,129.05,124.75,128.55,128.55,3843.0,29897.3,28023400.0,1415200.0,04-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,125.25,127.4,124.35,127.15,127.15,174.0,1334.57,671000.0,158600.0,04-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,124.3,129.2,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,127.6,130.3,126.25,129.95,129.95,3344.0,26288.47,27352400.0,-671000.0,05-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,125.0,128.25,125.0,128.15,128.15,117.0,907.83,817400.0,146400.0,05-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,127.25,128.2,127.25,128.2,128.2,2.0,15.58,12200.0,12200.0,05-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,131.45,136.85,131.2,134.6,134.6,5332.0,43714.31,28682200.0,1329800.0,06-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,132.8,135.0,130.2,132.45,132.45,169.0,1367.18,854000.0,36600.0,06-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,131.25,133.0,131.25,132.6,135.2,5.0,40.4,18300.0,6100.0,06-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,135.55,135.9,132.6,133.95,133.95,2534.0,20737.01,28877400.0,195200.0,07-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,133.3,133.5,130.55,132.0,132.0,195.0,1573.93,1238300.0,384300.0,07-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,133.0,133.0,132.0,132.4,134.65,6.0,48.48,24400.0,6100.0,07-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,134.6,134.9,131.95,133.15,133.15,1880.0,15313.89,30835500.0,1958100.0,08-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,132.35,132.95,130.0,131.1,131.1,107.0,860.13,1506700.0,268400.0,08-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,132.0,132.0,131.0,131.15,131.15,4.0,32.05,42700.0,18300.0,08-Jan-2021,,,N,,,,
FUTSTK,GAIL,28-Jan-2021,0.0,XX,133.55,136.2,131.75,135.4,135.4,3766.0,30793.0,34526000.0,3690500.0,11-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Feb-2021,0.0,XX,131.4,134.65,130.3,133.9,133.9,382.0,3077.84,2348500.0,841800.0,11-Jan-2021,,,N,,,,
FUTSTK,GAIL,25-Mar-2021,0.0,XX,131.05,134.25,130.55,134.0,134.0,8.0,64.94,61000.0,18300.0,11-Jan-2021,,,N,,,,
