FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GLENMARK,28-Jan-2021,0.0,XX,496.0,506.75,495.95,504.95,504.95,1566.0,9045.08,5137050.0,-166750.0,01-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Feb-2021,0.0,XX,499.15,506.0,499.0,505.35,505.85,8.0,46.27,43700.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Mar-2021,0.0,XX,0.0,0.0,0.0,497.7,507.5,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,28-Jan-2021,0.0,XX,507.85,522.25,506.05,517.15,517.15,3011.0,17837.95,5081850.0,-55200.0,04-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Feb-2021,0.0,XX,509.2,522.5,509.2,519.0,517.75,36.0,213.76,49450.0,5750.0,04-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Mar-2021,0.0,XX,521.3,521.3,518.65,518.65,519.4,2.0,11.95,2300.0,2300.0,04-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,28-Jan-2021,0.0,XX,515.15,523.0,513.2,520.2,520.2,2044.0,12200.2,5161200.0,79350.0,05-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Feb-2021,0.0,XX,520.4,523.25,518.0,522.1,522.1,17.0,101.96,55200.0,5750.0,05-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,25-Mar-2021,0.0,XX,0.0,0.0,0.0,518.65,522.5,0.0,0.0,2300.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,GLENMARK,28-Jan-2021,0.0,XX,520.4,527.5,512.5,521.75,521.75,2342.0,14052.31,5038150.0,-123050.0,06-Jan-2021,,,N,,,,,
