FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,739.95,749.75,739.1,743.1,743.1,876.0,6522.66,5357000.0,-102000.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,746.75,747.7,741.25,745.0,743.7,20.0,149.15,38000.0,6000.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,746.45,746.15,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,745.15,761.8,738.55,760.2,760.2,2781.0,20922.24,5414000.0,57000.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,746.0,762.0,741.55,761.6,761.6,31.0,233.23,48000.0,10000.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,746.45,765.2,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,757.9,764.9,749.6,762.6,762.6,1889.0,14325.59,5542000.0,128000.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,761.6,765.0,756.0,762.75,762.75,8.0,60.87,47000.0,-1000.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,746.45,767.35,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,763.95,764.4,740.15,747.7,747.7,4723.0,35437.76,5475000.0,-67000.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,765.0,765.0,743.0,748.5,748.5,47.0,353.2,61000.0,14000.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,747.0,747.0,747.0,747.0,751.5,1.0,7.47,1000.0,1000.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,751.55,753.75,735.5,737.45,737.45,2192.0,16268.7,5661000.0,186000.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,749.95,749.95,738.0,738.3,738.3,30.0,222.21,82000.0,21000.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,751.5,751.5,743.0,743.0,739.95,3.0,22.4,2000.0,1000.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,735.0,753.3,735.0,750.95,750.95,3639.0,27178.44,4863000.0,-798000.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,744.0,754.3,741.0,752.65,752.65,60.0,447.96,71000.0,-11000.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,748.85,753.5,748.85,753.5,757.0,2.0,15.02,0.0,-2000.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,753.05,786.3,753.05,772.5,772.5,6542.0,50518.14,4767000.0,-96000.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,759.45,786.8,757.65,774.55,774.55,85.0,656.22,75000.0,4000.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,753.5,776.15,0.0,0.0,0.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,775.0,778.9,763.0,764.7,764.7,1736.0,13344.03,4778000.0,11000.0,12-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,780.85,780.85,765.0,765.05,765.05,24.0,184.31,78000.0,3000.0,12-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,753.5,768.6,0.0,0.0,0.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,768.8,775.7,759.65,772.2,772.2,2148.0,16543.0,4419000.0,-359000.0,13-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,770.5,776.0,764.35,773.75,773.75,19.0,146.63,77000.0,-1000.0,13-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,777.9,777.9,777.9,777.9,776.95,1.0,7.77,1000.0,1000.0,13-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,776.0,789.5,766.35,784.15,784.15,2916.0,22767.3,4300000.0,-119000.0,14-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,774.5,789.0,774.5,784.0,784.0,38.0,297.05,82000.0,5000.0,14-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,782.95,787.1,782.85,787.1,789.8,4.0,31.39,5000.0,4000.0,14-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,783.05,793.1,770.4,782.85,782.85,2973.0,23266.9,4047000.0,-253000.0,15-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,785.0,792.0,772.1,783.6,783.6,62.0,485.8,86000.0,4000.0,15-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,790.4,795.0,786.4,786.4,786.4,4.0,31.66,8000.0,3000.0,15-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,779.05,793.8,768.45,778.3,778.3,2301.0,17994.19,3878000.0,-169000.0,18-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,785.65,791.8,777.0,777.0,777.0,41.0,321.49,86000.0,0.0,18-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,788.35,788.35,780.55,780.55,784.15,2.0,15.68,10000.0,2000.0,18-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,786.0,798.8,779.85,790.25,790.25,2031.0,16059.79,3837000.0,-41000.0,19-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,788.0,799.45,782.45,791.0,791.0,52.0,412.06,90000.0,4000.0,19-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,789.0,800.0,789.0,800.0,792.7,5.0,39.68,9000.0,-1000.0,19-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,791.6,805.85,791.6,801.0,801.0,1849.0,14787.56,3620000.0,-217000.0,20-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,797.25,805.9,796.6,801.0,801.0,140.0,1121.12,121000.0,31000.0,20-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,802.95,802.95,801.3,801.3,807.05,3.0,24.07,10000.0,1000.0,20-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,802.6,808.0,794.45,797.6,797.6,1896.0,15185.87,3563000.0,-57000.0,21-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,804.95,808.85,796.0,798.35,798.35,232.0,1862.28,169000.0,48000.0,21-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,807.6,807.6,806.4,806.4,803.3,4.0,32.28,10000.0,0.0,21-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,796.2,802.65,785.45,789.45,789.45,2006.0,15922.52,3369000.0,-194000.0,22-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,795.75,801.1,787.35,790.05,790.05,394.0,3130.08,305000.0,136000.0,22-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,803.3,803.3,797.9,797.9,795.75,2.0,16.01,10000.0,0.0,22-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,796.3,805.7,779.0,781.95,781.95,2984.0,23645.93,2589000.0,-780000.0,25-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,799.5,804.95,778.35,781.1,781.1,1607.0,12736.47,982000.0,677000.0,25-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,798.45,798.45,782.0,782.0,782.0,5.0,39.6,12000.0,2000.0,25-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,780.0,787.35,767.6,776.8,776.8,2827.0,22031.06,993000.0,-1596000.0,27-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,776.15,787.2,769.4,778.25,778.25,2592.0,20221.16,2364000.0,1382000.0,27-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,783.9,785.3,771.85,771.85,779.1,3.0,23.41,11000.0,-1000.0,27-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,28-Jan-2021,0.0,XX,771.7,781.1,766.45,778.25,777.8,821.0,6364.16,567000.0,-426000.0,28-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,773.0,781.4,770.0,778.2,778.2,1385.0,10746.76,2567000.0,203000.0,28-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,771.85,782.9,0.0,0.0,11000.0,0.0,28-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,782.15,782.15,742.6,746.9,746.9,1879.0,14268.63,3025000.0,458000.0,29-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,766.95,766.95,760.0,760.0,749.45,3.0,22.93,11000.0,0.0,29-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,772.0,772.0,772.0,772.0,752.5,1.0,7.72,1000.0,1000.0,29-Jan-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,754.4,763.45,749.5,755.15,755.15,1220.0,9218.46,3160000.0,135000.0,01-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,754.8,757.3,754.8,757.3,757.5,2.0,15.12,12000.0,1000.0,01-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,0.0,0.0,0.0,772.0,760.6,0.0,0.0,1000.0,0.0,01-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,759.0,771.95,747.45,750.45,750.45,1426.0,10798.47,3241000.0,81000.0,02-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,759.0,759.0,750.75,753.75,753.75,7.0,52.88,18000.0,6000.0,02-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,757.65,757.65,755.3,755.3,755.3,3.0,22.69,4000.0,3000.0,02-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,751.1,759.0,746.3,748.85,748.85,1404.0,10555.54,3387000.0,146000.0,03-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,753.75,756.25,749.0,750.35,750.35,15.0,112.96,26000.0,8000.0,03-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,755.3,755.3,755.3,755.3,754.35,1.0,7.55,4000.0,0.0,03-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,749.1,769.95,749.1,767.5,767.5,2086.0,15922.48,3275000.0,-112000.0,04-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,755.5,771.9,755.5,771.0,771.0,27.0,207.13,34000.0,8000.0,04-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,763.05,763.05,763.05,763.05,776.3,1.0,7.63,3000.0,-1000.0,04-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,769.55,772.95,746.5,749.2,749.2,1429.0,10773.78,3386000.0,111000.0,05-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,771.0,771.0,750.0,751.3,753.35,16.0,121.08,42000.0,8000.0,05-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,770.3,770.3,758.15,758.15,756.4,2.0,15.28,4000.0,1000.0,05-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,752.55,758.0,735.95,739.05,739.05,4233.0,31583.86,3714000.0,328000.0,08-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,753.35,759.2,739.0,742.7,742.7,79.0,591.88,58000.0,16000.0,08-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,756.4,759.0,745.0,745.0,742.35,5.0,37.69,7000.0,3000.0,08-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,735.85,749.7,716.6,744.9,744.9,3509.0,25827.24,3669000.0,-45000.0,09-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,729.6,749.5,718.15,747.6,747.6,69.0,507.8,59000.0,1000.0,09-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,725.0,751.0,725.0,751.0,750.45,8.0,59.03,7000.0,0.0,09-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,750.0,754.5,741.55,752.8,752.8,1520.0,11380.87,3656000.0,-13000.0,10-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,748.4,757.0,743.95,755.4,755.4,24.0,180.33,57000.0,-2000.0,10-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,750.0,755.0,750.0,755.0,755.0,3.0,22.59,6000.0,-1000.0,10-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,754.8,764.5,751.2,759.95,759.95,1449.0,10987.6,3609000.0,-47000.0,11-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,763.55,765.35,755.4,761.5,761.5,16.0,121.72,53000.0,-4000.0,11-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,762.75,765.25,762.75,765.25,765.6,2.0,15.28,7000.0,1000.0,11-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,764.65,765.0,753.5,755.15,755.15,800.0,6077.43,3517000.0,-92000.0,12-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,767.85,767.85,755.65,756.7,756.7,18.0,137.2,49000.0,-4000.0,12-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,0.0,0.0,0.0,765.25,761.0,0.0,0.0,7000.0,0.0,12-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,752.3,760.15,744.6,746.25,746.25,1099.0,8263.99,3548000.0,31000.0,15-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,756.05,761.6,747.8,749.0,749.0,51.0,384.18,71000.0,22000.0,15-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,29-Apr-2021,0.0,XX,762.0,762.0,762.0,762.0,749.65,1.0,7.62,7000.0,0.0,15-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Feb-2021,0.0,XX,744.55,745.35,720.9,724.35,724.35,1722.0,12558.22,3767000.0,219000.0,16-Feb-2021,,,N,,,,,
FUTSTK,GODREJCP,25-Mar-2021,0.0,XX,742.35,743.55,722.55,726.25,726.25,241.0,1758.79,193000.0,122000.0,16-Feb-2021,,,N,,,,,
