FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1431.0,1436.8,1412.0,1431.35,1431.35,779.0,7208.68,1045200.0,6500.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1422.55,1423.2,1418.0,1423.2,1436.4,12.0,110.72,72150.0,1950.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1444.3,1441.1,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1439.6,1442.0,1405.0,1415.55,1415.55,1253.0,11558.61,1094600.0,49400.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1438.0,1438.0,1404.3,1415.5,1415.5,15.0,138.06,74750.0,2600.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1444.3,1420.35,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1408.05,1431.5,1406.15,1414.5,1414.5,1041.0,9597.78,1040000.0,-54600.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1402.35,1426.05,1402.35,1414.95,1414.95,50.0,461.68,97500.0,22750.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,1419.6,1421.65,1415.9,1415.9,1415.9,8.0,73.8,5200.0,5200.0,05-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1423.45,1478.9,1412.45,1468.65,1468.65,3796.0,35809.54,1218100.0,178100.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1416.15,1478.0,1415.25,1469.8,1469.8,72.0,676.78,102050.0,4550.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,1424.2,1424.2,1424.2,1424.2,1473.95,1.0,9.25,5200.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1504.25,1531.45,1445.1,1453.45,1453.45,4414.0,42800.78,1436500.0,218400.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1507.0,1542.5,1452.65,1454.3,1454.3,128.0,1238.64,127400.0,25350.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,1511.15,1511.15,1473.2,1473.2,1465.85,7.0,68.51,9750.0,4550.0,07-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1460.0,1485.5,1434.15,1467.4,1467.4,2053.0,19573.81,1446900.0,10400.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1461.95,1483.95,1440.0,1468.85,1468.85,99.0,944.18,148200.0,20800.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,1470.75,1470.75,1450.0,1467.8,1467.8,4.0,38.01,11050.0,1300.0,08-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1470.0,1492.85,1459.75,1478.75,1478.75,1441.0,13851.46,1296100.0,-150800.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1482.75,1492.6,1472.5,1482.35,1482.35,87.0,837.57,176150.0,27950.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Mar-2021,0.0,XX,1490.0,1490.0,1477.85,1483.65,1483.65,19.0,182.91,23400.0,12350.0,11-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,28-Jan-2021,0.0,XX,1470.55,1509.75,1467.0,1481.8,1481.8,2459.0,23837.61,1340950.0,44850.0,12-Jan-2021,,,N,,,,,
FUTSTK,GODREJPROP,25-Feb-2021,0.0,XX,1485.6,1507.25,1473.6,1484.15,1484.15,173.0,1676.86,234000.0,57850.0,12-Jan-2021,,,N,,,,,
