FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HAL,30-Sep-2021,0.0,XX,1294.0,1405.0,1271.0,1387.0,1387.0,3739.0,24123.77,658350.0,658350.0,27-Aug-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1318.05,1405.0,1318.05,1393.1,1393.1,25.0,161.86,5700.0,5700.0,27-Aug-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1301.9,1394.4,0.0,0.0,0.0,0.0,27-Aug-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1392.5,1463.0,1354.05,1404.3,1404.3,3547.0,23879.09,812250.0,153900.0,30-Aug-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1374.0,1455.0,1371.15,1405.45,1405.45,71.0,480.72,10925.0,5225.0,30-Aug-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1450.0,1450.0,1450.0,1450.0,1412.7,1.0,6.88,475.0,475.0,30-Aug-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1394.9,1422.85,1371.0,1380.05,1380.05,1570.0,10382.64,922450.0,110200.0,31-Aug-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1393.0,1424.75,1378.5,1386.2,1386.2,30.0,198.4,13775.0,2850.0,31-Aug-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1430.0,1430.0,1396.25,1396.25,1396.25,3.0,20.21,950.0,475.0,31-Aug-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1371.05,1385.0,1342.6,1355.8,1355.8,1258.0,8119.25,963775.0,41325.0,01-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1392.7,1392.7,1350.7,1363.35,1363.35,31.0,200.93,17100.0,3325.0,01-Sep-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1379.4,1379.4,1373.85,1373.85,1373.85,2.0,13.07,1900.0,950.0,01-Sep-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1360.0,1434.95,1360.0,1386.05,1386.05,3547.0,23718.79,1170875.0,207100.0,02-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1385.55,1435.9,1385.55,1390.9,1390.9,36.0,241.36,19950.0,2850.0,02-Sep-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1389.0,1412.0,1389.0,1399.0,1399.0,6.0,39.92,2375.0,475.0,02-Sep-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1426.0,1435.9,1387.7,1397.95,1397.95,2303.0,15375.85,1273950.0,103075.0,03-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1433.2,1433.2,1399.65,1405.4,1405.4,37.0,248.38,27550.0,7600.0,03-Sep-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1410.0,1410.0,1410.0,1410.0,1406.7,1.0,6.69,2850.0,475.0,03-Sep-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1403.1,1428.1,1357.25,1363.25,1363.25,2641.0,17369.77,1466800.0,192850.0,06-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1405.4,1433.0,1362.2,1371.95,1371.95,88.0,580.88,37050.0,9500.0,06-Sep-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1415.0,1415.0,1378.0,1378.0,1372.65,3.0,19.83,4275.0,1425.0,06-Sep-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1361.25,1394.0,1342.1,1380.5,1380.5,3497.0,22786.53,1494350.0,27550.0,07-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1361.95,1398.0,1350.0,1388.05,1388.05,50.0,327.69,41800.0,4750.0,07-Sep-2021,,,N,,,,,
FUTSTK,HAL,25-Nov-2021,0.0,XX,1369.9,1400.0,1369.9,1395.0,1395.0,4.0,26.4,4275.0,0.0,07-Sep-2021,,,N,,,,,
FUTSTK,HAL,30-Sep-2021,0.0,XX,1377.1,1393.0,1351.0,1369.85,1369.85,1605.0,10446.32,1493400.0,-950.0,08-Sep-2021,,,N,,,,,
FUTSTK,HAL,28-Oct-2021,0.0,XX,1384.25,1388.8,1362.75,1362.75,1375.15,50.0,326.2,45125.0,3325.0,08-Sep-2021,,,N,,,,,
