FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,922.65,929.7,910.5,914.3,914.3,1927.0,17763.24,3282000.0,-1000.0,01-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,924.95,928.85,913.7,913.7,913.7,19.0,175.48,35000.0,5000.0,01-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,923.95,918.75,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,917.15,926.85,912.9,923.95,923.95,1604.0,14769.74,3246000.0,-36000.0,04-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,918.9,923.5,918.9,923.05,923.05,9.0,82.92,37000.0,2000.0,04-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,923.95,927.45,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,915.9,939.95,915.9,937.95,937.95,2409.0,22494.58,3265000.0,19000.0,05-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,929.45,940.35,929.45,937.75,937.75,42.0,392.53,43000.0,6000.0,05-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,935.05,935.05,935.05,935.05,944.35,1.0,9.35,1000.0,1000.0,05-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,943.1,954.9,936.15,948.55,948.55,3757.0,35600.36,3020000.0,-245000.0,06-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,946.6,954.45,940.0,951.05,951.05,49.0,464.63,54000.0,11000.0,06-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,945.0,945.0,945.0,945.0,954.55,2.0,18.9,2000.0,1000.0,06-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,952.6,978.8,947.45,973.0,973.0,2923.0,28227.55,3083000.0,63000.0,07-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,954.8,979.0,950.0,972.65,972.65,62.0,598.86,69000.0,15000.0,07-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,945.0,980.0,0.0,0.0,2000.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,976.9,1010.9,975.45,1008.25,1008.25,3717.0,37131.97,3120000.0,37000.0,08-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Feb-2021,0.0,XX,990.4,1010.0,986.0,1008.8,1008.8,58.0,579.78,80000.0,11000.0,08-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,25-Mar-2021,0.0,XX,1005.0,1005.0,1005.0,1005.0,1016.45,1.0,10.05,2000.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,HAVELLS,28-Jan-2021,0.0,XX,1015.85,1024.1,1003.75,1013.2,1013.2,2304.0,23298.58,3122000.0,2000.0,11-Jan-2021,,,N,,,,,
