FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,945.8,956.5,943.3,948.4,948.4,4662.0,30991.65,18642400.0,72100.0,01-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,949.9,957.0,947.5,950.75,950.75,186.0,1240.41,184100.0,59500.0,01-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,954.2,957.45,950.0,955.0,959.75,10.0,66.73,6300.0,6300.0,01-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,956.65,984.55,950.7,980.7,980.7,9851.0,66752.44,18844700.0,202300.0,04-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,958.0,987.0,954.0,982.6,982.6,280.0,1900.01,207900.0,23800.0,04-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,966.35,987.6,962.6,986.2,986.2,21.0,142.68,15400.0,9100.0,04-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,965.2,994.1,965.2,988.8,988.8,12316.0,84712.1,18252500.0,-592200.0,05-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,975.75,995.5,973.0,991.1,991.1,224.0,1544.3,221200.0,13300.0,05-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,993.3,995.0,977.8,993.95,993.95,13.0,89.86,18200.0,2800.0,05-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,993.3,997.55,952.0,976.2,976.2,12426.0,85394.76,17528000.0,-724500.0,06-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,994.85,1000.0,967.1,978.95,978.95,370.0,2552.58,238000.0,16800.0,06-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,996.35,1000.45,974.0,981.25,981.25,38.0,262.53,28700.0,10500.0,06-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,981.0,986.0,961.55,964.3,964.3,6589.0,44710.21,17854900.0,326900.0,07-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,985.35,985.35,965.2,967.8,967.8,223.0,1518.06,259000.0,21000.0,07-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,986.55,986.55,968.5,970.7,970.7,13.0,88.97,35000.0,6300.0,07-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,976.0,1004.85,968.6,994.5,994.5,14662.0,101249.44,17880800.0,25900.0,08-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,974.15,1007.5,972.5,997.95,997.95,394.0,2726.63,267400.0,8400.0,08-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,979.75,1010.0,979.0,1000.3,1000.3,20.0,138.89,38500.0,3500.0,08-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1004.95,1059.0,1001.65,1055.6,1055.6,22666.0,163761.74,18652900.0,772100.0,11-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1021.75,1062.0,1008.7,1058.4,1058.4,761.0,5520.55,329700.0,62300.0,11-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1016.8,1064.0,1014.0,1060.75,1060.75,69.0,500.1,51100.0,12600.0,11-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1051.5,1064.75,1038.25,1061.15,1061.15,12791.0,94058.7,19121200.0,468300.0,12-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1046.95,1067.95,1042.65,1064.4,1064.4,314.0,2314.33,350700.0,21000.0,12-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1053.5,1068.7,1044.45,1066.85,1066.85,43.0,317.14,67900.0,16800.0,12-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1061.25,1068.0,1041.45,1059.25,1059.25,12165.0,89880.83,19994100.0,872900.0,13-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1068.6,1070.7,1046.9,1062.8,1062.8,394.0,2920.47,412300.0,61600.0,13-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1061.0,1066.9,1048.3,1066.0,1066.0,27.0,199.95,77000.0,9100.0,13-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1044.6,1048.1,1007.55,1029.85,1029.85,25012.0,180034.49,21702100.0,1708000.0,14-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1049.05,1049.05,1012.0,1033.0,1033.0,1025.0,7396.14,657300.0,245000.0,14-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1030.0,1047.6,1020.0,1036.0,1036.0,53.0,382.82,91000.0,14000.0,14-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1041.95,1049.0,985.0,989.95,989.95,28765.0,203424.85,21816200.0,114100.0,15-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1046.35,1049.1,988.9,993.9,993.9,1504.0,10648.81,1011500.0,354200.0,15-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1039.1,1048.5,995.75,996.65,996.65,77.0,546.7,130200.0,39200.0,15-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1002.9,1002.9,976.0,979.55,979.55,16715.0,115694.82,21015400.0,-800800.0,18-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,998.0,1006.0,980.1,983.25,983.25,1189.0,8248.73,1187900.0,176400.0,18-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1010.0,1010.0,984.25,986.65,986.65,167.0,1161.04,154000.0,23800.0,18-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,985.3,995.0,976.85,983.15,983.15,9698.0,66827.5,20374200.0,-641200.0,19-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,991.35,998.65,981.2,987.25,987.25,1145.0,7925.52,1423800.0,235900.0,19-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,998.8,1001.05,986.0,990.9,990.9,70.0,486.71,166600.0,12600.0,19-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,990.7,1007.2,984.9,996.4,996.4,11610.0,81200.41,19727400.0,-646800.0,20-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,995.0,1010.8,988.6,1000.1,1000.1,1979.0,13898.27,1906100.0,482300.0,20-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,995.0,1013.5,995.0,1002.95,1002.95,71.0,500.32,170800.0,4200.0,20-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,1015.65,1019.95,985.6,993.95,993.95,14196.0,99811.63,18183200.0,-1544200.0,21-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,1014.3,1024.0,989.45,997.65,997.65,2697.0,19022.25,2476600.0,570500.0,21-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,1012.15,1025.0,995.0,1000.05,1000.05,67.0,474.01,171500.0,700.0,21-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,991.2,1003.8,981.0,985.55,985.55,9802.0,67908.18,16359700.0,-1823500.0,22-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,992.8,1007.6,984.6,989.35,989.35,3628.0,25213.8,3776500.0,1299900.0,22-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,998.5,1007.95,989.0,993.2,993.2,44.0,306.63,175700.0,4200.0,22-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,994.4,994.4,943.15,949.3,949.3,23233.0,157128.13,8242500.0,-8117200.0,25-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,993.05,995.0,946.5,952.6,952.6,17966.0,121789.39,11581500.0,7805000.0,25-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,997.3,997.3,951.25,956.65,956.65,150.0,1019.02,210700.0,35000.0,25-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,954.85,963.5,943.0,955.6,955.6,12735.0,85209.15,3908100.0,-4334400.0,27-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,964.55,966.0,946.05,958.25,958.25,11032.0,74033.76,15326500.0,3745000.0,27-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,963.0,967.25,950.0,962.35,962.35,106.0,713.03,222600.0,11900.0,27-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,28-Jan-2021,0.0,XX,946.6,952.95,931.95,936.05,934.0,8516.0,56159.47,753900.0,-3154200.0,28-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,949.15,955.95,934.9,938.85,938.85,11696.0,77345.9,18640300.0,3313800.0,28-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,954.4,957.25,939.8,942.5,942.5,170.0,1128.03,272300.0,49700.0,28-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,941.95,953.5,915.0,919.35,919.35,10424.0,68080.84,19467000.0,826700.0,29-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,943.0,956.0,919.45,923.2,923.2,196.0,1285.51,298900.0,26600.0,29-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,29-Apr-2021,0.0,XX,956.0,956.0,922.5,925.4,925.4,18.0,117.54,11900.0,11900.0,29-Jan-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,924.65,938.9,900.0,934.2,934.2,13570.0,87397.82,20604500.0,1137500.0,01-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,924.55,942.7,904.2,938.3,938.3,385.0,2487.59,343700.0,44800.0,01-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,29-Apr-2021,0.0,XX,921.0,943.0,910.0,940.0,940.0,37.0,239.72,18900.0,7000.0,01-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,945.1,965.85,938.0,957.4,957.4,13434.0,89492.05,19725300.0,-879200.0,02-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,950.25,969.3,942.0,961.2,961.2,424.0,2834.76,373100.0,29400.0,02-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,29-Apr-2021,0.0,XX,949.45,970.0,948.0,964.45,964.45,42.0,281.49,30800.0,11900.0,02-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,965.25,975.8,955.0,962.0,962.0,10642.0,72010.87,19008500.0,-716800.0,03-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,966.2,979.0,960.0,965.7,965.7,350.0,2375.83,393400.0,20300.0,03-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,29-Apr-2021,0.0,XX,968.8,980.0,965.4,968.5,968.5,49.0,333.23,46900.0,16100.0,03-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,966.0,972.0,952.4,960.05,960.05,7551.0,50800.47,18836300.0,-172200.0,04-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,969.4,969.4,956.9,963.25,963.25,309.0,2086.18,424900.0,31500.0,04-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,29-Apr-2021,0.0,XX,970.6,972.0,960.5,967.2,967.2,24.0,162.36,53900.0,7000.0,04-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Feb-2021,0.0,XX,964.15,964.95,941.65,950.8,950.8,8032.0,53540.26,18873400.0,37100.0,05-Feb-2021,,,N,,,,
FUTSTK,HCLTECH,25-Mar-2021,0.0,XX,967.3,967.3,945.5,954.3,954.3,396.0,2648.14,488600.0,63700.0,05-Feb-2021,,,N,,,,
