FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HDFCAMC,28-Jan-2021,0.0,XX,2962.45,3029.7,2951.1,3015.35,3015.35,2105.0,12651.25,165600.0,165600.0,01-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Feb-2021,0.0,XX,2989.9,3029.65,2989.9,3029.65,3029.65,8.0,48.22,600.0,600.0,01-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Mar-2021,0.0,XX,2986.75,3039.2,2986.75,3035.0,3027.1,9.0,54.43,1400.0,1400.0,01-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,28-Jan-2021,0.0,XX,3035.95,3044.95,2980.0,3034.4,3034.4,1075.0,6488.89,155800.0,-9800.0,04-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Feb-2021,0.0,XX,3036.9,3036.9,2979.15,3032.95,3044.0,11.0,66.42,1000.0,400.0,04-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Mar-2021,0.0,XX,3027.4,3027.4,3027.4,3027.4,3053.9,1.0,6.05,1400.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,28-Jan-2021,0.0,XX,3010.0,3136.0,3000.6,3105.1,3105.1,1704.0,10451.99,175200.0,19400.0,05-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Feb-2021,0.0,XX,3036.95,3085.0,3030.2,3083.25,3083.25,8.0,48.99,2000.0,1000.0,05-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Mar-2021,0.0,XX,3049.75,3149.95,3023.3,3112.0,3112.0,7.0,42.92,1600.0,200.0,05-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,28-Jan-2021,0.0,XX,3129.95,3145.0,3062.0,3111.3,3111.3,1494.0,9286.96,225200.0,50000.0,06-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Feb-2021,0.0,XX,3139.5,3147.5,3086.35,3086.35,3117.8,20.0,124.71,3200.0,1200.0,06-Jan-2021,,,N,,,,,
FUTSTK,HDFCAMC,25-Mar-2021,0.0,XX,3112.0,3121.0,3100.45,3121.0,3121.0,7.0,43.52,1800.0,200.0,06-Jan-2021,,,N,,,,,
