FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1440.5,1445.85,1427.8,1430.8,1430.8,7655.0,60503.19,26208600.0,677600.0,01-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1443.2,1449.2,1433.0,1434.9,1434.9,108.0,856.13,278850.0,15400.0,01-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1445.9,1445.9,1436.0,1438.2,1438.2,18.0,142.6,9350.0,9350.0,01-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1435.65,1438.95,1405.0,1424.55,1424.55,16292.0,127622.46,27567100.0,1358500.0,04-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1438.85,1443.2,1413.6,1428.6,1428.6,379.0,2976.67,337150.0,58300.0,04-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1443.25,1443.75,1420.0,1431.1,1431.1,56.0,440.68,34650.0,25300.0,04-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1424.8,1435.85,1414.0,1432.35,1432.35,19411.0,152141.44,29568000.0,2000900.0,05-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1420.0,1437.0,1418.55,1435.95,1435.95,674.0,5288.99,423500.0,86350.0,05-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1427.95,1440.1,1423.85,1439.5,1439.5,34.0,267.5,45100.0,10450.0,05-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1437.65,1442.0,1420.7,1428.05,1428.05,24720.0,194391.77,30498050.0,930050.0,06-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1465.85,1465.9,1424.05,1432.15,1432.15,414.0,3265.52,434500.0,11000.0,06-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1444.65,1445.75,1433.9,1434.0,1434.0,32.0,253.25,53350.0,8250.0,06-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1439.65,1439.85,1421.15,1424.3,1424.3,19608.0,154175.02,32440100.0,1942050.0,07-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1434.0,1441.7,1426.0,1428.75,1428.75,592.0,4673.32,522500.0,88000.0,07-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1438.8,1444.9,1433.1,1433.6,1433.6,20.0,158.4,57750.0,4400.0,07-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1439.1,1449.55,1428.45,1438.25,1438.25,19176.0,151815.04,32286100.0,-154000.0,08-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1438.5,1453.6,1432.9,1443.35,1443.35,481.0,3822.15,544500.0,22000.0,08-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1437.6,1456.2,1437.6,1446.5,1446.5,39.0,310.84,60500.0,2750.0,08-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1447.85,1471.4,1440.4,1456.45,1456.45,22911.0,183780.36,33454300.0,1168200.0,11-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1449.8,1474.4,1444.85,1460.6,1460.6,712.0,5726.49,529100.0,-15400.0,11-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1450.0,1479.1,1450.0,1464.85,1464.85,39.0,314.21,64900.0,4400.0,11-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1461.05,1491.25,1453.7,1485.3,1485.3,24692.0,200103.53,33255200.0,-199100.0,12-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1461.75,1494.95,1459.3,1489.65,1489.65,691.0,5621.7,528000.0,-1100.0,12-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1464.7,1498.0,1464.7,1493.65,1493.65,60.0,490.15,55000.0,-9900.0,12-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1493.55,1497.15,1465.65,1474.95,1474.95,22199.0,180467.03,31296650.0,-1958550.0,13-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1500.1,1500.1,1472.2,1479.0,1479.0,839.0,6837.29,612700.0,84700.0,13-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1499.0,1500.65,1476.0,1484.0,1484.0,71.0,579.4,78650.0,23650.0,13-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1481.05,1494.0,1461.35,1476.0,1476.0,13677.0,110913.1,31611800.0,315150.0,14-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1488.95,1496.85,1466.3,1479.8,1479.8,850.0,6908.74,770550.0,157850.0,14-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1492.3,1492.3,1471.95,1487.95,1487.95,50.0,407.46,97900.0,19250.0,14-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1473.65,1476.15,1450.5,1469.35,1469.35,19004.0,152932.03,31342850.0,-268950.0,15-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1476.05,1477.75,1456.0,1473.85,1473.85,944.0,7619.34,933350.0,162800.0,15-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1476.55,1480.1,1462.0,1476.65,1476.65,33.0,267.03,94600.0,-3300.0,15-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1475.0,1504.3,1468.35,1483.45,1483.45,43287.0,354693.17,28250200.0,-3092650.0,18-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1474.0,1508.85,1472.65,1488.1,1488.1,2556.0,21020.22,1250700.0,317350.0,18-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1487.85,1511.0,1487.0,1490.8,1490.8,118.0,972.98,86350.0,-8250.0,18-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1492.0,1515.6,1470.7,1509.4,1509.4,21240.0,174534.52,27707900.0,-542300.0,19-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1491.95,1520.0,1476.0,1513.7,1513.7,1959.0,16143.05,1593350.0,342650.0,19-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1490.8,1523.05,1484.45,1517.65,1517.65,90.0,745.05,74800.0,-11550.0,19-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1503.8,1504.45,1487.05,1492.9,1492.9,15395.0,126557.09,26964850.0,-743050.0,20-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1507.15,1507.15,1492.55,1497.7,1497.7,1591.0,13121.73,1930500.0,337150.0,20-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1512.0,1512.0,1496.25,1499.2,1499.2,72.0,595.13,85250.0,10450.0,20-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1492.5,1496.0,1469.35,1476.1,1476.1,22211.0,180930.87,26446750.0,-518100.0,21-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1501.05,1501.05,1475.0,1481.5,1481.5,4288.0,35052.09,3028300.0,1097800.0,21-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1498.95,1501.0,1480.0,1481.75,1481.75,73.0,597.6,106700.0,21450.0,21-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1471.15,1471.15,1439.1,1442.1,1442.1,20266.0,162017.17,24329250.0,-2117500.0,22-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1473.1,1477.6,1444.05,1447.1,1447.1,6492.0,52094.28,4194300.0,1166000.0,22-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1474.9,1475.0,1449.55,1451.2,1451.2,121.0,974.45,149050.0,42350.0,22-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1463.95,1479.2,1454.55,1461.7,1461.7,37265.0,300169.18,14100900.0,-10228350.0,25-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1466.7,1482.4,1458.65,1465.45,1465.45,25692.0,207458.6,13006400.0,8812100.0,25-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1469.5,1486.0,1463.6,1469.2,1469.2,79.0,640.66,144650.0,-4400.0,25-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1462.0,1469.7,1410.6,1413.85,1413.85,32429.0,256130.04,4360950.0,-9739950.0,27-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1461.9,1474.0,1413.55,1416.85,1416.85,30414.0,240653.71,23429450.0,10423050.0,27-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1466.0,1476.0,1418.65,1421.05,1421.05,190.0,1502.26,187000.0,42350.0,27-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,28-Jan-2021,0.0,XX,1392.9,1402.1,1344.35,1371.25,1371.4,20488.0,154147.5,1326600.0,-3034350.0,28-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1400.1,1402.4,1348.65,1373.5,1373.5,37392.0,281758.66,28672600.0,5243150.0,28-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Mar-2021,0.0,XX,1405.4,1406.3,1355.0,1378.9,1378.9,384.0,2905.68,304150.0,117150.0,28-Jan-2021,,,N,,,,
FUTSTK,HDFCBANK,25-Feb-2021,0.0,XX,1401.05,1412.55,1368.0,1393.2,1393.2,28765.0,220095.08,27633100.0,-1039500.0,29-Jan-2021,,,N,,,,
