FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,240.1,240.75,238.5,239.45,239.45,1873.0,19288.19,27167400.0,610600.0,01-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,240.5,240.65,239.65,240.3,240.3,36.0,371.82,408500.0,8600.0,01-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,242.6,240.65,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,239.95,256.05,239.95,254.8,254.8,7501.0,80480.61,28599300.0,1431900.0,04-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,243.0,256.55,243.0,255.7,255.7,87.0,938.41,520300.0,111800.0,04-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,242.6,256.7,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,253.15,253.8,247.3,250.65,250.65,4754.0,51101.81,26591200.0,-2008100.0,05-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,252.95,254.4,248.2,251.6,251.6,120.0,1296.08,507400.0,-12900.0,05-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,242.6,252.6,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,250.3,260.75,248.65,259.8,259.8,7787.0,85683.84,27408200.0,817000.0,06-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,251.2,261.45,249.6,260.7,260.7,162.0,1783.94,576200.0,68800.0,06-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,252.0,261.0,252.0,261.0,261.4,2.0,22.05,4300.0,4300.0,06-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,263.05,275.9,262.7,273.05,273.05,9667.0,112555.35,26337500.0,-1070700.0,07-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,264.9,276.55,264.9,273.7,273.7,279.0,3260.31,748200.0,172000.0,07-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,265.45,276.0,265.45,273.5,273.5,5.0,57.87,17200.0,12900.0,07-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,275.0,275.0,265.45,268.45,268.45,6552.0,75885.29,22248200.0,-4089300.0,08-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,273.85,275.2,266.65,269.05,269.05,163.0,1897.25,709500.0,-38700.0,08-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,271.1,271.3,270.0,270.0,270.6,4.0,46.57,21500.0,4300.0,08-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,266.95,269.7,258.6,264.8,264.8,4325.0,48940.4,21358100.0,-890100.0,11-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,268.15,270.25,259.65,265.75,265.75,105.0,1191.05,683700.0,-25800.0,11-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,270.45,270.45,268.85,269.1,266.95,5.0,57.94,38700.0,17200.0,11-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,261.2,270.8,261.2,265.25,265.25,4329.0,49773.16,22170800.0,812700.0,12-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,263.95,271.4,263.95,266.15,266.15,90.0,1038.53,679400.0,-4300.0,12-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,263.8,272.3,263.8,267.9,266.6,9.0,104.04,43000.0,4300.0,12-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,266.2,269.0,259.65,263.9,263.9,3890.0,44204.53,22411600.0,240800.0,13-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,269.25,269.45,260.85,264.5,264.5,67.0,762.68,713800.0,34400.0,13-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,268.45,268.45,268.45,268.45,264.85,2.0,23.08,47300.0,4300.0,13-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,264.5,265.8,260.75,261.75,261.75,2049.0,23126.18,22071900.0,-339700.0,14-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,265.7,266.4,261.95,262.55,262.55,51.0,577.25,731000.0,17200.0,14-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,266.65,266.65,263.75,263.85,263.55,5.0,56.96,55900.0,8600.0,14-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,262.75,263.75,252.2,254.45,254.45,5037.0,55714.79,23847800.0,1775900.0,15-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,264.0,264.5,253.4,255.45,255.45,237.0,2629.73,1027700.0,296700.0,15-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,258.65,259.7,255.5,255.5,255.4,4.0,44.41,68800.0,12900.0,15-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,253.25,254.65,241.65,243.5,243.5,4103.0,43161.67,24131600.0,283800.0,18-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,252.1,252.1,242.55,244.0,244.0,326.0,3435.19,1380300.0,352600.0,18-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,246.0,246.0,246.0,246.0,245.05,1.0,10.57,73100.0,4300.0,18-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,246.0,252.65,243.85,251.9,251.9,4152.0,44321.73,22957700.0,-1173900.0,19-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,247.7,253.3,245.05,252.55,252.55,260.0,2783.61,1513600.0,133300.0,19-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,247.65,250.0,247.65,249.0,253.45,6.0,64.16,77400.0,4300.0,19-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,252.6,253.85,248.75,252.1,252.1,3421.0,37000.08,22381500.0,-576200.0,20-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,251.4,254.65,249.85,252.9,252.9,251.0,2720.64,1728600.0,215000.0,20-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,255.2,255.2,255.2,255.2,254.0,6.0,65.84,90300.0,12900.0,20-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,252.9,254.5,246.2,248.75,248.75,3425.0,36987.19,21272100.0,-1109400.0,21-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,254.75,255.2,247.3,249.8,249.8,558.0,6042.64,2038200.0,309600.0,21-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,255.0,255.0,252.0,252.55,252.55,4.0,43.54,94600.0,4300.0,21-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,248.25,250.0,236.5,239.25,239.25,5180.0,53872.04,20640000.0,-632100.0,22-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,248.6,250.45,237.35,239.9,239.9,1703.0,17700.46,4863300.0,2825100.0,22-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,245.5,245.5,238.95,241.65,241.65,14.0,145.51,120400.0,25800.0,22-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,241.7,244.15,234.15,240.1,240.1,4892.0,50420.04,12616200.0,-8023800.0,25-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,242.5,244.75,234.95,240.8,240.8,3403.0,35169.76,11837900.0,6974600.0,25-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,244.2,244.2,240.0,243.7,241.95,6.0,62.48,116100.0,-4300.0,25-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,239.0,239.5,230.3,231.8,231.8,4239.0,42829.78,7060600.0,-5555600.0,27-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,240.0,240.05,231.1,232.6,232.6,3873.0,39198.97,16675400.0,4837500.0,27-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,237.5,239.1,232.4,233.0,233.0,32.0,322.01,141900.0,25800.0,27-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,28-Jan-2021,0.0,XX,227.15,232.45,227.0,229.45,229.05,3356.0,33015.1,1182500.0,-5878100.0,28-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,227.5,233.2,226.55,230.35,230.35,5779.0,57061.11,24316500.0,7641100.0,28-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,228.7,233.5,228.4,231.1,231.1,60.0,594.38,210700.0,68800.0,28-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,231.35,234.85,225.95,226.95,226.95,6317.0,62697.46,23619900.0,-696600.0,29-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,234.0,235.7,227.0,227.8,227.8,69.0,687.14,361200.0,150500.0,29-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,0.0,0.0,0.0,231.2,228.7,0.0,0.0,0.0,0.0,29-Jan-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,228.2,244.65,227.1,242.1,242.1,5060.0,51286.61,23146900.0,-473000.0,01-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,231.4,244.65,228.5,242.75,242.75,66.0,668.77,344000.0,-17200.0,01-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,243.45,243.45,243.45,243.45,243.45,1.0,10.46,4300.0,4300.0,01-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,244.9,258.0,244.9,255.95,255.95,5836.0,63479.17,23159800.0,12900.0,02-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,249.0,258.0,246.9,256.65,256.65,55.0,598.84,374100.0,30100.0,02-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,248.75,258.0,248.75,257.55,257.55,5.0,54.68,17200.0,12900.0,02-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,254.55,264.8,254.05,258.7,258.7,6468.0,72133.56,24716400.0,1556600.0,03-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,260.0,265.5,256.0,259.6,259.6,80.0,893.85,395600.0,21500.0,03-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,258.25,264.8,257.7,262.05,259.8,8.0,89.66,34400.0,17200.0,03-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,260.1,268.55,259.55,263.25,263.25,7352.0,83670.58,24071400.0,-645000.0,04-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,261.75,268.9,261.75,264.2,264.2,111.0,1267.68,408500.0,12900.0,04-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,269.85,269.85,265.75,265.75,264.4,4.0,46.0,43000.0,8600.0,04-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,264.4,267.05,256.25,263.1,263.1,5923.0,66827.28,23435000.0,-636400.0,05-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,265.0,267.5,257.5,263.85,263.85,138.0,1559.2,430000.0,21500.0,05-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,265.7,266.55,258.35,262.4,262.4,18.0,204.53,81700.0,38700.0,05-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Feb-2021,0.0,XX,266.1,281.0,265.65,279.9,279.9,8355.0,98723.06,24957200.0,1522200.0,08-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,25-Mar-2021,0.0,XX,270.6,281.7,268.7,280.85,280.85,225.0,2667.08,464400.0,34400.0,08-Feb-2021,,,N,,,,
FUTSTK,HINDALCO,29-Apr-2021,0.0,XX,269.6,282.0,269.6,281.0,281.55,7.0,83.34,86000.0,4300.0,08-Feb-2021,,,N,,,,
