FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HINDPETRO,28-Jan-2021,0.0,XX,218.85,222.6,218.3,221.6,221.6,2726.0,16256.33,26662500.0,-310500.0,01-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Feb-2021,0.0,XX,219.45,222.25,219.45,221.35,221.35,104.0,619.42,464400.0,143100.0,01-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Mar-2021,0.0,XX,222.5,222.5,222.5,222.5,223.4,1.0,6.0,2700.0,2700.0,01-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,28-Jan-2021,0.0,XX,222.75,224.75,219.3,224.0,224.0,3779.0,22718.78,26360100.0,-302400.0,04-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Feb-2021,0.0,XX,222.75,223.8,219.25,223.15,223.15,80.0,479.11,499500.0,35100.0,04-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Mar-2021,0.0,XX,223.5,223.5,221.3,223.1,223.1,10.0,60.06,16200.0,13500.0,04-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,28-Jan-2021,0.0,XX,223.15,224.3,221.0,223.8,223.8,3451.0,20765.77,26751600.0,391500.0,05-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Feb-2021,0.0,XX,221.95,223.0,220.0,222.55,222.55,71.0,425.03,567000.0,67500.0,05-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Mar-2021,0.0,XX,222.4,223.1,220.45,222.8,225.15,8.0,47.87,24300.0,8100.0,05-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,28-Jan-2021,0.0,XX,224.35,226.95,217.4,221.3,221.3,5152.0,30883.42,24718500.0,-2033100.0,06-Jan-2021,,,N,,,,,
FUTSTK,HINDPETRO,25-Feb-2021,0.0,XX,222.85,225.1,217.05,220.2,220.2,91.0,543.53,666900.0,99900.0,06-Jan-2021,,,N,,,,,
