FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,HINDZINC,24-Apr-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,447.9,
FUTSTK,HINDZINC,29-May-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,447.9,
FUTSTK,HINDZINC,26-Jun-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,447.9,
FUTSTK,HINDZINC,24-Apr-2025,,XX,N,458.0,478.0,449.55,464.5,463.45,450.4,464.5,1877.0,1078624137.5,1215200.0,1215200.0,1225.0,28-Mar-2025,,461.9,
FUTSTK,HINDZINC,29-May-2025,,XX,N,468.0,476.2,464.7,465.55,464.7,453.6,465.55,30.0,17253696.25,18375.0,18375.0,1225.0,28-Mar-2025,,461.9,
FUTSTK,HINDZINC,26-Jun-2025,,XX,N,474.0,478.0,467.4,467.4,467.4,456.15,467.4,8.0,4639932.5,9800.0,9800.0,1225.0,28-Mar-2025,,461.9,
FUTSTK,HINDZINC,24-Apr-2025,,XX,N,462.0,469.85,455.5,456.3,456.0,464.5,456.3,723.0,406955106.25,1653750.0,438550.0,1225.0,01-Apr-2025,,453.75,
FUTSTK,HINDZINC,29-May-2025,,XX,N,467.1,467.1,454.7,456.3,456.05,465.55,456.3,24.0,13522836.25,33075.0,14700.0,1225.0,01-Apr-2025,,453.75,
FUTSTK,HINDZINC,26-Jun-2025,,XX,N,468.45,468.45,461.55,461.55,461.55,467.4,461.55,7.0,3999257.5,7350.0,-2450.0,1225.0,01-Apr-2025,,453.75,
FUTSTK,HINDZINC,24-Apr-2025,,XX,N,458.8,465.35,448.95,463.6,462.75,456.3,463.6,673.0,379647651.25,1885275.0,231525.0,1225.0,02-Apr-2025,,460.65,
FUTSTK,HINDZINC,29-May-2025,,XX,N,456.0,465.25,451.0,464.2,462.25,456.3,464.2,20.0,11267550.0,37975.0,4900.0,1225.0,02-Apr-2025,,460.65,
FUTSTK,HINDZINC,26-Jun-2025,,XX,N,462.05,466.4,462.05,466.4,466.4,461.55,466.4,4.0,2274641.25,9800.0,2450.0,1225.0,02-Apr-2025,,460.65,
FUTSTK,HINDZINC,24-Apr-2025,,XX,N,460.0,470.7,454.75,461.25,461.4,463.6,461.25,1192.0,676776668.75,2485525.0,600250.0,1225.0,03-Apr-2025,,459.2,
FUTSTK,HINDZINC,29-May-2025,,XX,N,455.0,470.0,455.0,461.7,461.55,464.2,461.7,24.0,13636026.25,56350.0,18375.0,1225.0,03-Apr-2025,,459.2,
FUTSTK,HINDZINC,26-Jun-2025,,XX,N,471.4,471.4,471.4,471.4,471.4,466.4,471.4,1.0,577465.0,11025.0,1225.0,1225.0,03-Apr-2025,,459.2,
FUTSTK,HINDZINC,24-Apr-2025,,XX,N,456.8,456.8,421.65,424.95,421.65,461.25,424.95,2296.0,1217452346.25,2441425.0,-44100.0,1225.0,04-Apr-2025,,426.95,
FUTSTK,HINDZINC,29-May-2025,,XX,N,452.1,452.1,422.0,423.9,422.0,461.7,423.9,200.0,105594448.75,147000.0,90650.0,1225.0,04-Apr-2025,,426.95,
