FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,539.95,539.95,529.25,530.5,530.5,10445.0,76481.51,80185875.0,2267375.0,01-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,538.85,539.4,531.6,532.55,532.55,264.0,1940.09,382250.0,79750.0,01-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,539.6,539.6,533.85,534.4,534.4,12.0,88.47,13750.0,13750.0,01-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,533.7,537.0,525.8,533.75,533.75,17110.0,125239.88,80055250.0,-130625.0,04-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,535.7,538.95,528.15,535.35,535.35,690.0,5060.53,628375.0,246125.0,04-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,537.9,539.95,530.5,532.4,536.7,7.0,51.67,19250.0,5500.0,04-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,528.3,541.85,524.8,538.5,538.5,24358.0,178438.14,82920750.0,2865500.0,05-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,528.35,543.35,526.5,540.55,540.55,610.0,4477.2,1025750.0,397375.0,05-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,530.0,545.0,529.0,542.6,542.6,45.0,332.37,37125.0,17875.0,05-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,538.85,552.95,536.85,549.05,549.05,36009.0,270315.32,77646250.0,-5274500.0,06-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,540.55,554.35,539.2,550.95,550.95,633.0,4765.98,1149500.0,123750.0,06-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,542.6,556.0,542.6,553.1,553.1,44.0,332.48,45375.0,8250.0,06-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,553.9,556.1,542.75,544.05,544.05,18844.0,142308.43,77510125.0,-136125.0,07-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,554.95,557.7,544.85,545.9,545.9,435.0,3295.82,1252625.0,103125.0,07-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,558.2,559.15,547.0,547.35,547.35,20.0,151.83,50875.0,5500.0,07-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,547.3,548.7,539.25,544.5,544.5,15107.0,112912.15,78581250.0,1071125.0,08-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,548.85,549.75,541.45,546.55,546.55,528.0,3959.89,1460250.0,207625.0,08-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,551.35,552.0,544.7,548.4,548.4,26.0,195.71,63250.0,12375.0,08-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,546.15,548.15,537.05,546.9,546.9,16748.0,125105.08,79689500.0,1108250.0,11-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,547.35,549.8,538.75,548.6,548.6,1368.0,10233.93,2532750.0,1072500.0,11-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,548.35,550.35,541.6,550.35,549.35,26.0,195.11,61875.0,-1375.0,11-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,542.55,553.05,539.55,550.75,550.75,20713.0,155799.21,82432625.0,2743125.0,12-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,545.4,554.85,541.35,552.6,552.6,962.0,7228.78,3077250.0,544500.0,12-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,546.75,555.5,543.45,554.7,554.7,22.0,166.74,60500.0,-1375.0,12-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,554.5,563.65,551.1,559.25,559.25,28153.0,215781.64,83000500.0,567875.0,13-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,558.25,565.2,553.15,561.4,561.4,1054.0,8101.46,3158375.0,81125.0,13-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,559.0,566.65,556.6,562.4,562.4,33.0,254.98,63250.0,2750.0,13-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,560.0,560.85,553.35,556.0,556.0,12397.0,94821.86,84229750.0,1229250.0,14-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,558.5,562.55,555.5,558.2,558.2,547.0,4197.98,3477375.0,319000.0,14-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,562.55,563.4,558.0,558.0,557.85,16.0,123.3,75625.0,12375.0,14-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,550.85,552.8,543.75,545.25,545.25,15347.0,115526.86,84019375.0,-210375.0,15-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,552.35,555.0,545.85,547.0,547.0,1126.0,8500.17,4056250.0,578875.0,15-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,555.0,555.6,548.0,548.85,548.85,33.0,250.12,92125.0,16500.0,15-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,546.3,549.8,530.9,534.3,534.3,24095.0,179321.31,83952000.0,-67375.0,18-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,547.85,551.5,532.8,535.55,535.55,2124.0,15800.62,5713125.0,1656875.0,18-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,552.0,552.0,538.5,546.2,537.25,38.0,284.67,97625.0,5500.0,18-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,538.95,549.95,535.4,549.0,549.0,18043.0,134681.85,83692125.0,-259875.0,19-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,539.95,551.85,537.45,550.7,550.7,3324.0,24886.94,8695500.0,2982375.0,19-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,539.7,553.25,539.7,553.15,553.15,33.0,247.99,89375.0,-8250.0,19-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,550.1,556.15,549.1,552.35,552.35,15400.0,117042.81,84173375.0,481250.0,20-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,551.45,558.15,551.0,554.25,554.25,1732.0,13207.78,9490250.0,794750.0,20-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,554.35,559.35,553.9,556.5,556.5,26.0,198.8,89375.0,0.0,20-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,555.6,562.2,550.1,553.45,553.45,21539.0,165038.37,76569625.0,-7603750.0,21-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,556.9,564.05,552.0,555.75,555.75,4772.0,36742.57,13417250.0,3927000.0,21-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,559.25,565.55,555.5,556.3,556.3,57.0,439.88,107250.0,17875.0,21-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,553.5,554.5,532.1,534.7,534.7,26009.0,193371.42,67923625.0,-8646000.0,22-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,555.2,556.3,533.75,536.65,536.65,11188.0,83384.19,23359875.0,9942625.0,22-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,556.8,557.25,536.3,537.75,537.75,125.0,933.85,162250.0,55000.0,22-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,28-Jan-2021,0.0,XX,536.15,542.9,532.55,538.35,538.35,36624.0,270934.0,44181500.0,-23742125.0,25-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Feb-2021,0.0,XX,540.45,544.6,534.25,539.9,539.9,25742.0,191019.72,47723500.0,24363625.0,25-Jan-2021,,,N,,,,
FUTSTK,ICICIBANK,25-Mar-2021,0.0,XX,544.6,546.0,537.25,541.3,541.3,82.0,609.69,163625.0,1375.0,25-Jan-2021,,,N,,,,
