FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1523.05,1531.9,1506.6,1528.3,1528.3,291.0,1882.77,567800.0,16150.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1527.2,1527.2,1527.1,1527.1,1528.95,2.0,12.98,3825.0,425.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1533.75,1533.95,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1528.0,1557.95,1527.7,1555.35,1555.35,634.0,4160.4,563975.0,-3825.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1551.55,1563.25,1551.55,1563.25,1563.25,2.0,13.23,4675.0,850.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1550.0,1550.0,1550.0,1550.0,1564.0,1.0,6.58,425.0,425.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1541.05,1597.4,1540.05,1588.45,1588.45,662.0,4419.16,552925.0,-11050.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1555.0,1580.45,1555.0,1580.0,1593.55,4.0,26.7,4675.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1564.0,1564.0,1564.0,1564.0,1598.75,1.0,6.64,850.0,425.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1597.55,1628.0,1576.6,1616.45,1616.45,1174.0,7990.72,529125.0,-23800.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1616.0,1616.0,1587.25,1604.95,1621.05,11.0,74.94,5950.0,1275.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1564.0,1626.35,0.0,0.0,850.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1620.0,1620.6,1571.2,1578.25,1578.25,930.0,6283.99,554625.0,25500.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,0.0,0.0,0.0,1604.95,1580.2,0.0,0.0,5950.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1564.0,1585.35,0.0,0.0,850.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1582.0,1620.0,1562.6,1611.25,1611.25,821.0,5592.01,578425.0,23800.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1580.2,1619.45,1580.2,1619.45,1614.15,4.0,27.25,5525.0,-425.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1585.35,1585.35,1585.35,1585.35,1619.4,1.0,6.73,850.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1605.05,1627.0,1593.95,1615.2,1615.2,607.0,4158.38,578425.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1627.35,1630.5,1610.0,1630.5,1618.15,12.0,82.73,7225.0,1700.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1622.9,1622.9,1622.9,1622.9,1623.45,1.0,6.89,850.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1606.55,1622.15,1565.15,1573.5,1573.5,707.0,4783.89,646000.0,67575.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1618.15,1618.15,1574.4,1576.8,1576.8,15.0,101.43,9350.0,2125.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1613.4,1613.4,1587.95,1589.65,1589.65,5.0,33.98,2125.0,1275.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1570.15,1591.8,1541.05,1556.8,1556.8,626.0,4171.9,685525.0,39525.0,13-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1580.85,1596.0,1546.15,1565.0,1556.75,10.0,66.84,8925.0,-425.0,13-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1589.65,1589.65,1560.0,1566.3,1566.3,5.0,33.45,3400.0,1275.0,13-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1567.35,1571.25,1540.0,1561.35,1561.35,372.0,2462.06,684250.0,-1275.0,14-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1554.2,1570.0,1554.2,1569.4,1569.4,15.0,99.67,13175.0,4250.0,14-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1566.3,1566.3,1566.3,1566.3,1567.4,2.0,13.31,3400.0,0.0,14-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,28-Jan-2021,0.0,XX,1568.85,1581.85,1535.55,1555.95,1555.95,497.0,3286.97,666400.0,-17850.0,15-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Feb-2021,0.0,XX,1552.4,1582.2,1550.0,1556.85,1558.25,11.0,73.11,13600.0,425.0,15-Jan-2021,,,N,,,,,
FUTSTK,ICICIGI,25-Mar-2021,0.0,XX,1556.3,1556.3,1553.0,1553.0,1563.35,3.0,19.82,4250.0,850.0,15-Jan-2021,,,N,,,,,
