FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,501.0,503.9,498.5,501.45,501.45,472.0,3549.0,4140000.0,100500.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,502.85,502.85,502.85,502.85,501.9,1.0,7.54,16500.0,1500.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,503.1,503.55,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,501.15,508.75,495.4,506.5,506.5,1936.0,14602.47,4362000.0,222000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,502.8,509.2,502.8,508.8,508.8,3.0,22.8,19500.0,3000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,510.6,510.6,510.6,510.6,510.6,1.0,7.65,1500.0,1500.0,04-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,503.2,516.9,503.2,509.7,509.7,3084.0,23587.15,4603500.0,241500.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,508.8,514.15,506.8,511.1,511.1,24.0,183.39,34500.0,15000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,511.6,511.6,511.6,511.6,512.2,2.0,15.34,4500.0,3000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,511.35,520.65,506.95,512.65,512.65,2133.0,16476.27,4276500.0,-327000.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,515.4,521.75,511.5,514.8,513.4,27.0,209.45,36000.0,1500.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,511.6,515.05,0.0,0.0,4500.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,517.75,518.9,508.05,511.4,511.4,1307.0,10069.8,4296000.0,19500.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,516.95,517.9,511.65,512.7,512.7,14.0,108.15,40500.0,4500.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,511.6,514.3,0.0,0.0,4500.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,513.6,536.95,513.6,526.65,526.65,3230.0,25581.44,4147500.0,-148500.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,520.5,536.7,520.5,528.25,528.25,52.0,412.66,31500.0,-9000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,518.75,530.8,518.75,530.8,530.55,2.0,15.74,3000.0,-1500.0,08-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,529.55,538.55,522.6,526.85,526.85,2712.0,21579.6,4099500.0,-48000.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,528.25,538.0,525.0,528.3,528.3,35.0,279.58,57000.0,25500.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,532.25,534.0,532.25,534.0,530.65,2.0,15.99,4500.0,1500.0,11-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,525.45,525.8,519.8,524.1,524.1,763.0,5990.32,4050000.0,-49500.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Feb-2021,0.0,XX,525.95,526.5,523.95,523.95,523.95,8.0,63.0,64500.0,7500.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,25-Mar-2021,0.0,XX,527.0,527.25,527.0,527.15,527.15,2.0,15.81,7500.0,3000.0,12-Jan-2021,,,N,,,,,
FUTSTK,ICICIPRULI,28-Jan-2021,0.0,XX,524.9,529.9,506.0,511.55,511.55,1528.0,11841.13,4225500.0,175500.0,13-Jan-2021,,,N,,,,,
