FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,IIFL,27-Mar-2025,0.0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,316.9,
FUTSTK,IIFL,24-Apr-2025,0.0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,316.9,
FUTSTK,IIFL,29-May-2025,0.0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,316.9,
FUTSTK,IIFL,27-Mar-2025,,XX,N,313.0,322.55,301.75,303.7,302.7,318.65,303.7,2470.0,1191727962.5,2574550.0,2574550.0,1550.0,28-Feb-2025,,301.9,
FUTSTK,IIFL,24-Apr-2025,,XX,N,315.3,315.5,303.85,303.85,303.85,320.45,303.85,9.0,4329537.5,12400.0,12400.0,1550.0,28-Feb-2025,,301.9,
FUTSTK,IIFL,29-May-2025,,XX,N,0.0,0.0,0.0,322.65,0.0,322.65,322.65,0.0,0.0,0.0,0.0,1550.0,28-Feb-2025,,301.9,
FUTSTK,IIFL,27-Mar-2025,,XX,N,308.45,308.45,283.0,293.85,293.65,303.7,293.85,1316.0,596459607.5,3180600.0,606050.0,1550.0,03-Mar-2025,,291.85,
FUTSTK,IIFL,24-Apr-2025,,XX,N,289.6,294.3,289.6,293.2,293.85,303.85,293.2,13.0,5888062.5,23250.0,10850.0,1550.0,03-Mar-2025,,291.85,
FUTSTK,IIFL,29-May-2025,,XX,N,300.5,300.5,294.8,295.15,295.15,322.65,295.15,7.0,3218807.5,10850.0,10850.0,1550.0,03-Mar-2025,,291.85,
FUTSTK,IIFL,27-Mar-2025,,XX,N,282.8,297.05,281.25,285.15,286.0,293.85,285.15,1381.0,618657855.0,3380550.0,199950.0,1550.0,04-Mar-2025,,283.6,
FUTSTK,IIFL,24-Apr-2025,,XX,N,285.0,297.05,282.95,284.65,286.15,293.2,284.65,39.0,17486635.0,35650.0,12400.0,1550.0,04-Mar-2025,,283.6,
FUTSTK,IIFL,29-May-2025,,XX,N,289.35,295.5,285.05,285.05,285.05,295.15,285.05,5.0,2235410.0,17050.0,6200.0,1550.0,04-Mar-2025,,283.6,
