FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1711.6,1722.0,1688.1,1709.95,1709.95,2080.0,17757.81,2932500.0,48000.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1698.4,1712.65,1690.85,1708.8,1708.8,47.0,400.14,31500.0,4500.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1709.95,1711.35,1708.05,1708.05,1708.05,3.0,25.64,1500.0,1500.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1716.8,1751.8,1712.7,1744.2,1744.2,2614.0,22653.98,2971500.0,39000.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1717.6,1745.95,1712.05,1744.1,1744.1,87.0,751.9,37000.0,5500.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1720.95,1742.0,1720.95,1741.0,1741.0,4.0,34.68,2500.0,1000.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1731.0,1732.8,1701.0,1717.7,1717.7,2084.0,17881.98,2937000.0,-34500.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1724.0,1724.0,1700.0,1717.0,1717.0,111.0,950.91,40500.0,3500.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1718.95,1719.35,1716.0,1716.0,1716.0,5.0,42.95,3500.0,1000.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1743.2,1752.0,1707.15,1731.6,1731.6,2507.0,21629.98,2900000.0,-37000.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1722.85,1740.0,1710.0,1731.1,1731.1,94.0,810.04,37500.0,-3000.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1716.0,1722.5,1716.0,1722.5,1748.25,6.0,51.55,3500.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1742.85,1774.9,1736.05,1754.15,1754.15,4492.0,39561.69,3058000.0,158000.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1743.45,1772.0,1736.65,1751.8,1751.8,91.0,800.06,47500.0,10000.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1763.0,1763.0,1746.7,1746.7,1746.7,5.0,43.97,5000.0,1500.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1758.4,1765.05,1716.3,1729.3,1729.3,2032.0,17654.55,2985000.0,-73000.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1755.9,1755.9,1718.3,1725.35,1725.35,52.0,452.21,53500.0,6000.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1746.7,1746.7,1726.05,1726.05,1747.65,5.0,43.36,5000.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1739.35,1747.75,1690.3,1705.3,1705.3,2307.0,19701.93,2953500.0,-31500.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1731.75,1731.75,1690.0,1703.55,1703.55,42.0,358.74,57000.0,3500.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1726.05,1717.15,0.0,0.0,5000.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1696.25,1728.05,1685.05,1687.7,1687.7,2172.0,18494.19,3026000.0,72500.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1703.5,1727.05,1685.0,1686.9,1686.9,42.0,356.95,62500.0,5500.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1717.15,1719.0,1684.0,1684.0,1694.15,4.0,34.1,5000.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1695.4,1700.0,1627.75,1641.85,1641.85,3174.0,26306.61,3144000.0,118000.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Feb-2021,0.0,XX,1695.0,1695.0,1630.9,1642.55,1642.55,73.0,605.53,66000.0,3500.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,25-Mar-2021,0.0,XX,1695.8,1695.8,1641.35,1641.35,1647.35,8.0,66.66,7500.0,2500.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDIGO,28-Jan-2021,0.0,XX,1643.05,1677.35,1627.2,1665.25,1665.25,1861.0,15415.76,3115000.0,-29000.0,14-Jan-2021,,,N,,,,,
