FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,895.55,907.55,895.35,903.95,903.95,4123.0,33488.62,15781500.0,-46800.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,905.65,910.5,900.7,907.75,907.75,97.0,791.03,155700.0,19800.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,912.5,912.5,912.5,912.5,908.9,1.0,8.21,900.0,900.0,01-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,913.4,915.75,888.8,900.85,900.85,7170.0,58336.97,15723900.0,-57600.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,916.5,916.5,895.0,904.15,904.15,214.0,1747.57,183600.0,27900.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,916.45,917.0,905.0,906.75,906.75,8.0,65.68,3600.0,2700.0,04-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,891.75,931.9,887.2,926.25,926.25,15895.0,130473.79,17431200.0,1707300.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,896.8,934.05,891.7,929.5,929.5,311.0,2550.32,247500.0,63900.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,916.7,936.85,916.7,932.25,932.25,7.0,58.67,9000.0,5400.0,05-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,928.65,940.6,912.25,923.75,923.75,12017.0,100342.49,16521300.0,-909900.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,936.7,942.85,916.0,927.35,927.35,237.0,1985.44,265500.0,18000.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,941.25,942.9,924.9,924.9,924.9,10.0,84.23,14400.0,5400.0,06-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,935.6,966.0,934.0,957.1,957.1,14690.0,125999.01,16965900.0,444600.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,939.7,968.5,939.65,960.4,960.4,564.0,4856.46,315000.0,49500.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,944.0,972.4,944.0,968.0,960.6,16.0,138.07,18000.0,3600.0,07-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,969.2,978.0,933.0,939.5,939.5,13715.0,117931.05,15978600.0,-987300.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,972.85,981.8,936.75,942.4,942.4,467.0,4032.53,342000.0,27000.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,978.9,982.65,940.0,945.2,945.2,25.0,216.81,23400.0,5400.0,08-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,938.5,951.95,926.2,929.5,929.5,10886.0,91660.95,14873400.0,-1105200.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,949.15,954.0,930.75,932.85,932.85,320.0,2706.55,369900.0,27900.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,944.55,956.45,933.85,937.5,937.5,24.0,203.45,34200.0,10800.0,11-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,922.3,945.25,907.4,931.7,931.7,13278.0,110714.02,15541200.0,667800.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,923.65,948.55,912.0,935.15,935.15,461.0,3856.07,381600.0,11700.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,923.0,949.0,917.0,937.1,937.1,27.0,226.61,41400.0,7200.0,12-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,936.7,957.5,928.55,947.25,947.25,15328.0,130274.35,14389200.0,-1152000.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,935.6,959.95,932.3,951.15,951.15,431.0,3679.5,417600.0,36000.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,947.4,961.0,943.0,945.6,950.6,27.0,231.28,42300.0,900.0,13-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,28-Jan-2021,0.0,XX,958.0,984.4,955.85,973.45,973.45,16465.0,144304.37,14015700.0,-373500.0,14-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Feb-2021,0.0,XX,962.7,987.4,961.95,977.1,977.1,367.0,3228.12,422100.0,4500.0,14-Jan-2021,,,N,,,,,
FUTSTK,INDUSINDBK,25-Mar-2021,0.0,XX,968.95,990.0,968.95,979.6,979.6,28.0,247.12,39600.0,-2700.0,14-Jan-2021,,,N,,,,,
