FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,INFY,28-Jan-2021,0.0,XX,1259.1,1268.0,1257.8,1262.35,1262.35,9205.0,69787.24,34640400.0,148200.0,01-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Feb-2021,0.0,XX,1266.0,1271.8,1264.55,1266.65,1266.65,170.0,1293.74,236400.0,19800.0,01-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Mar-2021,0.0,XX,1270.0,1275.0,1269.65,1270.2,1270.2,33.0,252.0,18000.0,18000.0,01-Jan-2021,,,N,,,,,
FUTSTK,INFY,28-Jan-2021,0.0,XX,1270.0,1293.7,1263.0,1290.0,1290.0,19473.0,149523.33,34395000.0,-245400.0,04-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Feb-2021,0.0,XX,1274.05,1297.5,1267.15,1294.45,1294.45,667.0,5136.26,294000.0,57600.0,04-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Mar-2021,0.0,XX,1281.7,1299.0,1275.0,1298.95,1298.95,39.0,300.52,25800.0,7800.0,04-Jan-2021,,,N,,,,,
FUTSTK,INFY,28-Jan-2021,0.0,XX,1281.0,1301.65,1276.3,1294.95,1294.95,19991.0,154845.44,35759400.0,1364400.0,05-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Feb-2021,0.0,XX,1281.9,1305.45,1281.75,1299.8,1299.8,595.0,4621.05,346800.0,52800.0,05-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Mar-2021,0.0,XX,1291.0,1309.1,1290.0,1303.0,1303.0,47.0,367.17,41400.0,15600.0,05-Jan-2021,,,N,,,,,
FUTSTK,INFY,28-Jan-2021,0.0,XX,1299.15,1303.6,1271.25,1283.85,1283.85,19854.0,153569.9,35250600.0,-508800.0,06-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Feb-2021,0.0,XX,1298.15,1307.65,1276.3,1288.1,1288.1,593.0,4601.85,391200.0,44400.0,06-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Mar-2021,0.0,XX,1299.0,1307.5,1284.55,1292.35,1292.35,55.0,428.54,54600.0,13200.0,06-Jan-2021,,,N,,,,,
FUTSTK,INFY,28-Jan-2021,0.0,XX,1298.2,1300.5,1261.55,1269.55,1269.55,21152.0,161793.1,34884000.0,-366600.0,07-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Feb-2021,0.0,XX,1302.95,1304.1,1266.3,1273.5,1273.5,682.0,5233.78,506400.0,115200.0,07-Jan-2021,,,N,,,,,
FUTSTK,INFY,25-Mar-2021,0.0,XX,1301.0,1301.0,1271.0,1278.55,1278.55,73.0,560.56,66000.0,11400.0,07-Jan-2021,,,N,,,,,
FUTSTK,INFY,28-Jan-2021,0.0,XX,1290.0,1322.0,1282.25,1317.1,1317.1,30749.0,240348.46,33126600.0,-1757400.0,08-Jan-2021,,,N,,,,,
