FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,IOC,28-Jan-2021,0.0,XX,91.5,92.15,91.3,91.95,91.95,1556.0,9275.61,44603000.0,910000.0,01-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Feb-2021,0.0,XX,91.9,92.15,91.4,92.0,92.0,105.0,626.49,2743000.0,123500.0,01-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Mar-2021,0.0,XX,91.45,92.25,91.2,91.85,91.85,15.0,89.42,91000.0,91000.0,01-Jan-2021,,,N,,,,
FUTSTK,IOC,28-Jan-2021,0.0,XX,92.25,94.4,92.15,94.2,94.2,4685.0,28425.19,44804500.0,201500.0,04-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Feb-2021,0.0,XX,92.8,94.15,92.2,93.95,93.95,436.0,2644.45,3640000.0,897000.0,04-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Mar-2021,0.0,XX,92.65,94.2,92.5,94.2,94.2,30.0,181.09,221000.0,130000.0,04-Jan-2021,,,N,,,,
FUTSTK,IOC,28-Jan-2021,0.0,XX,93.6,93.6,92.0,93.35,93.35,3000.0,18112.73,44076500.0,-728000.0,05-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Feb-2021,0.0,XX,93.1,93.25,91.75,93.1,93.1,268.0,1611.07,4212000.0,572000.0,05-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Mar-2021,0.0,XX,93.5,93.5,92.0,92.85,92.85,27.0,162.54,318500.0,97500.0,05-Jan-2021,,,N,,,,
FUTSTK,IOC,28-Jan-2021,0.0,XX,93.3,95.9,93.2,94.2,94.2,6190.0,38113.49,44239000.0,162500.0,06-Jan-2021,,,N,,,,
FUTSTK,IOC,25-Feb-2021,0.0,XX,93.4,95.3,92.6,93.55,93.55,895.0,5482.04,6051500.0,1839500.0,06-Jan-2021,,,N,,,,
