FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1705.0,1823.95,1696.45,1768.5,1768.5,3638.0,21076.83,477750.0,477750.0,26-Feb-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1796.25,1812.0,1764.0,1764.0,1764.0,23.0,134.02,3250.0,3250.0,26-Feb-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1771.0,1785.05,1771.0,1779.2,1779.2,3.0,17.32,650.0,650.0,26-Feb-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1789.95,1986.0,1786.0,1954.4,1954.4,9868.0,60867.83,1141725.0,663975.0,01-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1803.35,1992.15,1803.35,1966.45,1966.45,109.0,671.83,14950.0,11700.0,01-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1805.8,1940.0,1805.8,1940.0,1955.9,26.0,158.11,5850.0,5200.0,01-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1973.0,1996.5,1877.75,1909.9,1909.9,7463.0,46792.78,1277575.0,135850.0,02-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1980.0,2001.45,1890.0,1920.4,1920.4,155.0,978.48,24700.0,9750.0,02-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1940.0,1987.65,1901.0,1926.95,1926.95,23.0,144.7,9100.0,3250.0,02-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1922.9,1936.9,1892.95,1899.1,1899.1,2405.0,14941.86,1287325.0,9750.0,03-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1927.1,1945.0,1905.0,1909.75,1909.75,51.0,318.38,28275.0,3575.0,03-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1926.95,1932.75,1918.0,1918.0,1902.45,10.0,62.54,11375.0,2275.0,03-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1884.4,2025.65,1882.8,1972.6,1972.6,13057.0,84153.96,1659775.0,372450.0,04-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1930.0,2033.0,1930.0,1983.45,1983.45,148.0,956.74,31525.0,3250.0,04-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1929.65,2040.0,1929.65,1990.0,1990.0,43.0,278.49,16250.0,4875.0,04-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1975.0,2007.75,1904.45,1950.95,1950.95,5125.0,32625.95,1667250.0,7475.0,05-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,2000.2,2013.5,1917.8,1962.6,1962.6,182.0,1159.27,49400.0,17875.0,05-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,2010.0,2010.0,1929.65,1974.5,1974.5,22.0,141.64,20150.0,3900.0,05-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1964.05,2038.4,1932.9,2026.9,2026.9,8494.0,55281.63,1928875.0,261625.0,08-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1978.9,2049.4,1943.0,2039.5,2039.5,158.0,1032.27,52000.0,2600.0,08-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1994.0,2056.5,1958.15,2045.15,2045.15,36.0,234.56,21450.0,1300.0,08-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,2049.0,2080.0,2020.5,2031.55,2031.55,8690.0,57946.62,1740375.0,-188500.0,09-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,2076.0,2089.25,2034.65,2045.05,2045.05,173.0,1159.04,63375.0,11375.0,09-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,2157.15,2157.15,2057.2,2060.1,2060.1,43.0,290.69,24700.0,3250.0,09-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,2043.9,2052.05,2012.9,2026.8,2026.8,2522.0,16649.52,1697150.0,-43225.0,10-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,2059.15,2059.2,2028.55,2040.1,2040.1,98.0,651.41,74750.0,11375.0,10-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,2062.0,2062.0,2046.0,2048.8,2048.8,10.0,66.66,26000.0,1300.0,10-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,2035.05,2072.0,1973.05,1997.15,1997.15,4385.0,28922.88,1719250.0,22100.0,12-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,2050.85,2083.0,1988.7,2010.1,2010.1,154.0,1017.21,80925.0,6175.0,12-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,2075.0,2092.0,2000.0,2018.95,2018.95,17.0,112.67,26000.0,0.0,12-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,2003.9,2014.85,1920.05,1955.6,1955.6,2638.0,16734.18,1729975.0,10725.0,15-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,2020.0,2020.0,1932.05,1968.75,1968.75,267.0,1704.55,123175.0,42250.0,15-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1984.0,1984.0,1958.0,1978.1,1978.1,21.0,134.71,29250.0,3250.0,15-Mar-2021,,,N,,,,
FUTSTK,IRCTC,25-Mar-2021,0.0,XX,1933.3,1945.0,1899.6,1914.85,1914.85,2890.0,18020.45,1738100.0,8125.0,16-Mar-2021,,,N,,,,
FUTSTK,IRCTC,29-Apr-2021,0.0,XX,1936.75,1953.0,1911.0,1922.6,1922.6,572.0,3587.53,203450.0,80275.0,16-Mar-2021,,,N,,,,
FUTSTK,IRCTC,27-May-2021,0.0,XX,1972.45,1972.45,1926.2,1935.85,1935.85,35.0,221.27,33150.0,3900.0,16-Mar-2021,,,N,,,,
