FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ITC,28-Jan-2021,0.0,XX,210.25,215.3,209.95,215.0,215.0,10388.0,70799.06,90054400.0,2944000.0,01-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,211.55,216.1,210.7,215.75,215.75,349.0,2389.68,1974400.0,-198400.0,01-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,213.0,216.95,212.5,216.5,216.5,38.0,261.69,73600.0,73600.0,01-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,215.0,217.05,212.65,214.3,214.3,12219.0,84073.96,90672000.0,617600.0,04-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,216.5,217.85,213.6,215.05,215.05,530.0,3657.52,2304000.0,329600.0,04-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,217.0,218.0,214.7,215.85,215.85,88.0,609.47,182400.0,108800.0,04-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,212.85,213.9,211.45,212.55,212.55,7571.0,51487.26,93302400.0,2630400.0,05-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,213.8,214.5,212.35,213.5,213.5,289.0,1972.54,2681600.0,377600.0,05-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,214.55,215.05,213.2,214.35,214.35,50.0,342.5,284800.0,102400.0,05-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,212.25,212.55,205.4,206.55,206.55,16366.0,109020.01,97324800.0,4022400.0,06-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,211.55,213.35,206.5,207.15,207.15,1648.0,10977.23,4851200.0,2169600.0,06-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,213.5,214.05,207.2,207.9,207.9,244.0,1633.78,691200.0,406400.0,06-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,207.05,208.25,203.2,204.0,204.0,11360.0,74570.52,97814400.0,489600.0,07-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,207.45,208.75,203.85,204.45,204.45,836.0,5499.52,5753600.0,902400.0,07-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,208.35,209.75,204.75,205.45,205.45,139.0,919.54,867200.0,176000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,204.3,206.8,201.4,202.6,202.6,14188.0,92559.0,104179200.0,6364800.0,08-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Feb-2021,0.0,XX,205.5,207.25,202.05,203.3,203.3,955.0,6245.43,6835200.0,1081600.0,08-Jan-2021,,,N,,,,,
FUTSTK,ITC,25-Mar-2021,0.0,XX,206.3,207.9,202.95,204.1,204.1,184.0,1210.63,1091200.0,224000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ITC,28-Jan-2021,0.0,XX,204.05,207.0,202.15,203.4,203.4,16864.0,110170.72,109945600.0,5766400.0,11-Jan-2021,,,N,,,,,
