FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JINDALSTEL,28-Jan-2021,0.0,XX,269.0,274.2,269.0,271.45,271.45,2266.0,30773.05,24710000.0,385000.0,01-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Feb-2021,0.0,XX,270.85,274.65,270.85,272.8,272.8,13.0,177.15,55000.0,15000.0,01-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,268.75,272.75,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,28-Jan-2021,0.0,XX,273.6,290.55,273.6,289.15,289.15,4264.0,60211.17,25435000.0,725000.0,04-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Feb-2021,0.0,XX,277.8,287.7,277.8,285.8,289.45,15.0,211.2,70000.0,15000.0,04-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,268.75,290.4,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,28-Jan-2021,0.0,XX,287.15,289.0,283.35,285.85,285.85,2140.0,30600.6,24975000.0,-460000.0,05-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Feb-2021,0.0,XX,286.45,288.35,285.55,286.0,286.35,9.0,129.19,90000.0,20000.0,05-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Mar-2021,0.0,XX,287.55,287.55,287.55,287.55,287.3,1.0,14.37,5000.0,5000.0,05-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,28-Jan-2021,0.0,XX,285.1,291.9,278.5,285.15,285.15,4222.0,60309.71,24015000.0,-960000.0,06-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Feb-2021,0.0,XX,289.6,291.8,280.0,286.35,286.35,58.0,828.49,130000.0,40000.0,06-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,287.55,286.8,0.0,0.0,5000.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,28-Jan-2021,0.0,XX,289.15,305.9,289.15,298.7,298.7,5346.0,79772.07,24175000.0,160000.0,07-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Feb-2021,0.0,XX,291.95,305.9,291.95,299.75,299.75,70.0,1047.16,190000.0,60000.0,07-Jan-2021,,,N,,,,,
FUTSTK,JINDALSTEL,25-Mar-2021,0.0,XX,303.85,303.85,303.85,303.85,303.85,1.0,15.19,5000.0,0.0,07-Jan-2021,,,N,,,,,
