FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,388.5,393.7,386.1,391.1,391.1,2499.0,26342.16,33377400.0,-94500.0,01-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,390.55,394.25,387.5,392.05,392.05,24.0,253.67,110700.0,16200.0,01-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,390.5,393.5,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,393.75,406.3,392.85,404.55,404.55,6418.0,69300.0,33709500.0,332100.0,04-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,398.05,407.45,397.9,406.15,406.15,68.0,737.88,162000.0,51300.0,04-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,390.5,406.85,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,404.0,404.0,392.05,396.05,396.05,3638.0,39000.31,33571800.0,-137700.0,05-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,402.65,403.0,393.7,397.15,397.15,60.0,645.32,148500.0,-13500.0,05-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,390.5,398.9,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,397.5,409.35,396.25,401.8,401.8,6503.0,70611.26,32907600.0,-664200.0,06-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,401.7,409.25,397.8,401.95,401.95,91.0,990.62,245700.0,97200.0,06-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,397.9,397.9,397.9,397.9,405.35,2.0,21.48,5400.0,5400.0,06-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,404.55,414.8,404.35,407.6,407.6,6545.0,72473.55,33137100.0,229500.0,07-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,408.5,415.3,407.4,408.55,408.55,84.0,931.6,261900.0,16200.0,07-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,397.9,409.05,0.0,0.0,5400.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,409.55,411.65,399.25,403.35,403.35,5392.0,59022.44,33777000.0,639900.0,08-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,410.35,412.0,401.6,404.4,404.4,47.0,516.95,294300.0,32400.0,08-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,409.05,409.05,404.95,406.45,406.45,3.0,32.99,8100.0,2700.0,08-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,403.7,405.7,393.0,399.4,399.4,3414.0,36727.99,33825600.0,48600.0,11-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,403.15,403.15,395.0,401.1,401.1,47.0,507.3,307800.0,13500.0,11-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,406.45,402.45,0.0,0.0,8100.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,398.15,413.8,398.0,401.5,401.5,4888.0,53679.61,34538400.0,712800.0,12-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,408.05,414.4,401.85,402.75,402.75,87.0,959.85,291600.0,-16200.0,12-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,409.2,409.2,408.45,408.45,402.9,2.0,22.07,10800.0,2700.0,12-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,28-Jan-2021,0.0,XX,403.75,409.35,395.8,405.05,405.05,4571.0,49862.83,34290000.0,-248400.0,13-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Feb-2021,0.0,XX,404.2,410.0,397.7,406.9,406.9,85.0,929.08,315900.0,24300.0,13-Jan-2021,,,N,,,,,
FUTSTK,JSWSTEEL,25-Mar-2021,0.0,XX,409.5,409.5,405.7,406.2,406.3,3.0,32.97,16200.0,5400.0,13-Jan-2021,,,N,,,,,
