FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2798.1,2832.85,2785.1,2801.6,2801.6,3186.0,22347.91,1416000.0,-14750.0,01-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2825.0,2839.75,2794.1,2806.6,2806.6,61.0,428.67,16000.0,3500.0,01-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2814.85,2819.9,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2803.6,2824.75,2751.0,2762.55,2762.55,2829.0,19609.59,1384750.0,-31250.0,04-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2813.7,2820.0,2760.0,2769.15,2769.15,36.0,250.25,15750.0,-250.0,04-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2768.2,2768.2,2768.2,2768.2,2773.05,1.0,6.92,250.0,250.0,04-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2700.25,2841.0,2700.25,2778.5,2778.5,5175.0,36150.1,1387000.0,2250.0,05-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2684.7,2844.15,2684.7,2787.85,2787.85,30.0,210.11,15750.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2783.5,2800.0,2783.5,2800.0,2801.3,2.0,13.95,250.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2792.55,2859.0,2750.0,2799.55,2799.55,4359.0,30567.41,1387750.0,750.0,06-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2858.35,2858.35,2786.2,2804.1,2804.1,17.0,119.71,15750.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2801.3,2801.3,2801.3,2801.3,2814.1,1.0,7.0,250.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2820.0,2890.0,2813.0,2864.4,2864.4,4929.0,35188.59,1404500.0,16750.0,07-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2848.9,2896.8,2837.7,2872.05,2872.05,50.0,358.16,16250.0,500.0,07-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2801.3,2887.85,0.0,0.0,250.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2895.7,2947.9,2875.55,2911.6,2911.6,4573.0,33292.37,1405500.0,1000.0,08-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2908.4,2952.55,2898.2,2916.95,2916.95,63.0,460.06,18750.0,2500.0,08-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2921.0,2921.0,2901.0,2901.0,2938.5,5.0,36.45,750.0,500.0,08-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2920.1,2983.15,2912.0,2917.45,2917.45,3884.0,28604.65,1469750.0,64250.0,11-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2968.0,2970.0,2916.4,2920.65,2920.65,103.0,756.93,33250.0,14500.0,11-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2950.0,2950.0,2950.0,2950.0,2951.7,2.0,14.75,500.0,-250.0,11-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2896.75,2915.5,2860.1,2891.3,2891.3,2835.0,20478.57,1429750.0,-40000.0,12-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2893.3,2916.35,2863.0,2894.65,2894.65,67.0,484.0,35000.0,1750.0,12-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2906.95,2906.95,2906.95,2906.95,2902.25,1.0,7.26,750.0,250.0,12-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2891.0,2918.8,2796.6,2846.6,2846.6,2932.0,20904.18,1429500.0,-250.0,13-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2894.65,2894.65,2805.1,2847.35,2847.35,47.0,333.95,36250.0,1250.0,13-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2865.0,2865.0,2865.0,2865.0,2859.2,1.0,7.16,750.0,0.0,13-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2851.7,2868.4,2754.05,2797.4,2797.4,3081.0,21489.06,1484500.0,55000.0,14-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2838.1,2838.15,2760.05,2799.15,2799.15,74.0,514.81,37250.0,1000.0,14-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2770.0,2799.95,2770.0,2799.95,2806.25,3.0,20.89,1000.0,250.0,14-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2817.2,2824.05,2705.9,2740.75,2740.75,3361.0,23049.74,1494750.0,10250.0,15-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2811.55,2811.55,2709.6,2744.6,2744.6,97.0,665.07,44000.0,6750.0,15-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2735.0,2740.0,2735.0,2740.0,2755.1,2.0,13.68,1250.0,250.0,15-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2726.55,2829.95,2718.0,2796.7,2796.7,5157.0,35909.28,1416250.0,-78500.0,18-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2759.1,2836.2,2733.0,2801.1,2801.1,251.0,1751.31,59000.0,15000.0,18-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2740.0,2824.0,0.0,0.0,1250.0,0.0,18-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2804.45,2824.4,2750.0,2813.0,2813.0,3394.0,23608.95,1403250.0,-13000.0,19-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2821.5,2827.0,2762.0,2820.15,2820.15,254.0,1771.45,62250.0,3250.0,19-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2761.0,2761.0,2761.0,2761.0,2823.05,1.0,6.9,1250.0,0.0,19-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2823.85,2857.7,2791.75,2823.2,2823.2,2746.0,19427.21,1391750.0,-11500.0,20-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2802.55,2866.4,2802.55,2831.15,2831.15,265.0,1877.19,81500.0,19250.0,20-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2864.1,2864.1,2864.1,2864.1,2831.8,1.0,7.16,1500.0,250.0,20-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2829.95,2871.3,2756.3,2777.7,2777.7,3523.0,24734.29,1338750.0,-53000.0,21-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2837.75,2878.95,2763.2,2780.0,2780.0,481.0,3385.81,118250.0,36750.0,21-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2846.0,2846.0,2795.75,2795.75,2795.75,4.0,28.17,1500.0,0.0,21-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,28-Jan-2021,0.0,XX,2789.65,2838.0,2735.05,2753.15,2753.15,4388.0,30480.64,1259750.0,-79000.0,22-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Feb-2021,0.0,XX,2862.15,2862.2,2747.25,2762.25,2762.25,1543.0,10758.55,226750.0,108500.0,22-Jan-2021,,,N,,,,,
FUTSTK,JUBLFOOD,25-Mar-2021,0.0,XX,2833.0,2833.0,2752.25,2752.25,2766.1,3.0,20.93,1750.0,250.0,22-Jan-2021,,,N,,,,,
