FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KFINTECH,31-Jul-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1323.4,
FUTSTK,KFINTECH,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1323.4,
FUTSTK,KFINTECH,30-Sep-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1323.4,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1344.3,1386.8,1339.2,1357.6,1361.0,1331.2,1357.6,1552.0,956695770.0,322650.0,322650.0,450.0,27-Jun-2025,,1346.4,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1368.0,1383.2,1353.4,1361.4,1372.6,1337.5,1361.4,39.0,23992155.0,12600.0,12600.0,450.0,27-Jun-2025,,1346.4,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1393.2,1393.2,1367.6,1367.6,1367.6,1344.9,1367.6,3.0,1857780.0,1350.0,1350.0,450.0,27-Jun-2025,,1346.4,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1373.9,1379.9,1337.6,1356.9,1358.0,1357.6,1356.9,1038.0,636255045.0,436950.0,114300.0,450.0,30-Jun-2025,,1347.7,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1371.9,1372.5,1350.9,1358.1,1359.0,1361.4,1358.1,16.0,9806940.0,14850.0,2250.0,450.0,30-Jun-2025,,1347.7,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1367.6,1368.3,1367.6,1368.3,1368.3,1367.6,1368.3,3.0,1846890.0,2700.0,1350.0,450.0,30-Jun-2025,,1347.7,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1354.9,1359.4,1338.1,1342.0,1340.0,1356.9,1342.0,586.0,354670560.0,535500.0,98550.0,450.0,01-Jul-2025,,1333.8,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1356.9,1356.9,1342.0,1342.8,1342.0,1358.1,1342.8,24.0,14582880.0,18450.0,3600.0,450.0,01-Jul-2025,,1333.8,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1361.1,1361.1,1361.1,1361.1,1361.1,1368.3,1361.1,2.0,1224990.0,3600.0,900.0,450.0,01-Jul-2025,,1333.8,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1343.3,1364.7,1320.0,1328.6,1331.0,1342.0,1328.6,733.0,440151255.0,631350.0,95850.0,450.0,02-Jul-2025,,1320.9,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1342.0,1342.0,1326.0,1331.2,1332.6,1342.8,1331.2,16.0,9589815.0,22950.0,4500.0,450.0,02-Jul-2025,,1320.9,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,0.0,0.0,0.0,1361.1,1361.1,1361.1,1361.1,0.0,0.0,3600.0,0.0,450.0,02-Jul-2025,,1320.9,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1333.8,1356.9,1321.1,1337.6,1341.0,1328.6,1337.6,977.0,589720275.0,742050.0,110700.0,450.0,03-Jul-2025,,1329.7,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1334.8,1354.9,1334.8,1341.4,1340.0,1331.2,1341.4,12.0,7260750.0,25200.0,2250.0,450.0,03-Jul-2025,,1329.7,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1360.0,1360.0,1344.0,1348.6,1348.6,1361.1,1348.6,4.0,2431080.0,5400.0,1800.0,450.0,03-Jul-2025,,1329.7,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1347.0,1348.4,1278.1,1301.4,1298.7,1337.6,1301.4,837.0,489369330.0,814050.0,72000.0,450.0,04-Jul-2025,,1294.9,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1328.9,1328.9,1284.0,1301.1,1300.0,1341.4,1301.1,19.0,11098260.0,29250.0,4050.0,450.0,04-Jul-2025,,1294.9,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,0.0,0.0,0.0,1348.6,1348.6,1348.6,1348.6,0.0,0.0,5400.0,0.0,450.0,04-Jul-2025,,1294.9,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1292.1,1295.3,1262.2,1268.5,1267.0,1301.4,1268.5,601.0,344338830.0,881550.0,67500.0,450.0,07-Jul-2025,,1262.5,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1287.9,1290.4,1267.2,1272.7,1273.6,1301.1,1272.7,30.0,17275275.0,30150.0,900.0,450.0,07-Jul-2025,,1262.5,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1295.0,1295.0,1272.0,1272.0,1272.0,1348.6,1272.0,3.0,1729890.0,6300.0,900.0,450.0,07-Jul-2025,,1262.5,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1261.9,1279.9,1250.1,1277.4,1275.7,1268.5,1277.4,851.0,484812945.0,901350.0,19800.0,450.0,08-Jul-2025,,1273.3,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1266.9,1281.9,1255.6,1278.9,1278.0,1272.7,1278.9,20.0,11442555.0,33750.0,3600.0,450.0,08-Jul-2025,,1273.3,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1272.0,1283.0,1269.5,1282.9,1282.9,1272.0,1282.9,5.0,2873655.0,7200.0,900.0,450.0,08-Jul-2025,,1273.3,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1262.0,1320.7,1262.0,1314.2,1309.6,1277.4,1314.2,1533.0,901242495.0,1066050.0,164700.0,450.0,09-Jul-2025,,1307.0,
FUTSTK,KFINTECH,28-Aug-2025,,XX,N,1281.9,1319.0,1281.9,1313.2,1314.8,1278.9,1313.2,48.0,28205955.0,36900.0,3150.0,450.0,09-Jul-2025,,1307.0,
FUTSTK,KFINTECH,30-Sep-2025,,XX,N,1281.0,1322.0,1281.0,1320.8,1320.8,1282.9,1320.8,5.0,2951640.0,6750.0,-450.0,450.0,09-Jul-2025,,1307.0,
FUTSTK,KFINTECH,31-Jul-2025,,XX,N,1314.2,1327.7,1290.9,1297.6,1295.3,1314.2,1297.6,1101.0,647509365.0,1141200.0,75150.0,450.0,10-Jul-2025,,1291.9,
