FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1995.25,2004.3,1985.2,1989.1,1989.1,3972.0,31682.74,18407200.0,135200.0,01-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1953.85,2001.35,1953.85,1988.55,1988.55,53.0,422.0,50000.0,1600.0,01-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1995.15,2001.6,1988.9,1989.45,1989.45,14.0,111.78,4400.0,4400.0,01-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1998.5,2003.0,1954.4,1966.2,1966.2,10426.0,82200.73,18564000.0,156800.0,04-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,2000.0,2000.0,1954.55,1965.25,1965.25,215.0,1691.64,80400.0,30400.0,04-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1981.95,1982.5,1962.0,1965.6,1965.6,15.0,118.1,8800.0,4400.0,04-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1958.75,1968.15,1936.6,1963.4,1963.4,11767.0,91868.82,18758400.0,194400.0,05-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1949.25,1965.0,1934.45,1962.6,1962.6,339.0,2642.08,132800.0,52400.0,05-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1951.6,1964.0,1942.0,1963.25,1963.25,15.0,117.12,10400.0,1600.0,05-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1965.55,1983.8,1950.0,1975.5,1975.5,13939.0,109821.42,17713200.0,-1045200.0,06-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1962.75,1982.05,1951.6,1975.15,1975.15,217.0,1707.97,141200.0,8400.0,06-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1966.45,1980.0,1960.0,1976.8,1976.8,32.0,252.26,13200.0,2800.0,06-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1980.05,1984.65,1953.35,1957.1,1957.1,10224.0,80278.13,17677200.0,-36000.0,07-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1984.55,1984.6,1955.0,1957.6,1957.6,169.0,1327.54,151600.0,10400.0,07-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1969.85,1969.85,1955.4,1956.2,1956.2,17.0,133.55,16400.0,3200.0,07-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1962.1,1978.0,1947.5,1970.7,1970.7,9599.0,75391.3,18149600.0,472400.0,08-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1955.7,1978.35,1950.0,1972.05,1972.05,304.0,2389.74,158800.0,7200.0,08-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1956.2,1975.0,1950.9,1970.7,1970.7,17.0,133.64,15600.0,-800.0,08-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1961.15,1971.45,1940.75,1943.05,1943.05,10708.0,83739.18,18057200.0,-92400.0,11-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1962.95,1968.9,1943.75,1945.4,1945.4,210.0,1643.67,178000.0,19200.0,11-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1958.9,1962.05,1944.0,1945.85,1945.85,15.0,117.08,18800.0,3200.0,11-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1930.05,1936.55,1904.4,1911.85,1911.85,17524.0,134135.28,17816000.0,-241200.0,12-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1925.0,1926.45,1908.2,1916.6,1916.6,347.0,2659.72,246400.0,68400.0,12-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1928.4,1928.4,1912.0,1915.6,1915.6,30.0,230.15,27600.0,8800.0,12-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1912.75,1915.95,1885.0,1892.05,1892.05,16743.0,126879.7,17542400.0,-273600.0,13-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1900.0,1909.05,1889.0,1894.5,1894.5,648.0,4919.8,343200.0,96800.0,13-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1903.35,1909.8,1892.2,1893.2,1893.2,102.0,774.9,38000.0,10400.0,13-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1893.55,1914.0,1880.0,1901.95,1901.95,13337.0,101585.27,17310000.0,-232400.0,14-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1901.85,1917.45,1884.45,1905.6,1905.6,460.0,3509.08,385200.0,42000.0,14-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1898.05,1917.5,1888.85,1908.3,1908.3,25.0,190.57,38800.0,800.0,14-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1898.9,1911.4,1858.25,1871.3,1871.3,11712.0,87928.63,17357600.0,47600.0,15-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1895.65,1913.35,1862.3,1875.1,1875.1,671.0,5038.42,470000.0,84800.0,15-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Mar-2021,0.0,XX,1902.75,1914.0,1865.0,1875.15,1875.15,70.0,525.02,53200.0,14400.0,15-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,28-Jan-2021,0.0,XX,1873.95,1877.9,1841.15,1849.55,1849.55,11020.0,81757.06,17105200.0,-252400.0,18-Jan-2021,,,N,,,,,
FUTSTK,KOTAKBANK,25-Feb-2021,0.0,XX,1864.55,1871.9,1843.6,1848.8,1848.8,1103.0,8181.44,645200.0,175200.0,18-Jan-2021,,,N,,,,,
