FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1401.0,1427.9,1350.5,1372.6,1379.0,1418.85,1372.6,1480.0,811995760.0,310400.0,310400.0,400.0,29-Nov-2024,,1368.8,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1400.9,1400.9,1367.1,1378.6,1380.0,1429.0,1378.6,38.0,20907000.0,8000.0,8000.0,400.0,29-Nov-2024,,1368.8,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1380.95,1385.0,1375.05,1383.05,1384.6,1437.05,1383.05,10.0,5525800.0,2000.0,2000.0,400.0,29-Nov-2024,,1368.8,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1361.35,1378.6,1348.6,1350.6,1352.0,1372.6,1350.6,1051.0,570852700.0,551200.0,240800.0,400.0,02-Dec-2024,,1341.25,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1372.0,1380.7,1357.55,1358.4,1358.65,1378.6,1358.4,30.0,16392620.0,15200.0,7200.0,400.0,02-Dec-2024,,1341.25,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1381.7,1381.7,1362.0,1362.8,1362.8,1383.05,1362.8,6.0,3289040.0,4000.0,2000.0,400.0,02-Dec-2024,,1341.25,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1383.8,1449.0,1370.15,1437.2,1438.0,1350.6,1437.2,4463.0,2547893840.0,947600.0,396400.0,400.0,03-Dec-2024,,1430.65,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1384.65,1456.0,1378.0,1443.65,1441.95,1358.4,1443.65,256.0,146910660.0,35600.0,20400.0,400.0,03-Dec-2024,,1430.65,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1430.45,1456.7,1430.45,1450.55,1448.05,1362.8,1450.55,19.0,11016460.0,8800.0,4800.0,400.0,03-Dec-2024,,1430.65,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1449.65,1467.7,1432.5,1463.75,1465.0,1437.2,1463.75,2173.0,1263693800.0,912400.0,-35200.0,400.0,04-Dec-2024,,1457.15,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1458.6,1474.1,1440.35,1471.05,1470.55,1443.65,1471.05,154.0,90044060.0,46000.0,10400.0,400.0,04-Dec-2024,,1457.15,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1450.0,1479.85,1450.0,1476.7,1476.35,1450.55,1476.7,26.0,15276600.0,12800.0,4000.0,400.0,04-Dec-2024,,1457.15,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1468.7,1505.0,1467.05,1498.0,1499.0,1463.75,1498.0,2487.0,1482695460.0,985600.0,73200.0,400.0,05-Dec-2024,,1493.05,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1476.3,1512.7,1476.3,1505.35,1505.6,1471.05,1505.35,201.0,120379700.0,50800.0,4800.0,400.0,05-Dec-2024,,1493.05,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1515.15,1515.65,1490.95,1512.65,1512.6,1476.7,1512.65,30.0,18053180.0,18800.0,6000.0,400.0,05-Dec-2024,,1493.05,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1501.3,1510.5,1480.0,1488.6,1486.0,1498.0,1488.6,1984.0,1184862000.0,1102400.0,116800.0,400.0,06-Dec-2024,,1481.15,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1503.75,1514.55,1486.4,1497.0,1494.15,1505.35,1497.0,134.0,80372340.0,63600.0,12800.0,400.0,06-Dec-2024,,1481.15,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1512.65,1518.0,1496.25,1502.9,1502.9,1512.65,1502.9,12.0,7243080.0,21200.0,2400.0,400.0,06-Dec-2024,,1481.15,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1489.0,1556.8,1489.0,1541.3,1543.6,1488.6,1541.3,3096.0,1901385280.0,1203200.0,100800.0,400.0,09-Dec-2024,,1534.05,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1501.35,1564.9,1500.95,1551.05,1554.25,1497.0,1551.05,212.0,130870720.0,64000.0,400.0,400.0,09-Dec-2024,,1534.05,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1513.8,1567.1,1513.8,1558.85,1558.85,1502.9,1558.85,36.0,22296580.0,28000.0,6800.0,400.0,09-Dec-2024,,1534.05,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1550.0,1550.0,1524.0,1545.1,1546.0,1541.3,1545.1,1945.0,1196980100.0,1278400.0,75200.0,400.0,10-Dec-2024,,1538.8,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1548.15,1557.25,1535.7,1555.3,1554.55,1551.05,1555.3,83.0,51438880.0,64800.0,800.0,400.0,10-Dec-2024,,1538.8,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1556.65,1562.0,1551.75,1555.95,1555.95,1558.85,1555.95,10.0,6228280.0,28000.0,0.0,400.0,10-Dec-2024,,1538.8,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1544.5,1561.5,1530.25,1555.35,1559.0,1545.1,1555.35,1576.0,976244220.0,1320800.0,42400.0,400.0,11-Dec-2024,,1548.85,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1555.3,1570.2,1542.85,1565.75,1567.5,1555.3,1565.75,94.0,58608860.0,69600.0,4800.0,400.0,11-Dec-2024,,1548.85,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1550.8,1574.55,1549.4,1572.2,1572.05,1555.95,1572.2,20.0,12505480.0,26400.0,-1600.0,400.0,11-Dec-2024,,1548.85,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1560.05,1569.75,1538.05,1546.25,1547.4,1555.35,1546.25,2083.0,1294906780.0,1497600.0,176800.0,400.0,12-Dec-2024,,1541.2,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1586.55,1586.55,1550.0,1555.95,1559.75,1565.75,1555.95,202.0,126500260.0,87200.0,17600.0,400.0,12-Dec-2024,,1541.2,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1599.0,1599.0,1555.65,1558.8,1558.8,1572.2,1558.8,15.0,9457460.0,30000.0,3600.0,400.0,12-Dec-2024,,1541.2,
FUTSTK,KPITTECH,26-Dec-2024,,XX,N,1532.9,1550.95,1513.05,1538.5,1535.05,1546.25,1538.5,1806.0,1107950800.0,1426000.0,-71600.0,400.0,13-Dec-2024,,1533.1,
FUTSTK,KPITTECH,30-Jan-2025,,XX,N,1543.25,1560.55,1525.0,1549.05,1547.8,1555.95,1549.05,250.0,154504240.0,119200.0,32000.0,400.0,13-Dec-2024,,1533.1,
FUTSTK,KPITTECH,27-Feb-2025,,XX,N,1558.8,1558.8,1535.0,1557.65,1557.65,1558.8,1557.65,10.0,6187240.0,30000.0,0.0,400.0,13-Dec-2024,,1533.1,
