FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,LAURUSLABS,25-Nov-2021,0.0,XX,504.0,524.9,487.95,516.8,516.8,1982.0,9146.33,837900.0,837900.0,29-Oct-2021,,,N,,,,,
FUTSTK,LAURUSLABS,30-Dec-2021,0.0,XX,495.35,526.55,495.35,518.95,518.95,146.0,680.94,48600.0,48600.0,29-Oct-2021,,,N,,,,,
FUTSTK,LAURUSLABS,27-Jan-2022,0.0,XX,0.0,0.0,0.0,543.8,520.75,0.0,0.0,0.0,0.0,29-Oct-2021,,,N,,,,,
FUTSTK,LAURUSLABS,25-Nov-2021,0.0,XX,521.0,521.0,487.5,498.5,498.5,2768.0,12392.59,1741500.0,903600.0,01-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,30-Dec-2021,0.0,XX,523.4,523.4,491.85,500.95,500.95,260.0,1168.04,125100.0,76500.0,01-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,27-Jan-2022,0.0,XX,500.0,502.0,500.0,502.0,500.45,2.0,9.01,1800.0,1800.0,01-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,25-Nov-2021,0.0,XX,497.95,505.0,491.35,493.35,493.35,1567.0,7017.85,2169900.0,428400.0,02-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,30-Dec-2021,0.0,XX,497.0,507.25,494.5,496.45,496.45,125.0,563.29,170100.0,45000.0,02-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,27-Jan-2022,0.0,XX,498.7,505.25,498.7,500.05,495.85,11.0,49.65,9900.0,8100.0,02-Nov-2021,,,N,,,,,
FUTSTK,LAURUSLABS,25-Nov-2021,0.0,XX,495.3,500.1,490.55,496.7,496.7,909.0,4050.04,2205900.0,36000.0,03-Nov-2021,,,N,,,,,
