FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,364.15,380.7,363.75,379.15,379.15,6051.0,45457.29,6886000.0,396000.0,01-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,369.9,380.9,369.9,379.45,379.45,58.0,436.47,146000.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,375.0,378.65,375.0,378.65,381.25,2.0,15.07,4000.0,4000.0,01-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,381.5,386.0,377.75,383.05,383.05,4820.0,36865.47,6344000.0,-542000.0,04-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,381.0,386.0,378.35,383.3,383.3,88.0,674.35,162000.0,16000.0,04-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,381.6,385.15,381.6,383.0,385.25,6.0,46.07,12000.0,8000.0,04-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,379.9,400.5,379.0,396.15,396.15,6691.0,52543.22,6006000.0,-338000.0,05-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,379.05,401.3,379.0,396.55,396.55,103.0,809.17,172000.0,10000.0,05-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,385.25,400.0,385.25,397.15,397.15,10.0,78.86,16000.0,4000.0,05-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,397.4,418.0,396.2,409.35,409.35,9200.0,74929.74,6352000.0,346000.0,06-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,398.7,418.0,397.4,410.0,410.0,214.0,1744.1,178000.0,6000.0,06-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,398.45,417.0,397.9,409.65,409.65,24.0,195.92,34000.0,18000.0,06-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,413.85,443.5,413.0,432.55,432.55,9088.0,77768.03,6732000.0,380000.0,07-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,414.95,442.35,414.35,432.8,432.8,302.0,2583.18,314000.0,136000.0,07-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,424.4,442.0,420.85,433.45,433.45,30.0,258.07,50000.0,16000.0,07-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,438.0,445.0,433.5,437.85,437.85,5899.0,51717.81,6856000.0,124000.0,08-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,437.55,445.15,434.0,437.5,437.5,230.0,2016.58,436000.0,122000.0,08-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,439.65,441.9,435.5,435.5,446.1,25.0,219.39,52000.0,2000.0,08-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,440.5,441.1,421.05,431.45,431.45,4224.0,36240.33,6642000.0,-214000.0,11-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,437.9,437.9,421.9,431.15,431.15,135.0,1157.84,470000.0,34000.0,11-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Mar-2021,0.0,XX,435.9,435.9,424.8,430.05,434.45,12.0,103.24,44000.0,-8000.0,11-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,28-Jan-2021,0.0,XX,430.0,446.8,425.15,440.9,440.9,4359.0,38321.37,6292000.0,-350000.0,12-Jan-2021,,,N,,,,
FUTSTK,LICHSGFIN,25-Feb-2021,0.0,XX,425.8,446.55,425.75,441.2,441.2,146.0,1283.03,450000.0,-20000.0,12-Jan-2021,,,N,,,,
