FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,LT,28-Jan-2021,0.0,XX,1285.75,1306.1,1284.0,1302.25,1302.25,4250.0,31779.19,13785050.0,-41975.0,01-Jan-2021,,,N,,,,
FUTSTK,LT,25-Feb-2021,0.0,XX,1296.3,1310.0,1296.3,1306.5,1306.5,106.0,795.79,170775.0,11500.0,01-Jan-2021,,,N,,,,
FUTSTK,LT,25-Mar-2021,0.0,XX,1311.0,1311.0,1311.0,1311.0,1309.6,1.0,7.53,575.0,575.0,01-Jan-2021,,,N,,,,
FUTSTK,LT,28-Jan-2021,0.0,XX,1310.1,1328.75,1306.0,1319.55,1319.55,8857.0,67179.59,13403250.0,-381800.0,04-Jan-2021,,,N,,,,
FUTSTK,LT,25-Feb-2021,0.0,XX,1313.1,1332.65,1311.5,1323.6,1323.6,295.0,2244.83,214475.0,43700.0,04-Jan-2021,,,N,,,,
FUTSTK,LT,25-Mar-2021,0.0,XX,1331.0,1332.0,1322.55,1325.3,1325.3,13.0,99.24,4600.0,4025.0,04-Jan-2021,,,N,,,,
FUTSTK,LT,28-Jan-2021,0.0,XX,1309.95,1318.75,1302.25,1312.0,1312.0,5767.0,43437.29,13756300.0,353050.0,05-Jan-2021,,,N,,,,
FUTSTK,LT,25-Feb-2021,0.0,XX,1313.1,1322.15,1309.05,1315.85,1315.85,189.0,1428.13,243225.0,28750.0,05-Jan-2021,,,N,,,,
FUTSTK,LT,25-Mar-2021,0.0,XX,1320.0,1330.0,1314.85,1317.75,1317.75,32.0,242.87,11500.0,6900.0,05-Jan-2021,,,N,,,,
FUTSTK,LT,28-Jan-2021,0.0,XX,1299.55,1336.7,1299.55,1320.6,1320.6,8838.0,67245.4,13502150.0,-254150.0,06-Jan-2021,,,N,,,,
FUTSTK,LT,25-Feb-2021,0.0,XX,1314.7,1340.2,1312.25,1325.1,1325.1,252.0,1924.27,258175.0,14950.0,06-Jan-2021,,,N,,,,
FUTSTK,LT,25-Mar-2021,0.0,XX,1318.5,1343.0,1317.5,1330.0,1330.0,39.0,298.54,13225.0,1725.0,06-Jan-2021,,,N,,,,
FUTSTK,LT,28-Jan-2021,0.0,XX,1331.1,1353.9,1329.5,1344.4,1344.4,7652.0,59213.01,13471675.0,-30475.0,07-Jan-2021,,,N,,,,
FUTSTK,LT,25-Feb-2021,0.0,XX,1336.0,1358.05,1330.0,1348.75,1348.75,257.0,1994.65,285775.0,27600.0,07-Jan-2021,,,N,,,,
FUTSTK,LT,25-Mar-2021,0.0,XX,1350.5,1359.55,1350.0,1352.25,1352.25,12.0,93.41,14950.0,1725.0,07-Jan-2021,,,N,,,,
