FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,981.0,1015.3,977.2,1004.95,1004.95,8593.0,73256.1,8216950.0,544000.0,01-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,988.85,1017.5,983.0,1007.95,1007.95,149.0,1274.88,110500.0,13600.0,01-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,0.0,0.0,0.0,985.15,1010.6,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1011.05,1032.8,1005.0,1028.9,1028.9,7903.0,68598.38,8098800.0,-118150.0,04-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1015.15,1035.85,1010.9,1032.75,1032.75,193.0,1680.62,111350.0,850.0,04-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,0.0,0.0,0.0,985.15,1036.55,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1028.0,1049.55,1022.85,1041.85,1041.85,5759.0,50884.78,7548000.0,-550800.0,05-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1028.0,1053.05,1028.0,1046.05,1046.05,136.0,1206.23,119850.0,8500.0,05-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1051.55,1051.55,1035.0,1046.0,1049.55,5.0,44.33,3400.0,3400.0,05-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1039.95,1039.95,992.3,1006.2,1006.2,9345.0,80473.59,7682300.0,134300.0,06-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1025.0,1037.95,998.4,1010.1,1010.1,359.0,3105.03,173400.0,53550.0,06-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1021.2,1028.05,1009.5,1010.0,1009.75,8.0,69.22,9350.0,5950.0,06-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1015.05,1033.4,995.0,1024.8,1024.8,7888.0,68219.5,7621950.0,-60350.0,07-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1017.75,1036.95,1000.0,1028.15,1028.15,301.0,2608.45,177650.0,4250.0,07-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1018.85,1040.4,1018.85,1040.4,1031.45,3.0,26.34,11900.0,2550.0,07-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1034.95,1052.0,1026.8,1043.5,1043.5,8835.0,78223.42,7984050.0,362100.0,08-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1035.95,1055.7,1032.85,1045.8,1045.8,392.0,3480.91,154700.0,-22950.0,08-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1038.5,1051.45,1038.5,1049.1,1049.1,8.0,71.14,12750.0,850.0,08-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1046.1,1086.0,1044.1,1078.6,1078.6,9364.0,85137.82,8015500.0,31450.0,11-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1054.9,1089.15,1050.0,1082.8,1082.8,379.0,3454.95,204850.0,50150.0,11-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1052.9,1088.5,1052.9,1088.5,1084.7,4.0,36.58,9350.0,-3400.0,11-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1080.0,1085.45,1061.5,1065.4,1065.4,4323.0,39358.22,8048650.0,33150.0,12-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1088.0,1089.9,1066.5,1070.2,1070.2,251.0,2290.1,233750.0,28900.0,12-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1088.5,1069.2,0.0,0.0,9350.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1065.0,1093.85,1052.15,1072.7,1072.7,7163.0,65524.24,8074150.0,25500.0,13-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1076.85,1097.0,1057.05,1076.5,1076.5,263.0,2408.8,246500.0,12750.0,13-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1065.85,1075.6,1065.85,1075.6,1076.25,2.0,18.2,9350.0,0.0,13-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1074.4,1117.95,1067.7,1110.4,1110.4,10199.0,95156.61,8919050.0,844900.0,14-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1081.15,1121.3,1073.4,1113.5,1113.5,489.0,4580.27,276250.0,29750.0,14-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1094.4,1115.75,1093.05,1115.7,1115.7,8.0,75.13,13600.0,4250.0,14-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1114.35,1115.85,1080.5,1097.65,1097.65,5756.0,53668.65,8898650.0,-20400.0,15-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1113.8,1117.15,1085.15,1101.45,1101.45,339.0,3170.37,344250.0,68000.0,15-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1103.25,1112.25,1100.55,1105.55,1105.55,4.0,37.58,12750.0,-850.0,15-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1076.15,1089.8,1032.8,1064.0,1064.0,5729.0,52075.19,8346150.0,-552500.0,18-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1055.1,1093.7,1052.0,1067.3,1067.3,383.0,3492.5,408000.0,63750.0,18-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1071.9,1097.0,1071.9,1081.0,1071.2,11.0,101.44,13600.0,850.0,18-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1071.05,1103.5,1071.05,1095.75,1095.75,5304.0,49060.51,8360600.0,14450.0,19-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1078.3,1107.5,1078.3,1095.95,1095.95,463.0,4295.59,385900.0,-22100.0,19-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1085.3,1104.0,1085.3,1103.8,1103.8,6.0,55.87,13600.0,0.0,19-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1097.8,1103.85,1084.15,1089.35,1089.35,3394.0,31502.68,8171900.0,-188700.0,20-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1101.4,1106.9,1089.0,1093.95,1093.95,413.0,3845.23,538900.0,153000.0,20-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1103.8,1103.8,1095.0,1095.0,1095.0,4.0,37.37,16150.0,2550.0,20-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1091.0,1097.8,1065.25,1069.15,1069.15,6046.0,55396.9,7512300.0,-659600.0,21-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1084.0,1101.05,1069.75,1072.8,1072.8,1279.0,11747.73,980050.0,441150.0,21-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1095.5,1095.5,1080.0,1080.0,1076.05,12.0,110.99,18700.0,2550.0,21-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1070.0,1090.55,1057.55,1080.7,1080.7,8084.0,73914.59,6743900.0,-768400.0,22-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1075.4,1093.6,1062.45,1084.85,1084.85,2688.0,24642.44,1588650.0,608600.0,22-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1076.05,1092.05,1070.0,1087.15,1087.15,20.0,184.02,22100.0,3400.0,22-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1080.05,1106.95,1050.05,1085.35,1085.35,9608.0,89067.47,5033700.0,-1710200.0,25-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Feb-2021,0.0,XX,1100.0,1110.15,1054.5,1088.35,1088.35,5842.0,54331.82,3646500.0,2057850.0,25-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,25-Mar-2021,0.0,XX,1080.65,1110.0,1080.65,1089.4,1089.4,12.0,112.18,23800.0,1700.0,25-Jan-2021,,,N,,,,,
FUTSTK,LUPIN,28-Jan-2021,0.0,XX,1086.05,1093.45,1061.8,1075.65,1075.65,6411.0,58718.8,1765450.0,-3268250.0,27-Jan-2021,,,N,,,,,
