FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,M&M,28-Jan-2021,0.0,XX,729.4,748.3,724.7,736.45,736.45,7484.0,77618.2,11764200.0,887600.0,01-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Feb-2021,0.0,XX,729.15,750.3,729.15,738.8,738.8,62.0,644.36,63000.0,18200.0,01-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Mar-2021,0.0,XX,0.0,0.0,0.0,726.75,739.55,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,M&M,28-Jan-2021,0.0,XX,740.0,752.0,730.1,750.85,750.85,4891.0,50772.17,11775400.0,11200.0,04-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Feb-2021,0.0,XX,745.45,754.3,733.4,753.45,753.45,110.0,1147.5,99400.0,36400.0,04-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Mar-2021,0.0,XX,742.35,750.85,740.0,750.85,756.1,4.0,41.64,2800.0,2800.0,04-Jan-2021,,,N,,,,,
FUTSTK,M&M,28-Jan-2021,0.0,XX,749.85,749.85,732.3,741.8,741.8,3604.0,37289.07,11739000.0,-36400.0,05-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Feb-2021,0.0,XX,748.85,748.85,736.0,743.95,743.95,90.0,934.8,135800.0,36400.0,05-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Mar-2021,0.0,XX,0.0,0.0,0.0,750.85,746.9,0.0,0.0,2800.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,M&M,28-Jan-2021,0.0,XX,744.55,747.8,732.4,739.0,739.0,3764.0,39040.26,11415600.0,-323400.0,06-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Feb-2021,0.0,XX,746.0,749.35,736.0,741.35,741.35,57.0,592.77,152600.0,16800.0,06-Jan-2021,,,N,,,,,
FUTSTK,M&M,25-Mar-2021,0.0,XX,745.85,751.2,743.45,743.45,742.8,7.0,73.21,9800.0,7000.0,06-Jan-2021,,,N,,,,,
