FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,166.55,169.1,166.2,168.15,168.15,1088.0,10961.6,17190000.0,270000.0,01-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,167.0,168.9,166.85,168.2,168.2,24.0,242.02,276000.0,84000.0,01-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,167.5,169.2,167.5,169.0,169.0,3.0,30.34,18000.0,18000.0,01-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,169.75,173.25,169.05,172.45,172.45,1946.0,20039.07,17052000.0,-138000.0,04-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,169.2,173.55,169.2,172.7,172.7,35.0,360.7,294000.0,18000.0,04-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,170.55,172.8,170.55,172.8,173.65,6.0,62.01,18000.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,171.65,174.75,170.45,174.3,174.3,1903.0,19764.16,17364000.0,312000.0,05-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,173.6,175.0,171.55,174.85,174.85,30.0,311.55,306000.0,12000.0,05-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,173.0,173.0,173.0,173.0,175.35,2.0,20.76,24000.0,6000.0,05-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,175.25,176.1,171.6,174.75,174.75,1880.0,19704.24,16800000.0,-564000.0,06-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,175.1,176.0,173.0,175.2,175.2,21.0,220.06,306000.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,175.75,175.75,175.75,175.75,175.55,1.0,10.54,24000.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,175.0,178.65,173.55,177.6,177.6,2056.0,21781.07,17766000.0,966000.0,07-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,176.35,178.85,174.0,177.8,177.8,36.0,381.12,306000.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,178.5,178.5,178.5,178.5,178.35,1.0,10.71,18000.0,-6000.0,07-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,178.1,178.45,174.35,174.95,174.95,1373.0,14476.2,18522000.0,756000.0,08-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,177.65,177.7,174.75,174.9,174.9,33.0,348.2,330000.0,24000.0,08-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,178.1,178.1,175.3,175.3,175.8,2.0,21.2,24000.0,6000.0,08-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,174.8,174.8,170.6,173.45,173.45,1507.0,15593.58,17982000.0,-540000.0,11-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,174.55,174.55,171.0,173.9,173.9,48.0,497.28,402000.0,72000.0,11-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,171.05,171.05,171.05,171.05,174.4,1.0,10.26,18000.0,-6000.0,11-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,172.4,176.8,171.6,174.15,174.15,1180.0,12385.74,17964000.0,-18000.0,12-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,172.3,176.2,172.3,174.15,174.15,30.0,314.73,450000.0,48000.0,12-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,172.55,172.55,172.55,172.55,174.75,2.0,20.7,24000.0,6000.0,12-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,175.25,176.6,167.45,171.9,171.9,1815.0,18789.52,17676000.0,-288000.0,13-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,175.45,175.45,167.9,172.25,172.25,46.0,474.66,558000.0,108000.0,13-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,175.75,175.9,170.55,172.5,172.5,5.0,52.0,30000.0,6000.0,13-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,170.3,174.35,169.85,172.1,172.1,1573.0,16267.62,17838000.0,162000.0,14-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,170.5,174.2,170.1,172.35,172.35,46.0,476.76,606000.0,48000.0,14-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,171.0,174.05,171.0,174.05,172.6,2.0,20.7,30000.0,0.0,14-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,171.6,173.1,167.55,169.6,169.6,2711.0,27717.86,17538000.0,-300000.0,15-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,173.5,173.5,167.9,169.75,169.75,107.0,1093.18,804000.0,198000.0,15-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,171.0,171.35,170.35,170.35,170.35,4.0,41.01,42000.0,12000.0,15-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,169.55,170.15,161.3,162.2,162.2,2766.0,27270.62,17082000.0,-456000.0,18-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Feb-2021,0.0,XX,168.6,168.9,161.6,162.45,162.45,426.0,4207.03,2250000.0,1446000.0,18-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,25-Mar-2021,0.0,XX,166.15,166.15,162.4,162.45,162.45,5.0,49.11,60000.0,18000.0,18-Jan-2021,,,N,,,,,
FUTSTK,MANAPPURAM,28-Jan-2021,0.0,XX,163.1,167.7,163.1,167.1,167.1,1703.0,16951.68,17094000.0,12000.0,19-Jan-2021,,,N,,,,,
