FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MANKIND,26-Jun-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,2461.8,
FUTSTK,MANKIND,31-Jul-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,2461.8,
FUTSTK,MANKIND,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,2461.8,
FUTSTK,MANKIND,26-Jun-2025,,XX,N,2490.2,2564.4,2459.4,2473.3,2470.0,2473.9,2473.3,1725.0,977105520.0,179325.0,179325.0,225.0,30-May-2025,,2467.8,
FUTSTK,MANKIND,31-Jul-2025,,XX,N,2495.0,2495.0,2469.8,2478.5,2484.4,2490.1,2478.5,8.0,4467510.0,1125.0,1125.0,225.0,30-May-2025,,2467.8,
FUTSTK,MANKIND,28-Aug-2025,,XX,N,2525.0,2525.0,2515.0,2520.8,2520.8,2502.8,2520.8,4.0,2269305.0,900.0,900.0,225.0,30-May-2025,,2467.8,
FUTSTK,MANKIND,26-Jun-2025,,XX,N,2436.0,2482.0,2416.6,2428.8,2417.1,2473.3,2428.8,706.0,389719935.0,244125.0,64800.0,225.0,02-Jun-2025,,2414.3,
FUTSTK,MANKIND,31-Jul-2025,,XX,N,2468.0,2487.1,2429.7,2438.4,2429.7,2478.5,2438.4,12.0,6662182.5,3150.0,2025.0,225.0,02-Jun-2025,,2414.3,
FUTSTK,MANKIND,28-Aug-2025,,XX,N,2445.0,2445.0,2445.0,2445.0,2445.0,2520.8,2445.0,1.0,550125.0,1125.0,225.0,225.0,02-Jun-2025,,2414.3,
FUTSTK,MANKIND,26-Jun-2025,,XX,N,2438.0,2441.3,2354.3,2363.3,2365.0,2428.8,2363.3,1052.0,563620545.0,326925.0,82800.0,225.0,03-Jun-2025,,2352.4,
FUTSTK,MANKIND,31-Jul-2025,,XX,N,2422.0,2425.1,2370.0,2375.9,2379.3,2438.4,2375.9,21.0,11302447.5,5400.0,2250.0,225.0,03-Jun-2025,,2352.4,
FUTSTK,MANKIND,28-Aug-2025,,XX,N,2402.5,2402.5,2380.9,2380.9,2380.9,2445.0,2380.9,4.0,2150415.0,1575.0,450.0,225.0,03-Jun-2025,,2352.4,
FUTSTK,MANKIND,26-Jun-2025,,XX,N,2390.0,2390.0,2341.0,2359.0,2357.5,2363.3,2359.0,743.0,394514550.0,361800.0,34875.0,225.0,04-Jun-2025,,2345.9,
FUTSTK,MANKIND,31-Jul-2025,,XX,N,2391.4,2391.4,2356.0,2372.1,2372.1,2375.9,2372.1,11.0,5864107.5,5625.0,225.0,225.0,04-Jun-2025,,2345.9,
FUTSTK,MANKIND,28-Aug-2025,,XX,N,2377.0,2378.8,2375.1,2375.1,2375.1,2380.9,2375.1,3.0,1604452.5,2250.0,675.0,225.0,04-Jun-2025,,2345.9,
