FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MARUTI,28-Jan-2021,0.0,XX,7670.55,7778.9,7670.55,7708.45,7708.45,8437.0,65193.53,2370500.0,4100.0,01-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Feb-2021,0.0,XX,7724.0,7800.0,7714.75,7740.35,7740.35,85.0,659.37,19000.0,-300.0,01-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Mar-2021,0.0,XX,7770.0,7788.0,7765.0,7765.0,7765.0,6.0,46.64,600.0,600.0,01-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,28-Jan-2021,0.0,XX,7750.0,7794.0,7658.25,7718.15,7718.15,6173.0,47648.98,2398900.0,28400.0,04-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Feb-2021,0.0,XX,7794.9,7794.9,7696.35,7747.7,7747.7,124.0,959.96,22200.0,3200.0,04-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Mar-2021,0.0,XX,7765.0,7775.0,7740.0,7775.0,7774.3,3.0,23.28,800.0,200.0,04-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,28-Jan-2021,0.0,XX,7670.15,7689.4,7601.3,7670.35,7670.35,5427.0,41520.26,2415800.0,16900.0,05-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Feb-2021,0.0,XX,7688.4,7715.0,7637.6,7699.35,7699.35,102.0,783.54,25400.0,3200.0,05-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,25-Mar-2021,0.0,XX,7691.0,7722.05,7673.4,7722.05,7722.05,3.0,23.08,1100.0,300.0,05-Jan-2021,,,N,,,,,
FUTSTK,MARUTI,28-Jan-2021,0.0,XX,7663.45,7762.0,7570.0,7656.15,7656.15,10051.0,77177.79,2430600.0,14800.0,06-Jan-2021,,,N,,,,,
