FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MCX,30-Sep-2021,0.0,XX,1504.4,1533.0,1492.0,1498.3,1498.3,1258.0,6684.67,270550.0,270550.0,27-Aug-2021,,,N,,,,,
FUTSTK,MCX,28-Oct-2021,0.0,XX,1508.0,1539.35,1502.05,1505.95,1505.95,14.0,74.48,4200.0,4200.0,27-Aug-2021,,,N,,,,,
FUTSTK,MCX,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1512.9,1505.3,0.0,0.0,0.0,0.0,27-Aug-2021,,,N,,,,,
FUTSTK,MCX,30-Sep-2021,0.0,XX,1503.4,1570.2,1502.55,1527.1,1527.1,3445.0,18603.92,725900.0,455350.0,30-Aug-2021,,,N,,,,,
FUTSTK,MCX,28-Oct-2021,0.0,XX,1506.75,1569.25,1506.75,1535.3,1535.3,47.0,254.84,9450.0,5250.0,30-Aug-2021,,,N,,,,,
FUTSTK,MCX,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1512.9,1534.2,0.0,0.0,0.0,0.0,30-Aug-2021,,,N,,,,,
FUTSTK,MCX,30-Sep-2021,0.0,XX,1537.45,1558.0,1503.05,1521.5,1521.5,2131.0,11443.98,803600.0,77700.0,31-Aug-2021,,,N,,,,,
FUTSTK,MCX,28-Oct-2021,0.0,XX,1550.3,1559.0,1511.6,1527.2,1527.2,40.0,215.75,16450.0,7000.0,31-Aug-2021,,,N,,,,,
FUTSTK,MCX,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1512.9,1531.25,0.0,0.0,0.0,0.0,31-Aug-2021,,,N,,,,,
FUTSTK,MCX,30-Sep-2021,0.0,XX,1537.9,1537.9,1490.2,1507.45,1507.45,1383.0,7299.39,842450.0,38850.0,01-Sep-2021,,,N,,,,,
FUTSTK,MCX,28-Oct-2021,0.0,XX,1529.85,1530.9,1500.0,1511.85,1511.85,25.0,132.45,20650.0,4200.0,01-Sep-2021,,,N,,,,,
FUTSTK,MCX,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1512.9,1514.45,0.0,0.0,0.0,0.0,01-Sep-2021,,,N,,,,,
