FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MFSL,28-Jan-2021,0.0,XX,675.0,693.5,675.0,691.45,691.45,1242.0,11114.79,6895200.0,-283400.0,01-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Feb-2021,0.0,XX,692.0,694.35,692.0,694.35,695.45,4.0,36.07,16900.0,2600.0,01-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,680.8,697.7,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,MFSL,28-Jan-2021,0.0,XX,691.4,698.3,681.0,690.7,690.7,1722.0,15433.42,6650800.0,-244400.0,04-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Feb-2021,0.0,XX,692.0,692.0,692.0,692.0,693.5,1.0,8.99,16900.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,680.8,695.75,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,MFSL,28-Jan-2021,0.0,XX,683.95,707.4,681.0,702.2,702.2,2526.0,22875.26,6294600.0,-356200.0,05-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Feb-2021,0.0,XX,688.0,688.0,688.0,688.0,705.7,1.0,8.94,18200.0,1300.0,05-Jan-2021,,,N,,,,,
FUTSTK,MFSL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,680.8,708.0,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,MFSL,28-Jan-2021,0.0,XX,706.6,717.65,698.05,710.3,710.3,2773.0,25556.41,5993000.0,-301600.0,06-Jan-2021,,,N,,,,,
