FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,123.15,125.25,123.15,124.85,124.85,523.0,2280.25,30845500.0,-315000.0,09-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,124.55,125.55,124.25,125.2,125.2,32.0,179.79,1138500.0,-76500.0,09-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,123.75,124.8,123.75,124.8,124.8,2.0,11.18,130500.0,-9000.0,09-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,123.3,124.8,122.55,122.9,122.9,594.0,2573.68,30842000.0,-3500.0,10-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,124.4,125.0,123.0,123.25,123.25,20.0,111.62,1143000.0,4500.0,10-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,124.75,124.85,123.0,123.0,123.0,3.0,16.76,130500.0,0.0,10-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,120.95,123.0,119.05,120.6,120.6,1284.0,5423.26,30303000.0,-539000.0,13-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,120.45,122.9,118.6,121.0,121.0,85.0,462.96,1102500.0,-40500.0,13-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,120.75,120.8,120.05,120.3,121.9,7.0,37.98,144000.0,13500.0,13-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,119.75,122.5,119.1,120.25,120.25,1185.0,5010.68,29869000.0,-434000.0,14-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,120.1,122.6,119.75,120.7,120.7,88.0,480.15,1179000.0,76500.0,14-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,120.85,121.0,120.0,121.0,121.45,6.0,32.56,162000.0,18000.0,14-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,120.95,122.7,120.6,121.15,121.15,676.0,2878.65,29550500.0,-318500.0,15-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,121.3,122.7,121.15,121.6,121.6,28.0,153.72,1197000.0,18000.0,15-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,121.0,121.0,121.0,121.0,121.0,1.0,5.44,157500.0,-4500.0,15-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,122.1,123.3,116.9,117.35,117.35,1723.0,7213.55,29113000.0,-437500.0,16-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,124.2,124.2,117.5,117.85,117.85,130.0,698.56,1390500.0,193500.0,16-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,122.25,122.25,117.0,117.0,118.55,4.0,21.41,157500.0,0.0,16-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,117.05,118.15,114.75,116.15,116.15,1760.0,7173.49,28791000.0,-322000.0,17-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,117.55,118.25,115.0,116.45,116.45,128.0,672.59,1521000.0,130500.0,17-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,115.5,117.0,115.5,116.35,116.35,7.0,36.62,157500.0,0.0,17-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,117.1,117.7,111.95,113.1,113.1,2150.0,8602.85,29106000.0,315000.0,20-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,116.95,118.0,112.45,113.6,113.6,143.0,741.15,1687500.0,166500.0,20-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,115.85,115.9,111.0,114.0,114.0,8.0,41.06,180000.0,22500.0,20-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,114.1,120.35,114.1,119.4,119.4,2352.0,9725.47,27933500.0,-1172500.0,21-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,114.75,120.5,114.7,119.6,119.6,271.0,1445.79,1984500.0,297000.0,21-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,116.05,120.3,116.05,119.35,119.35,13.0,69.14,202500.0,22500.0,21-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,119.0,119.0,114.45,115.6,115.6,1884.0,7655.57,28679000.0,745500.0,22-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,28-Jul-2022,0.0,XX,118.55,119.0,114.9,115.85,115.85,359.0,1876.06,2911500.0,927000.0,22-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,25-Aug-2022,0.0,XX,115.75,116.5,115.0,115.95,115.95,21.0,109.36,274500.0,72000.0,22-Jun-2022,,,N,,,,,
FUTSTK,MOTHERSON,30-Jun-2022,0.0,XX,116.65,120.1,116.05,119.7,119.7,1661.0,6890.39,27909000.0,-770000.0,23-Jun-2022,,,N,,,,,
