FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1649.8,1676.9,1607.05,1665.35,1665.35,53.0,284.33,9100.0,9100.0,26-Feb-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,0.0,0.0,0.0,1662.45,1658.85,0.0,0.0,0.0,0.0,26-Feb-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1667.25,1664.25,0.0,0.0,0.0,0.0,26-Feb-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1665.35,1673.95,1630.6,1652.65,1652.65,106.0,568.88,17225.0,8125.0,01-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,0.0,0.0,0.0,1662.45,1648.95,0.0,0.0,0.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1667.25,1653.7,0.0,0.0,0.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1642.65,1726.95,1628.75,1705.3,1705.3,844.0,4604.08,97175.0,79950.0,02-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1653.5,1680.0,1653.5,1680.0,1698.0,3.0,16.26,325.0,325.0,02-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1667.25,1702.85,0.0,0.0,0.0,0.0,02-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1721.05,1759.85,1689.8,1708.0,1708.0,853.0,4760.96,156000.0,58825.0,03-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1724.1,1740.8,1702.45,1702.45,1706.0,8.0,44.89,1950.0,1625.0,03-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1667.25,1710.85,0.0,0.0,0.0,0.0,03-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1691.05,1726.0,1683.25,1694.25,1694.25,621.0,3448.02,181675.0,25675.0,04-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1706.0,1718.8,1706.0,1718.8,1697.1,2.0,11.13,2275.0,325.0,04-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,1737.95,1737.95,1737.95,1737.95,1701.95,1.0,5.64,325.0,325.0,04-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1690.1,1690.1,1630.25,1639.55,1639.55,420.0,2247.05,183300.0,1625.0,05-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1640.0,1654.95,1640.0,1654.95,1654.95,3.0,16.03,3250.0,975.0,05-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1737.95,1648.55,0.0,0.0,325.0,0.0,05-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1655.05,1657.0,1603.0,1613.85,1613.85,494.0,2624.97,186875.0,3575.0,08-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1632.0,1632.0,1632.0,1632.0,1632.0,1.0,5.3,3250.0,0.0,08-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,1652.0,1652.0,1652.0,1652.0,1625.4,2.0,10.73,975.0,650.0,08-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1613.8,1613.85,1580.55,1603.15,1603.15,397.0,2059.4,198575.0,11700.0,09-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,29-Apr-2021,0.0,XX,1608.0,1608.0,1608.0,1608.0,1608.0,1.0,5.22,3575.0,325.0,09-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,27-May-2021,0.0,XX,0.0,0.0,0.0,1652.0,1605.9,0.0,0.0,975.0,0.0,09-Mar-2021,,,N,,,,,
FUTSTK,MPHASIS,25-Mar-2021,0.0,XX,1605.0,1684.55,1605.0,1656.25,1656.25,1012.0,5440.92,235300.0,36725.0,10-Mar-2021,,,N,,,,,
