FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,4776.8,4813.9,4770.6,4778.5,4778.5,416.0,4976.74,701500.0,17750.0,01-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,4806.95,4809.55,4795.0,4801.0,4801.0,11.0,132.11,6000.0,2000.0,01-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,4800.8,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,4799.95,4858.0,4750.25,4848.1,4848.1,905.0,10911.8,689750.0,-11750.0,04-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,4850.0,4867.55,4850.0,4867.55,4867.55,2.0,24.29,6250.0,250.0,04-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,4878.35,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,4887.95,5549.75,4829.2,5503.95,5503.95,7398.0,97446.83,768750.0,79000.0,05-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,4942.0,5575.1,4942.0,5522.0,5522.0,86.0,1141.71,13750.0,7500.0,05-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5545.35,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5510.0,5877.15,5210.0,5290.35,5290.35,10878.0,150159.48,890000.0,121250.0,06-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5520.0,5863.8,5246.5,5306.75,5306.75,139.0,1933.73,16750.0,3000.0,06-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5307.75,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5384.45,5429.95,5260.0,5330.55,5330.55,1893.0,25273.47,869250.0,-20750.0,07-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5418.0,5418.05,5323.25,5351.15,5351.15,33.0,441.95,16250.0,-500.0,07-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5359.1,0.0,0.0,0.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5376.8,5460.25,5310.1,5432.75,5432.75,1611.0,21738.79,861250.0,-8000.0,08-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5360.2,5466.3,5360.15,5445.7,5445.7,33.0,446.63,17500.0,1250.0,08-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5460.45,0.0,0.0,0.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5461.9,5535.95,5355.8,5489.8,5489.8,1566.0,21386.17,828500.0,-32750.0,11-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5469.05,5540.0,5400.0,5519.1,5519.1,33.0,450.85,17750.0,250.0,11-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5525.6,0.0,0.0,0.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5480.0,5547.0,5364.15,5392.6,5392.6,973.0,13268.42,836500.0,8000.0,12-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5515.7,5528.15,5390.0,5413.25,5413.25,13.0,176.8,18250.0,500.0,12-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5414.95,0.0,0.0,0.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5440.0,5440.0,5200.0,5284.0,5284.0,1496.0,19852.51,830250.0,-6250.0,13-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5408.65,5408.65,5226.55,5320.0,5320.0,57.0,756.39,20500.0,2250.0,13-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Mar-2021,0.0,XX,0.0,0.0,0.0,4798.3,5302.85,0.0,0.0,0.0,0.0,13-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,28-Jan-2021,0.0,XX,5293.65,5326.65,5170.75,5204.55,5204.55,1005.0,13139.58,844750.0,14500.0,14-Jan-2021,,,N,,,,,
FUTSTK,NAUKRI,25-Feb-2021,0.0,XX,5220.25,5270.0,5200.0,5223.15,5223.15,31.0,405.61,21000.0,500.0,14-Jan-2021,,,N,,,,,
