FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NBCC,27-Jan-2022,0.0,XX,46.0,47.2,46.0,46.3,46.3,417.0,2329.98,3480000.0,3480000.0,31-Dec-2021,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,47.1,47.2,46.5,46.7,46.7,54.0,302.74,504000.0,504000.0,31-Dec-2021,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,0.0,0.0,0.0,46.55,46.5,0.0,0.0,0.0,0.0,31-Dec-2021,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,46.65,47.55,46.35,47.0,47.0,1007.0,5682.09,6912000.0,3432000.0,03-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,46.9,47.6,46.4,47.15,47.15,194.0,1097.25,792000.0,288000.0,03-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,47.7,47.7,47.7,47.7,47.2,1.0,5.72,12000.0,12000.0,03-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,47.15,47.25,45.95,46.15,46.15,432.0,2407.62,8664000.0,1752000.0,04-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,47.0,47.15,46.1,46.45,46.45,48.0,268.48,948000.0,156000.0,04-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,46.55,46.55,46.55,46.55,46.55,1.0,5.58,24000.0,12000.0,04-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,45.85,47.25,45.35,46.85,46.85,646.0,3616.33,11136000.0,2472000.0,05-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,45.65,47.15,45.65,47.05,47.05,22.0,123.34,1044000.0,96000.0,05-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,46.3,46.3,46.3,46.3,47.05,1.0,5.55,36000.0,12000.0,05-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,46.1,50.7,45.8,50.5,50.5,3470.0,20635.94,23148000.0,12012000.0,06-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,46.25,50.75,46.15,50.6,50.6,145.0,866.58,1560000.0,516000.0,06-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,50.2,50.85,49.3,50.85,50.85,7.0,42.04,96000.0,60000.0,06-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,51.0,51.5,50.0,50.55,50.55,1905.0,11593.68,26868000.0,3720000.0,07-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,51.15,51.6,50.15,50.7,50.7,99.0,604.9,1824000.0,264000.0,07-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,51.2,51.6,50.4,50.4,50.75,9.0,54.96,144000.0,48000.0,07-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,50.8,51.9,50.4,51.15,51.15,1632.0,9997.11,30240000.0,3372000.0,10-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,51.3,52.0,50.65,51.25,51.25,113.0,694.08,2064000.0,240000.0,10-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,51.2,51.6,50.95,51.6,51.6,6.0,37.01,180000.0,36000.0,10-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,51.35,52.6,51.2,51.85,51.85,2215.0,13781.52,32436000.0,2196000.0,11-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,51.7,52.7,51.4,52.05,52.05,251.0,1565.65,3108000.0,1044000.0,11-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,52.3,52.85,51.7,52.15,52.15,39.0,244.64,360000.0,180000.0,11-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,52.4,52.4,51.1,52.0,52.0,998.0,6214.08,34152000.0,1716000.0,12-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,52.55,52.65,51.3,52.1,52.1,139.0,868.48,3636000.0,528000.0,12-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,52.6,52.6,51.6,52.2,52.2,21.0,131.44,444000.0,84000.0,12-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,51.7,52.25,51.2,51.9,51.9,726.0,4505.58,33936000.0,-216000.0,13-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,51.8,52.35,51.45,52.0,52.0,77.0,478.84,3684000.0,48000.0,13-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,51.8,52.2,51.8,51.85,52.15,5.0,31.14,480000.0,36000.0,13-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,51.4,53.85,51.4,53.6,53.6,2067.0,13124.35,36228000.0,2292000.0,14-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,51.85,54.05,51.85,53.85,53.85,176.0,1120.43,3960000.0,276000.0,14-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,52.0,54.2,52.0,54.0,54.0,26.0,166.12,456000.0,-24000.0,14-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,53.6,53.65,52.6,52.75,52.75,697.0,4430.33,36528000.0,300000.0,17-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,53.95,53.95,52.8,52.9,52.9,109.0,695.46,4404000.0,444000.0,17-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,54.1,54.1,53.25,53.25,53.05,9.0,58.0,504000.0,48000.0,17-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,53.0,53.0,49.55,49.95,49.95,1090.0,6703.71,33708000.0,-2820000.0,18-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,53.15,53.15,49.75,50.1,50.1,187.0,1157.16,4884000.0,480000.0,18-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,52.55,52.7,50.15,50.4,50.4,14.0,86.79,624000.0,120000.0,18-Jan-2022,,,N,,,,,
FUTSTK,NBCC,27-Jan-2022,0.0,XX,49.45,50.8,49.2,50.65,50.65,578.0,3483.22,33072000.0,-636000.0,19-Jan-2022,,,N,,,,,
FUTSTK,NBCC,24-Feb-2022,0.0,XX,49.7,51.0,49.4,50.9,50.9,172.0,1041.19,5712000.0,828000.0,19-Jan-2022,,,N,,,,,
FUTSTK,NBCC,31-Mar-2022,0.0,XX,51.0,51.1,49.95,50.95,50.95,15.0,91.17,624000.0,0.0,19-Jan-2022,,,N,,,,,
