FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18450.0,18577.9,18375.65,18516.5,18516.5,968.0,8951.5,279650.0,-4450.0,01-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18500.0,18600.0,18500.0,18547.75,18547.75,12.0,111.2,2750.0,150.0,01-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,18546.25,18629.85,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18664.95,18700.05,18436.95,18474.2,18474.2,1376.0,12748.13,284950.0,5300.0,04-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18739.95,18739.95,18506.0,18506.0,18489.95,15.0,139.59,3300.0,550.0,04-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18610.0,18610.0,18575.0,18575.0,18550.35,3.0,27.89,150.0,150.0,04-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18448.95,18685.5,18354.25,18624.9,18624.9,1550.0,14372.96,284550.0,-400.0,05-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18450.0,18700.0,18450.0,18687.5,18687.5,15.0,139.5,3250.0,-50.0,05-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18550.35,18650.4,18550.35,18650.4,18730.45,4.0,37.19,300.0,150.0,05-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18550.05,18686.4,18461.6,18545.95,18545.95,1321.0,12249.88,282500.0,-2050.0,06-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18600.0,18666.75,18535.75,18584.25,18584.25,12.0,111.57,3350.0,100.0,06-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,18650.4,18684.0,0.0,0.0,300.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18594.5,18594.5,18181.0,18218.4,18218.4,2161.0,19798.39,294650.0,12150.0,07-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18650.0,18650.0,18263.15,18301.1,18301.1,40.0,367.0,4500.0,1150.0,07-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18550.0,18550.0,18396.25,18396.25,18290.85,4.0,36.89,350.0,50.0,07-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18331.8,18386.0,18072.35,18361.85,18361.85,2045.0,18643.23,289350.0,-5300.0,08-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18399.3,18449.35,18148.1,18425.4,18425.4,66.0,603.44,4750.0,250.0,08-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18300.85,18300.85,18215.0,18225.0,18468.65,8.0,72.96,650.0,300.0,08-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18366.05,18615.0,18259.95,18411.85,18411.85,2614.0,24075.12,292150.0,2800.0,11-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18490.0,18628.1,18322.0,18486.75,18486.75,85.0,784.41,5200.0,450.0,11-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18653.1,18653.15,18468.65,18525.0,18525.0,13.0,120.6,450.0,-200.0,11-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18393.95,18459.3,18045.1,18092.15,18092.15,2538.0,23092.79,333200.0,41050.0,12-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Feb-2021,0.0,XX,18492.6,18492.85,18110.15,18162.15,18162.15,112.0,1022.02,7050.0,1850.0,12-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,25-Mar-2021,0.0,XX,18400.0,18400.0,18250.0,18252.5,18252.5,7.0,64.1,800.0,350.0,12-Jan-2021,,,N,,,,,
FUTSTK,NESTLEIND,28-Jan-2021,0.0,XX,18106.5,18299.0,18000.2,18100.8,18100.8,2497.0,22654.6,326600.0,-6600.0,13-Jan-2021,,,N,,,,,
