FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14002.1,14073.95,13997.05,14053.85,14053.85,60830.0,640917.25,12168975.0,368325.0,01-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14043.0,14103.0,14036.2,14086.5,14086.5,2537.0,26787.72,953775.0,27300.0,01-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14069.0,14127.8,14069.0,14111.65,14111.65,763.0,8070.16,32100.0,32100.0,01-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14100.0,14179.45,13970.05,14165.3,14165.3,134661.0,1424378.51,12682725.0,513750.0,04-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14156.55,14210.65,14004.9,14197.95,14197.95,4061.0,43071.81,982950.0,29175.0,04-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14191.0,14229.0,14039.4,14217.15,14217.15,826.0,8775.67,50400.0,18300.0,04-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14110.2,14227.75,14077.0,14217.95,14217.95,130458.0,1384755.19,13181400.0,498675.0,05-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14146.05,14261.6,14111.35,14251.9,14251.9,4179.0,44487.59,1010250.0,27300.0,05-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14137.6,14276.6,14135.55,14268.4,14268.4,816.0,8695.45,63075.0,12675.0,05-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14249.95,14252.55,14078.1,14189.45,14189.45,157161.0,1672475.68,12368925.0,-812475.0,06-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14290.55,14290.6,14115.0,14223.35,14223.35,4187.0,44671.07,995100.0,-15150.0,06-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14268.8,14303.0,14138.2,14241.2,14241.2,794.0,8482.15,67875.0,4800.0,06-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14200.1,14283.0,14175.0,14191.1,14191.1,100360.0,1071012.2,12308100.0,-60825.0,07-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14255.15,14312.35,14212.2,14227.0,14227.0,3034.0,32463.11,986850.0,-8250.0,07-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14315.35,14325.0,14230.05,14246.75,14246.75,506.0,5421.55,76200.0,8325.0,07-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14281.0,14379.3,14249.0,14370.9,14370.9,140661.0,1510644.17,13283400.0,975300.0,08-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14302.3,14415.0,14279.45,14401.6,14401.6,5515.0,59357.51,1103475.0,116625.0,08-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14359.85,14425.0,14290.25,14417.8,14417.8,1066.0,11483.56,112125.0,35925.0,08-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14453.0,14498.65,14400.95,14489.25,14489.25,142339.0,1543484.68,13851900.0,568500.0,11-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14456.4,14532.0,14436.5,14524.85,14524.85,5167.0,56158.17,1110300.0,6825.0,11-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14481.0,14556.45,14451.5,14547.05,14547.05,1938.0,21100.29,153000.0,40875.0,11-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14478.0,14624.0,14454.45,14597.95,14597.95,117473.0,1281399.77,13891425.0,39525.0,12-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14504.95,14654.9,14490.05,14629.3,14629.3,5337.0,58387.52,1134150.0,23850.0,12-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14545.0,14669.0,14506.6,14651.2,14651.2,1323.0,14499.24,179475.0,26475.0,12-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14653.85,14660.0,14476.0,14606.15,14606.15,170305.0,1863401.67,13220925.0,-670500.0,13-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14696.15,14696.15,14513.0,14638.65,14638.65,5540.0,60774.53,1164525.0,30375.0,13-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14680.0,14709.9,14537.15,14664.85,14664.85,1866.0,20515.1,215175.0,35700.0,13-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14580.0,14643.75,14504.6,14628.1,14628.1,108912.0,1191618.0,13226850.0,5925.0,14-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14618.8,14674.8,14539.0,14660.45,14660.45,4046.0,44368.73,1206075.0,41550.0,14-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14664.85,14697.5,14560.0,14683.1,14683.1,700.0,7687.68,219150.0,3975.0,14-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14605.0,14623.55,14375.1,14458.5,14458.5,192307.0,2090565.52,12800925.0,-425925.0,15-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14629.6,14652.5,14413.6,14493.3,14493.3,9342.0,101811.29,1235775.0,29700.0,15-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14638.2,14679.7,14434.3,14522.5,14522.5,2162.0,23592.01,235575.0,16425.0,15-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14458.5,14458.95,14250.0,14287.25,14287.25,176050.0,1893475.08,12187425.0,-613500.0,18-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14473.95,14479.95,14281.65,14316.1,14316.1,11120.0,119868.17,1405200.0,169425.0,18-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14463.7,14500.1,14306.15,14342.95,14342.95,2293.0,24755.97,246975.0,11400.0,18-Jan-2021,,,N,,,,,
FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14380.5,14586.3,14364.25,14570.0,14570.0,146535.0,1591796.59,12018975.0,-168450.0,19-Jan-2021,,,N,,,,,
