FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,NMDC,28-Jan-2021,0.0,XX,115.2,117.65,115.0,116.95,116.95,1643.0,12823.03,35731100.0,1869300.0,01-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Feb-2021,0.0,XX,115.7,117.3,115.5,116.85,116.85,31.0,241.91,475700.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Mar-2021,0.0,XX,0.0,0.0,0.0,115.45,117.5,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,NMDC,28-Jan-2021,0.0,XX,118.35,123.9,118.25,123.25,123.25,4444.0,36283.83,38873400.0,3142300.0,04-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Feb-2021,0.0,XX,119.5,123.75,119.5,123.15,123.15,108.0,883.25,757100.0,281400.0,04-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Mar-2021,0.0,XX,121.7,122.95,121.7,122.95,122.95,10.0,82.29,67000.0,67000.0,04-Jan-2021,,,N,,,,
FUTSTK,NMDC,28-Jan-2021,0.0,XX,120.0,123.15,120.0,121.6,121.6,2263.0,18397.74,39195000.0,321600.0,05-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Feb-2021,0.0,XX,121.75,121.75,119.9,121.0,121.0,55.0,444.82,844200.0,87100.0,05-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Mar-2021,0.0,XX,121.55,121.55,120.5,120.75,120.75,10.0,81.02,107200.0,40200.0,05-Jan-2021,,,N,,,,
FUTSTK,NMDC,28-Jan-2021,0.0,XX,122.75,126.95,121.7,123.95,123.95,4718.0,39377.42,40394300.0,1199300.0,06-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Feb-2021,0.0,XX,123.0,125.9,121.55,123.15,123.15,92.0,764.37,924600.0,80400.0,06-Jan-2021,,,N,,,,
FUTSTK,NMDC,25-Mar-2021,0.0,XX,123.65,124.2,122.05,122.2,124.35,7.0,57.75,107200.0,0.0,06-Jan-2021,,,N,,,,
