FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NYKAA,26-Dec-2024,,XX,N,172.0,175.93,166.01,171.34,171.97,174.96,171.34,2291.0,1152730495.0,4265700.0,4265700.0,2950.0,29-Nov-2024,,172.05,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,172.45,172.45,170.0,171.75,171.4,176.22,171.75,8.0,4040674.0,11800.0,11800.0,2950.0,29-Nov-2024,,172.05,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,176.43,176.43,171.0,172.45,172.45,177.21,172.45,4.0,2053878.5,11800.0,11800.0,2950.0,29-Nov-2024,,172.05,
FUTSTK,NYKAA,26-Dec-2024,,XX,N,171.34,172.35,167.69,171.37,171.47,171.34,171.37,902.0,452247419.5,5864600.0,1598900.0,2950.0,02-Dec-2024,,171.2,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,171.58,171.63,167.6,169.7,169.7,171.75,169.7,41.0,20495656.0,103250.0,91450.0,2950.0,02-Dec-2024,,171.2,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,172.35,172.35,169.64,169.64,169.64,172.45,169.64,10.0,5044057.5,26550.0,14750.0,2950.0,02-Dec-2024,,171.2,
FUTSTK,NYKAA,26-Dec-2024,,XX,N,168.91,175.92,168.0,172.38,172.84,171.37,172.38,1026.0,521643190.0,6950200.0,1085600.0,2950.0,03-Dec-2024,,171.9,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,169.69,174.94,169.4,172.46,172.7,169.7,172.46,63.0,31975345.0,138650.0,35400.0,2950.0,03-Dec-2024,,171.9,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,169.83,172.55,169.55,172.14,172.14,169.64,172.14,5.0,2518385.5,32450.0,5900.0,2950.0,03-Dec-2024,,171.9,
FUTSTK,NYKAA,26-Dec-2024,,XX,N,170.53,176.43,167.07,168.23,169.0,172.38,168.23,2374.0,1191573646.5,9614050.0,2663850.0,2950.0,04-Dec-2024,,169.1,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,172.62,176.0,167.3,168.22,168.6,172.46,168.22,87.0,43644247.0,224200.0,85550.0,2950.0,04-Dec-2024,,169.1,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,172.76,172.76,167.49,167.49,167.49,172.14,167.49,18.0,9003547.5,61950.0,29500.0,2950.0,04-Dec-2024,,169.1,
FUTSTK,NYKAA,26-Dec-2024,,XX,N,170.48,170.48,166.52,168.2,168.32,168.23,168.2,907.0,449935947.0,10490200.0,876150.0,2950.0,05-Dec-2024,,167.45,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,166.6,168.26,166.6,168.09,168.02,168.22,168.09,31.0,15348142.0,256650.0,32450.0,2950.0,05-Dec-2024,,167.45,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,166.59,168.51,166.59,168.51,168.51,167.49,168.51,2.0,988545.0,64900.0,2950.0,2950.0,05-Dec-2024,,167.45,
FUTSTK,NYKAA,26-Dec-2024,,XX,N,168.45,169.0,163.06,167.08,167.36,168.2,167.08,4780.0,2327740393.0,15399000.0,4908800.0,2950.0,06-Dec-2024,,166.4,
FUTSTK,NYKAA,30-Jan-2025,,XX,N,167.4,167.47,162.42,166.42,166.6,168.09,166.42,222.0,107595114.0,418900.0,162250.0,2950.0,06-Dec-2024,,166.4,
FUTSTK,NYKAA,27-Feb-2025,,XX,N,165.0,166.0,162.54,165.46,165.46,168.51,165.46,13.0,6289665.5,82600.0,17700.0,2950.0,06-Dec-2024,,166.4,
