FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,965.7,995.0,912.8,919.85,919.85,1924.0,12878.8,477400.0,477400.0,01-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,988.9,988.9,920.0,920.9,920.9,5.0,32.98,2100.0,2100.0,01-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,926.1,926.1,926.1,926.1,926.1,1.0,6.48,700.0,700.0,01-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,928.35,945.5,910.05,922.8,922.8,1453.0,9487.08,789600.0,312200.0,04-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,926.25,949.55,921.75,925.2,925.2,99.0,652.65,5600.0,3500.0,04-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,951.65,951.65,933.6,937.85,926.0,3.0,19.76,1400.0,700.0,04-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,919.9,927.25,886.7,891.15,891.15,958.0,6045.79,987000.0,197400.0,05-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,922.0,924.75,890.1,894.25,894.25,30.0,190.15,16100.0,10500.0,05-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,926.0,926.0,895.0,895.0,894.8,2.0,12.74,2100.0,700.0,05-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,893.95,896.55,851.65,860.45,860.45,1046.0,6359.8,1127000.0,140000.0,06-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,898.7,898.7,857.85,860.45,860.45,32.0,195.52,24500.0,8400.0,06-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,878.95,878.95,863.65,863.65,865.45,5.0,30.6,4900.0,2800.0,06-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,872.05,956.1,872.05,941.85,941.85,4325.0,27947.77,1235500.0,108500.0,07-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,899.0,949.05,898.15,944.6,944.6,100.0,651.19,14700.0,-9800.0,07-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,917.95,950.0,917.0,941.3,945.75,6.0,39.32,3500.0,-1400.0,07-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,962.5,977.95,906.25,920.75,920.75,3212.0,20993.68,1390200.0,154700.0,08-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,976.55,976.55,915.0,924.6,924.6,83.0,543.65,30800.0,16100.0,08-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,926.55,933.65,921.45,931.05,925.9,7.0,45.4,7700.0,4200.0,08-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,920.75,1002.75,920.75,966.5,966.5,3717.0,25196.13,1423800.0,33600.0,11-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,930.0,1005.5,930.0,971.2,971.2,124.0,841.56,41300.0,10500.0,11-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,30-Dec-2021,0.0,XX,929.65,1000.4,929.65,1000.4,970.85,8.0,54.4,7000.0,-700.0,11-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,28-Oct-2021,0.0,XX,960.05,1008.9,940.05,981.4,981.4,3199.0,21925.29,1575700.0,151900.0,12-Oct-2021,,,N,,,,,
FUTSTK,OBEROIRLTY,25-Nov-2021,0.0,XX,955.8,1009.15,950.0,983.4,983.4,69.0,475.32,44800.0,3500.0,12-Oct-2021,,,N,,,,,
