FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4755.85,4949.4,4712.25,4788.55,4788.55,1159.0,6944.9,95375.0,95375.0,27-Aug-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4805.0,4850.0,4787.65,4799.9,4799.9,12.0,72.16,500.0,500.0,27-Aug-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4784.15,4808.5,0.0,0.0,0.0,0.0,27-Aug-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4805.15,4885.1,4722.05,4735.15,4735.15,978.0,5862.95,128375.0,33000.0,30-Aug-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4847.6,4847.6,4754.0,4760.9,4760.9,12.0,71.88,1375.0,875.0,30-Aug-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4784.15,4756.7,0.0,0.0,0.0,0.0,30-Aug-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4719.35,4781.9,4630.0,4710.6,4710.6,889.0,5230.12,146625.0,18250.0,31-Aug-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4681.0,4799.95,4650.0,4714.7,4714.7,13.0,76.63,2375.0,1000.0,31-Aug-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4784.15,4742.55,0.0,0.0,0.0,0.0,31-Aug-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4734.65,4753.9,4650.0,4673.05,4673.05,624.0,3665.95,173500.0,26875.0,01-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4767.3,4767.3,4670.0,4686.35,4686.35,13.0,76.53,2750.0,375.0,01-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4784.15,4694.9,0.0,0.0,0.0,0.0,01-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4685.0,4776.05,4671.15,4738.25,4738.25,1041.0,6159.96,202500.0,29000.0,02-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4702.35,4785.0,4702.35,4764.55,4764.55,11.0,65.3,3125.0,375.0,02-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4784.15,4759.3,0.0,0.0,0.0,0.0,02-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4747.7,4830.0,4704.9,4767.4,4767.4,1741.0,10377.87,262875.0,60375.0,03-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4758.95,4833.1,4758.95,4783.25,4776.25,11.0,65.97,3125.0,0.0,03-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4807.5,4807.5,4804.8,4804.8,4790.25,2.0,12.01,250.0,250.0,03-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4754.05,4871.8,4730.05,4842.4,4842.4,2338.0,14094.13,321125.0,58250.0,06-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4768.4,4883.05,4760.0,4861.75,4861.75,149.0,902.4,3375.0,250.0,06-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4804.8,4858.45,0.0,0.0,250.0,0.0,06-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4845.0,4890.15,4742.1,4755.45,4755.45,798.0,4793.11,324375.0,3250.0,07-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4850.05,4859.6,4760.05,4771.65,4771.65,18.0,108.08,4250.0,875.0,07-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4838.0,4838.0,4838.0,4838.0,4782.25,1.0,6.04,375.0,125.0,07-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4745.65,4811.1,4702.0,4735.2,4735.2,1232.0,7318.41,358250.0,33875.0,08-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4771.65,4815.95,4742.75,4753.35,4753.35,28.0,167.04,6625.0,2375.0,08-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4838.0,4749.75,0.0,0.0,375.0,0.0,08-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4730.7,4824.4,4716.0,4791.4,4791.4,1923.0,11488.81,455500.0,97250.0,09-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4800.0,4830.0,4780.0,4797.2,4797.2,88.0,527.43,13000.0,6375.0,09-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4838.0,4806.05,0.0,0.0,375.0,0.0,09-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4766.7,4920.0,4766.7,4874.1,4874.1,1591.0,9673.9,506875.0,51375.0,13-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4819.9,4930.0,4819.9,4892.8,4892.8,34.0,207.35,13750.0,750.0,13-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4838.0,4893.35,0.0,0.0,375.0,0.0,13-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4899.0,4912.4,4831.0,4837.35,4837.35,908.0,5522.19,487125.0,-19750.0,14-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4921.75,4921.75,4858.0,4861.85,4861.85,19.0,115.84,14000.0,250.0,14-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4882.5,4882.5,4882.5,4882.5,4882.5,1.0,6.1,500.0,125.0,14-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4850.0,4948.8,4832.2,4888.35,4888.35,1221.0,7462.87,492750.0,5625.0,15-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4857.85,4964.95,4857.85,4907.95,4907.95,36.0,221.09,15875.0,1875.0,15-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4882.5,4903.0,0.0,0.0,500.0,0.0,15-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4913.85,4925.0,4816.6,4823.0,4823.0,815.0,4950.25,517125.0,24375.0,16-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4920.0,4940.0,4840.05,4843.0,4843.0,47.0,286.36,18375.0,2500.0,16-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4882.5,4842.5,0.0,0.0,500.0,0.0,16-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4846.45,4851.0,4719.5,4789.45,4789.45,1237.0,7387.72,477500.0,-39625.0,17-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4845.0,4866.1,4742.6,4804.9,4804.9,646.0,3858.96,87375.0,69000.0,17-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4770.0,4772.0,4770.0,4772.0,4825.35,2.0,11.92,625.0,125.0,17-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4764.95,4823.95,4675.0,4688.7,4688.7,790.0,4677.53,462000.0,-15500.0,20-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4781.2,4834.45,4701.0,4706.15,4706.15,66.0,392.02,89750.0,2375.0,20-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4772.0,4727.25,0.0,0.0,625.0,0.0,20-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4698.45,4717.1,4606.4,4684.95,4684.95,483.0,2824.87,466125.0,4125.0,21-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4711.65,4731.2,4631.0,4697.35,4697.35,169.0,991.7,104625.0,14875.0,21-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4727.25,4727.25,4650.0,4650.0,4700.8,3.0,17.55,1000.0,375.0,21-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4711.15,4743.4,4636.3,4676.75,4676.75,840.0,4928.05,473375.0,7250.0,22-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4735.0,4753.7,4661.2,4691.85,4691.85,75.0,441.13,106000.0,1375.0,22-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,0.0,0.0,0.0,4650.0,4704.15,0.0,0.0,1000.0,0.0,22-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4631.0,4725.0,4631.0,4708.0,4708.0,687.0,4033.03,468625.0,-4750.0,23-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4666.05,4739.95,4666.05,4728.75,4728.75,345.0,2031.26,119625.0,13625.0,23-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4746.05,4746.05,4746.05,4746.05,4729.2,1.0,5.93,1125.0,125.0,23-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4738.75,4864.0,4673.8,4703.95,4703.95,2082.0,12412.77,449250.0,-19375.0,24-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4758.75,4884.55,4695.0,4724.1,4724.1,971.0,5803.1,157000.0,37375.0,24-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4824.65,4848.1,4824.65,4848.1,4741.0,3.0,18.13,1500.0,375.0,24-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4674.65,4703.35,4537.0,4582.55,4582.55,2661.0,15308.04,300875.0,-148375.0,27-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4735.0,4735.0,4556.0,4601.75,4601.75,2081.0,12016.13,331250.0,174250.0,27-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4620.0,4620.0,4615.0,4615.0,4615.0,2.0,11.54,1750.0,250.0,27-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4590.2,4622.0,4461.55,4585.65,4585.65,1354.0,7708.26,227500.0,-73375.0,28-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4607.0,4641.35,4488.3,4600.55,4600.55,1166.0,6661.56,399625.0,68375.0,28-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4575.0,4575.0,4540.0,4540.0,4606.3,3.0,17.07,2125.0,375.0,28-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4527.5,4608.0,4445.3,4554.9,4554.9,4220.0,23852.26,116625.0,-110875.0,29-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4570.05,4625.0,4466.0,4563.8,4563.8,5325.0,30194.57,634250.0,234625.0,29-Sep-2021,,,N,,,,,
FUTSTK,OFSS,25-Nov-2021,0.0,XX,4529.25,4632.65,4500.7,4631.75,4631.75,10.0,56.76,2875.0,750.0,29-Sep-2021,,,N,,,,,
FUTSTK,OFSS,30-Sep-2021,0.0,XX,4590.0,4650.0,4524.0,4554.9,4555.8,1591.0,9103.94,16875.0,-99750.0,30-Sep-2021,,,N,,,,,
FUTSTK,OFSS,28-Oct-2021,0.0,XX,4605.05,4674.2,4550.05,4583.55,4583.55,2777.0,15991.32,730750.0,96500.0,30-Sep-2021,,,N,,,,,
