FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,OIL,26-Dec-2024,,XX,N,503.4,504.45,488.5,492.85,491.1,507.55,492.85,1079.0,575392997.5,649300.0,649300.0,1075.0,29-Nov-2024,,490.6,
FUTSTK,OIL,30-Jan-2025,,XX,N,499.3,504.95,489.0,494.7,494.0,511.15,494.7,20.0,10664430.0,15050.0,15050.0,1075.0,29-Nov-2024,,490.6,
FUTSTK,OIL,27-Feb-2025,,XX,N,498.1,498.1,495.75,498.0,498.0,514.05,498.0,3.0,1603738.75,2150.0,2150.0,1075.0,29-Nov-2024,,490.6,
FUTSTK,OIL,26-Dec-2024,,XX,N,480.2,496.05,472.95,482.15,481.65,492.85,482.15,1899.0,991206276.25,1327625.0,678325.0,1075.0,02-Dec-2024,,479.35,
FUTSTK,OIL,30-Jan-2025,,XX,N,489.05,497.0,482.25,484.1,484.7,494.7,484.1,164.0,85780270.0,155875.0,140825.0,1075.0,02-Dec-2024,,479.35,
FUTSTK,OIL,27-Feb-2025,,XX,N,488.55,491.0,481.55,483.1,481.55,498.0,483.1,8.0,4172505.0,4300.0,2150.0,1075.0,02-Dec-2024,,479.35,
FUTSTK,OIL,26-Dec-2024,,XX,N,482.3,494.5,482.3,492.3,493.5,482.15,492.3,1125.0,590861387.5,1640450.0,312825.0,1075.0,03-Dec-2024,,490.3,
FUTSTK,OIL,30-Jan-2025,,XX,N,489.15,495.9,487.0,494.15,494.6,484.1,494.15,79.0,41625827.5,196725.0,40850.0,1075.0,03-Dec-2024,,490.3,
FUTSTK,OIL,27-Feb-2025,,XX,N,486.25,494.0,486.15,494.0,494.0,483.1,494.0,12.0,6300091.25,13975.0,9675.0,1075.0,03-Dec-2024,,490.3,
FUTSTK,OIL,26-Dec-2024,,XX,N,494.4,505.05,488.95,490.55,490.25,492.3,490.55,1404.0,748391780.0,1806000.0,165550.0,1075.0,04-Dec-2024,,489.1,
FUTSTK,OIL,30-Jan-2025,,XX,N,496.75,504.15,490.75,491.95,493.2,494.15,491.95,35.0,18652056.25,199950.0,3225.0,1075.0,04-Dec-2024,,489.1,
FUTSTK,OIL,27-Feb-2025,,XX,N,497.25,499.45,490.65,490.9,491.0,494.0,490.9,6.0,3191352.5,17200.0,3225.0,1075.0,04-Dec-2024,,489.1,
FUTSTK,OIL,26-Dec-2024,,XX,N,490.1,490.8,470.1,474.35,474.9,490.55,474.35,2464.0,1258795437.5,3013225.0,1207225.0,1075.0,05-Dec-2024,,473.75,
FUTSTK,OIL,30-Jan-2025,,XX,N,490.0,490.0,471.85,476.45,476.4,491.95,476.45,108.0,55446242.5,240800.0,40850.0,1075.0,05-Dec-2024,,473.75,
FUTSTK,OIL,27-Feb-2025,,XX,N,481.65,482.0,473.0,476.4,476.8,490.9,476.4,53.0,27127517.5,61275.0,44075.0,1075.0,05-Dec-2024,,473.75,
FUTSTK,OIL,26-Dec-2024,,XX,N,475.05,479.6,475.0,477.1,476.9,474.35,477.1,973.0,499117770.0,2962700.0,-50525.0,1075.0,06-Dec-2024,,474.9,
FUTSTK,OIL,30-Jan-2025,,XX,N,479.3,481.95,477.0,478.9,478.9,476.45,478.9,66.0,33999240.0,245100.0,4300.0,1075.0,06-Dec-2024,,474.9,
FUTSTK,OIL,27-Feb-2025,,XX,N,478.0,480.1,478.0,478.3,478.4,476.4,478.3,7.0,3602593.75,65575.0,4300.0,1075.0,06-Dec-2024,,474.9,
FUTSTK,OIL,26-Dec-2024,,XX,N,475.75,477.9,466.5,468.95,470.35,477.1,468.95,1211.0,612369665.0,3372275.0,409575.0,1075.0,09-Dec-2024,,467.85,
FUTSTK,OIL,30-Jan-2025,,XX,N,479.0,479.0,469.35,471.75,472.95,478.9,471.75,32.0,16292162.5,266600.0,21500.0,1075.0,09-Dec-2024,,467.85,
FUTSTK,OIL,27-Feb-2025,,XX,N,473.7,473.7,469.0,470.85,470.85,478.3,470.85,10.0,5060025.0,73100.0,7525.0,1075.0,09-Dec-2024,,467.85,
FUTSTK,OIL,26-Dec-2024,,XX,N,469.3,473.5,463.75,471.1,471.8,468.95,471.1,918.0,463837183.75,3288425.0,-83850.0,1075.0,10-Dec-2024,,469.3,
FUTSTK,OIL,30-Jan-2025,,XX,N,473.35,475.85,467.15,473.6,474.5,471.75,473.6,36.0,18274677.5,270900.0,4300.0,1075.0,10-Dec-2024,,469.3,
FUTSTK,OIL,27-Feb-2025,,XX,N,475.0,475.0,470.75,470.75,470.75,470.85,470.75,6.0,3049721.25,74175.0,1075.0,1075.0,10-Dec-2024,,469.3,
FUTSTK,OIL,26-Dec-2024,,XX,N,468.1,476.95,468.1,471.55,470.85,471.1,471.55,583.0,296013935.0,3324975.0,36550.0,1075.0,11-Dec-2024,,469.55,
FUTSTK,OIL,30-Jan-2025,,XX,N,479.0,479.0,472.85,474.4,474.4,473.6,474.4,29.0,14830538.75,284875.0,13975.0,1075.0,11-Dec-2024,,469.55,
FUTSTK,OIL,27-Feb-2025,,XX,N,474.7,474.7,473.8,474.4,474.4,470.75,474.4,6.0,3058858.75,77400.0,3225.0,1075.0,11-Dec-2024,,469.55,
FUTSTK,OIL,26-Dec-2024,,XX,N,471.6,472.85,467.2,467.7,468.0,471.55,467.7,432.0,218547876.25,3366900.0,41925.0,1075.0,12-Dec-2024,,466.2,
FUTSTK,OIL,30-Jan-2025,,XX,N,472.0,475.7,470.9,471.1,470.9,474.4,471.1,40.0,20352491.25,281650.0,-3225.0,1075.0,12-Dec-2024,,466.2,
FUTSTK,OIL,27-Feb-2025,,XX,N,473.5,474.0,471.25,471.25,471.25,474.4,471.25,8.0,4071455.0,82775.0,5375.0,1075.0,12-Dec-2024,,466.2,
FUTSTK,OIL,26-Dec-2024,,XX,N,469.45,472.9,451.4,456.1,456.7,467.7,456.1,1579.0,774770398.75,3452900.0,86000.0,1075.0,13-Dec-2024,,454.35,
FUTSTK,OIL,30-Jan-2025,,XX,N,467.1,467.1,456.75,459.85,459.7,471.1,459.85,149.0,73695066.25,350450.0,68800.0,1075.0,13-Dec-2024,,454.35,
FUTSTK,OIL,27-Feb-2025,,XX,N,466.9,466.9,455.4,460.35,460.9,471.25,460.35,30.0,14834247.5,101050.0,18275.0,1075.0,13-Dec-2024,,454.35,
FUTSTK,OIL,26-Dec-2024,,XX,N,456.1,464.35,456.1,462.75,463.0,456.1,462.75,1133.0,561222455.0,3733475.0,280575.0,1075.0,16-Dec-2024,,461.2,
FUTSTK,OIL,30-Jan-2025,,XX,N,459.3,467.8,459.3,465.95,465.85,459.85,465.95,78.0,38912473.75,373025.0,22575.0,1075.0,16-Dec-2024,,461.2,
FUTSTK,OIL,27-Feb-2025,,XX,N,462.35,463.45,462.35,463.45,463.45,460.35,463.45,6.0,2985490.0,105350.0,4300.0,1075.0,16-Dec-2024,,461.2,
FUTSTK,OIL,26-Dec-2024,,XX,N,458.85,460.75,444.45,445.35,444.55,462.75,445.35,977.0,473066005.0,3918375.0,184900.0,1075.0,17-Dec-2024,,444.75,
