FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,ONGC,28-Jan-2021,0.0,XX,93.75,94.5,93.3,93.75,93.75,1475.0,10648.26,49911400.0,900900.0,01-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,93.95,94.4,93.4,93.65,93.65,72.0,519.16,1201200.0,130900.0,01-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,92.85,93.65,92.85,93.65,94.1,2.0,14.36,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,94.6,97.8,94.25,97.4,97.4,5018.0,37217.21,50134700.0,223300.0,04-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,94.4,97.5,94.4,97.15,97.15,173.0,1279.68,1432200.0,231000.0,04-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,96.1,96.9,95.65,96.9,97.85,5.0,37.05,38500.0,38500.0,04-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,96.25,96.35,94.6,95.35,95.35,2534.0,18583.5,50658300.0,523600.0,05-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,95.4,95.55,94.4,95.05,95.05,148.0,1082.39,1824900.0,392700.0,05-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,95.15,95.15,94.3,94.3,94.3,11.0,80.27,107800.0,69300.0,05-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,98.55,99.7,96.2,97.3,97.3,6651.0,50241.05,48933500.0,-1724800.0,06-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,98.55,99.2,95.5,96.5,96.5,524.0,3937.63,3180100.0,1355200.0,06-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,97.8,98.85,95.3,96.5,97.85,26.0,195.15,215600.0,107800.0,06-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,98.55,99.4,97.4,98.3,98.3,2597.0,19695.16,46277000.0,-2656500.0,07-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,97.7,98.6,96.7,97.5,97.5,292.0,2197.49,3819200.0,639100.0,07-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,96.7,96.7,96.7,96.7,98.8,2.0,14.89,231000.0,15400.0,07-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,99.15,101.65,99.0,100.95,100.95,3850.0,29723.67,45060400.0,-1216600.0,08-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,98.55,100.9,98.5,100.25,100.25,295.0,2256.06,4442900.0,623700.0,08-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,98.8,99.8,98.25,99.7,101.55,17.0,129.59,223300.0,-7700.0,08-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,101.9,102.6,97.85,102.2,102.2,4105.0,31896.37,42350000.0,-2710400.0,11-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,99.85,102.25,97.5,101.65,101.65,165.0,1272.69,4689300.0,246400.0,11-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,99.0,100.75,96.6,100.75,100.75,15.0,114.32,231000.0,7700.0,11-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,101.6,104.7,100.9,103.7,103.7,3811.0,30394.46,44074800.0,1724800.0,12-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,101.15,104.0,100.45,103.15,103.15,175.0,1388.22,4920300.0,231000.0,12-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,100.75,103.45,100.75,102.75,102.75,20.0,158.27,277200.0,46200.0,12-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,105.1,108.35,104.6,105.75,105.75,5477.0,45001.39,48001800.0,3927000.0,13-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,104.0,107.8,103.95,105.3,105.3,199.0,1627.25,5074300.0,154000.0,13-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,105.0,107.35,104.5,104.8,104.8,13.0,105.36,277200.0,0.0,13-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,106.85,107.55,104.55,105.45,105.45,2176.0,17739.33,47978700.0,-23100.0,14-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,106.75,106.8,104.15,105.05,105.05,190.0,1538.45,5551700.0,477400.0,14-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,104.8,105.0,104.0,104.4,104.4,8.0,64.34,300300.0,23100.0,14-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,105.65,106.4,101.0,101.9,101.9,3311.0,26356.27,48525400.0,546700.0,15-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,105.05,105.8,100.75,101.45,101.45,262.0,2075.31,6144600.0,592900.0,15-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,104.9,105.0,100.6,101.2,101.2,18.0,142.4,346500.0,46200.0,15-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,101.45,102.0,96.25,96.9,96.9,4697.0,35470.28,45360700.0,-3164700.0,18-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,101.1,101.1,96.05,96.7,96.7,529.0,3971.02,7738500.0,1593900.0,18-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,100.45,100.45,96.0,96.3,96.3,16.0,119.23,438900.0,92400.0,18-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,97.9,99.2,97.65,98.2,98.2,3303.0,25012.39,40994800.0,-4365900.0,19-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,98.05,98.7,97.45,97.9,97.9,456.0,3442.21,8693300.0,954800.0,19-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,97.85,97.9,97.25,97.8,97.8,11.0,82.68,508200.0,69300.0,19-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,98.5,99.8,97.8,98.85,98.85,2341.0,17802.49,39246900.0,-1747900.0,20-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Feb-2021,0.0,XX,98.25,99.35,97.8,98.7,98.7,698.0,5299.2,11503800.0,2810500.0,20-Jan-2021,,,N,,,,
FUTSTK,ONGC,25-Mar-2021,0.0,XX,98.85,98.85,97.75,98.65,99.6,10.0,75.73,546700.0,38500.0,20-Jan-2021,,,N,,,,
FUTSTK,ONGC,28-Jan-2021,0.0,XX,99.05,100.3,94.15,94.9,94.9,3875.0,29045.24,35681800.0,-3565100.0,21-Jan-2021,,,N,,,,
