FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3709.85,3800.0,3625.4,3663.1,3663.1,948.0,5289.18,81150.0,81150.0,01-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,0.0,0.0,0.0,3738.35,3664.45,0.0,0.0,0.0,0.0,01-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,0.0,0.0,0.0,3752.15,3677.95,0.0,0.0,0.0,0.0,01-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3691.95,3744.9,3665.7,3735.25,3735.25,894.0,4987.75,134850.0,53700.0,04-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3734.75,3745.0,3715.0,3745.0,3734.65,3.0,16.79,150.0,150.0,04-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,3763.7,3763.7,3763.7,3763.7,3748.45,2.0,11.29,300.0,300.0,04-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3719.4,3809.3,3583.0,3771.85,3771.85,1372.0,7694.88,190050.0,55200.0,05-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3643.6,3853.5,3585.45,3786.6,3786.6,69.0,392.07,6150.0,6000.0,05-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,0.0,0.0,0.0,3763.7,3785.15,0.0,0.0,300.0,0.0,05-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3780.3,3810.0,3710.25,3734.45,3734.45,529.0,2980.33,190950.0,900.0,06-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3804.05,3828.55,3740.0,3745.0,3745.0,8.0,45.4,7050.0,900.0,06-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,0.0,0.0,0.0,3763.7,3754.95,0.0,0.0,300.0,0.0,06-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3755.0,3844.8,3753.55,3822.55,3822.55,846.0,4826.53,209400.0,18450.0,07-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3801.7,3845.1,3801.7,3840.55,3840.55,10.0,57.42,7950.0,900.0,07-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,3810.45,3820.0,3785.05,3820.0,3845.7,3.0,17.12,450.0,150.0,07-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3840.0,4089.0,3835.9,4033.05,4033.05,3673.0,22150.16,324750.0,115350.0,08-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3869.0,4098.5,3869.0,4052.25,4052.25,113.0,682.93,9600.0,1650.0,08-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,3908.85,4090.0,3908.55,4052.0,4052.0,16.0,96.83,1200.0,750.0,08-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4044.95,4061.0,3910.15,3954.75,3954.75,1435.0,8555.38,322350.0,-2400.0,11-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3987.15,4081.85,3940.0,3965.6,3965.6,62.0,370.84,13050.0,3450.0,11-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4000.0,4064.15,3965.1,3980.7,3980.7,13.0,78.12,2400.0,1200.0,11-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3960.5,3996.5,3884.65,3903.75,3903.75,832.0,4901.31,302250.0,-20100.0,12-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4000.0,4013.25,3910.0,3928.85,3928.85,57.0,338.03,14850.0,1800.0,12-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4008.05,4008.05,3969.0,3969.0,3923.75,2.0,11.96,2550.0,150.0,12-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3937.35,4039.0,3888.75,4016.3,4016.3,1038.0,6191.65,292950.0,-9300.0,13-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3933.2,4038.0,3915.15,4032.25,4032.25,99.0,592.27,20400.0,5550.0,13-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,0.0,0.0,0.0,3969.0,4035.65,0.0,0.0,2550.0,0.0,13-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4098.0,4307.1,4098.0,4209.6,4209.6,2847.0,18070.88,301500.0,8550.0,14-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4105.0,4312.55,4026.45,4238.1,4238.1,298.0,1904.24,26400.0,6000.0,14-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4150.0,4307.5,4150.0,4276.6,4276.6,18.0,114.93,2400.0,-150.0,14-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4235.95,4282.15,4109.05,4135.6,4135.6,1040.0,6522.63,270600.0,-30900.0,18-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4266.8,4292.0,4132.0,4155.45,4155.45,130.0,818.49,33300.0,6900.0,18-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4249.5,4259.5,4150.0,4174.45,4174.45,9.0,56.94,3150.0,750.0,18-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4150.05,4410.0,4111.25,4201.3,4201.3,4482.0,28612.56,274500.0,3900.0,19-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4174.95,4425.0,4114.75,4227.75,4227.75,535.0,3424.65,45450.0,12150.0,19-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4296.35,4399.0,4143.6,4276.65,4276.65,37.0,237.85,3150.0,0.0,19-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4238.95,4284.0,3972.1,4219.35,4219.35,2364.0,14797.35,243750.0,-30750.0,20-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4265.0,4307.55,3997.25,4243.55,4243.55,312.0,1957.68,49800.0,4350.0,20-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4175.0,4264.45,4031.25,4264.45,4257.1,13.0,80.9,3150.0,0.0,20-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4182.8,4217.0,4000.95,4042.15,4042.15,2060.0,12622.41,237600.0,-6150.0,21-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4193.25,4240.55,4028.85,4058.2,4058.2,600.0,3686.19,65850.0,16050.0,21-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,4146.45,4146.45,4070.0,4071.0,4071.0,9.0,55.27,3900.0,750.0,21-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,4055.65,4083.7,3655.7,3853.65,3853.65,2422.0,13965.7,212100.0,-25500.0,22-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,4050.0,4095.85,3685.9,3866.5,3866.5,987.0,5723.56,101850.0,36000.0,22-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,30-Dec-2021,0.0,XX,3845.35,3845.35,3718.7,3718.7,3900.15,5.0,28.21,3750.0,-150.0,22-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,28-Oct-2021,0.0,XX,3880.0,4049.45,3653.1,3935.9,3935.9,1666.0,9614.94,198450.0,-13650.0,25-Oct-2021,,,N,,,,
FUTSTK,PERSISTENT,25-Nov-2021,0.0,XX,3900.0,4056.95,3671.1,3942.2,3942.2,1024.0,5935.31,132600.0,30750.0,25-Oct-2021,,,N,,,,
