FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PETRONET,28-Jan-2021,0.0,XX,249.85,252.4,248.4,251.25,251.25,1345.0,10115.38,14961000.0,-306000.0,01-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Feb-2021,0.0,XX,250.4,252.5,250.05,251.9,251.9,14.0,105.59,189000.0,3000.0,01-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Mar-2021,0.0,XX,0.0,0.0,0.0,249.7,252.3,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,28-Jan-2021,0.0,XX,252.35,254.5,250.0,253.95,253.95,2269.0,17189.92,15378000.0,417000.0,04-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Feb-2021,0.0,XX,254.05,255.15,251.05,255.05,255.05,22.0,167.67,210000.0,21000.0,04-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Mar-2021,0.0,XX,0.0,0.0,0.0,249.7,254.8,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,28-Jan-2021,0.0,XX,252.6,260.5,251.85,256.8,256.8,4348.0,33528.32,15210000.0,-168000.0,05-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Feb-2021,0.0,XX,253.0,260.75,253.0,257.25,257.25,31.0,239.09,222000.0,12000.0,05-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Mar-2021,0.0,XX,254.5,254.5,254.5,254.5,258.75,1.0,7.63,3000.0,3000.0,05-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,28-Jan-2021,0.0,XX,258.4,259.5,253.1,257.25,257.25,1912.0,14733.69,15417000.0,207000.0,06-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Feb-2021,0.0,XX,260.45,260.45,254.05,258.55,258.55,33.0,255.2,228000.0,6000.0,06-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Mar-2021,0.0,XX,0.0,0.0,0.0,254.5,258.45,0.0,0.0,3000.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,28-Jan-2021,0.0,XX,259.5,264.9,258.1,261.3,261.3,3326.0,26088.25,15798000.0,381000.0,07-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Feb-2021,0.0,XX,259.9,265.0,259.9,262.5,262.5,36.0,283.5,231000.0,3000.0,07-Jan-2021,,,N,,,,,
FUTSTK,PETRONET,25-Mar-2021,0.0,XX,263.95,263.95,263.95,263.95,262.1,1.0,7.91,6000.0,3000.0,07-Jan-2021,,,N,,,,,
