FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1777.8,1792.0,1769.2,1777.95,1777.95,1064.0,9475.24,2730000.0,5000.0,01-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1785.0,1789.8,1783.0,1786.45,1786.45,9.0,80.38,16500.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1780.65,1788.0,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1782.25,1794.05,1770.0,1789.9,1789.9,1087.0,9698.71,2751500.0,21500.0,04-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1786.35,1797.15,1781.35,1796.8,1796.8,10.0,89.61,20000.0,3500.0,04-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1780.65,1801.65,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1796.95,1809.5,1762.0,1803.55,1803.55,1415.0,12723.36,2712000.0,-39500.0,05-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1781.25,1811.25,1781.25,1804.45,1804.45,13.0,117.05,20000.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1780.65,1817.15,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1794.45,1804.0,1773.45,1799.7,1799.7,1217.0,10902.02,2705000.0,-7000.0,06-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1789.3,1808.3,1788.0,1806.35,1806.35,14.0,125.83,21000.0,1000.0,06-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1780.65,1811.75,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1806.9,1821.35,1771.2,1778.8,1778.8,2173.0,19499.04,2731000.0,26000.0,07-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1808.0,1827.1,1780.8,1785.45,1785.45,13.0,117.15,23000.0,2000.0,07-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1811.0,1811.0,1811.0,1811.0,1784.9,1.0,9.05,500.0,500.0,07-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1768.35,1825.0,1768.35,1820.35,1820.35,1713.0,15460.59,2615500.0,-115500.0,08-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1794.8,1827.0,1793.0,1825.15,1825.15,16.0,144.7,22000.0,-1000.0,08-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1811.0,1835.2,0.0,0.0,500.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1820.05,1844.45,1811.0,1834.0,1834.0,1560.0,14290.17,2596500.0,-19000.0,11-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1824.85,1844.0,1821.75,1838.4,1838.4,18.0,165.38,25000.0,3000.0,11-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1811.0,1848.7,0.0,0.0,500.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1838.5,1838.5,1806.3,1809.1,1809.1,1970.0,17888.91,2621500.0,25000.0,12-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1829.4,1831.9,1814.1,1815.9,1815.9,36.0,327.47,29000.0,4000.0,12-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1828.0,1828.0,1828.0,1828.0,1815.2,2.0,18.28,1500.0,1000.0,12-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1808.95,1818.0,1779.95,1799.3,1799.3,1416.0,12742.44,2587000.0,-34500.0,13-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1824.0,1824.0,1789.65,1805.65,1805.65,51.0,459.01,30000.0,1000.0,13-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1810.25,1814.95,1810.25,1814.95,1814.95,2.0,18.12,2000.0,500.0,13-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1791.35,1808.7,1782.25,1798.25,1798.25,980.0,8790.53,2654500.0,67500.0,14-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1794.4,1814.4,1790.1,1801.65,1801.65,62.0,557.75,44500.0,14500.0,14-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1803.8,1810.0,1803.8,1810.0,1810.0,5.0,45.21,4000.0,2000.0,14-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1792.95,1798.2,1749.05,1754.65,1754.65,5432.0,47977.27,2817500.0,163000.0,15-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1788.0,1797.65,1756.65,1760.05,1760.05,76.0,673.58,54500.0,10000.0,15-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1784.6,1784.6,1764.0,1765.95,1765.95,14.0,123.77,7500.0,3500.0,15-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1750.3,1763.5,1721.7,1733.0,1733.0,1897.0,16538.72,2849500.0,32000.0,18-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1753.45,1768.65,1732.1,1742.3,1742.3,155.0,1354.48,93500.0,39000.0,18-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1746.8,1765.5,1741.95,1741.95,1740.0,9.0,78.69,9500.0,2000.0,18-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1740.0,1763.9,1737.05,1745.0,1745.0,1430.0,12499.9,2938000.0,88500.0,19-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1754.85,1768.9,1744.45,1749.45,1749.45,238.0,2084.37,137500.0,44000.0,19-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1763.4,1767.0,1758.55,1761.9,1749.55,4.0,35.25,10500.0,1000.0,19-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1745.0,1797.0,1740.05,1761.7,1761.7,2080.0,18462.49,2926500.0,-11500.0,20-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1755.0,1800.8,1745.6,1766.8,1766.8,141.0,1256.43,155500.0,18000.0,20-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1770.0,1805.9,1770.0,1770.0,1770.0,11.0,98.01,10500.0,0.0,20-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1770.6,1819.0,1769.05,1778.7,1778.7,3319.0,29808.79,2779500.0,-147000.0,21-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1784.3,1824.5,1777.9,1786.3,1786.3,725.0,6537.87,325000.0,169500.0,21-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1800.0,1818.0,1785.0,1785.0,1785.0,9.0,80.96,12500.0,2000.0,21-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1785.95,1796.2,1733.85,1738.25,1738.25,2181.0,19176.83,2591000.0,-188500.0,22-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1800.0,1801.35,1740.65,1744.55,1744.55,853.0,7525.15,563500.0,238500.0,22-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1792.3,1792.3,1760.0,1760.0,1747.8,5.0,44.51,11000.0,-1500.0,22-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1753.8,1778.35,1736.4,1764.6,1764.6,2942.0,25953.7,1995000.0,-596000.0,25-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1764.75,1784.0,1744.1,1770.95,1770.95,1842.0,16310.36,1121000.0,557500.0,25-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1764.3,1764.3,1764.3,1764.3,1777.75,1.0,8.82,10500.0,-500.0,25-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1759.9,1762.45,1694.75,1716.05,1716.05,3415.0,29482.14,906500.0,-1088500.0,27-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1758.9,1766.0,1699.65,1721.4,1721.4,3725.0,32218.89,2173500.0,1052500.0,27-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1746.0,1756.0,1706.3,1728.55,1728.55,23.0,199.39,16500.0,6000.0,27-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,28-Jan-2021,0.0,XX,1709.55,1727.7,1702.0,1717.4,1716.25,2509.0,21496.06,113000.0,-793500.0,28-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1715.0,1734.5,1702.95,1725.45,1725.45,3600.0,30969.62,2942500.0,769000.0,28-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1724.5,1738.0,1721.5,1734.8,1734.8,34.0,294.54,27000.0,10500.0,28-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Feb-2021,0.0,XX,1736.35,1742.0,1668.55,1674.9,1674.9,3685.0,31167.34,2834000.0,-108500.0,29-Jan-2021,,,N,,,,,
FUTSTK,PIDILITIND,25-Mar-2021,0.0,XX,1708.2,1708.2,1677.1,1678.6,1678.6,40.0,339.58,31500.0,4500.0,29-Jan-2021,,,N,,,,,
